,Unnamed: 0,src,true_meaning,predicted
0,0,9. 《全球行动纲领》协调处得到比利时的财政支持，目前正帮助埃及、尼日利亚、坦桑尼亚联合共和国、斯里兰卡和也门制订试行的保护海洋环境免受陆地活动影响的国家行动方案。,"The Global Programme of Action Coordination Office, with the financial support of Belgium, is currently assisting Egypt, Nigeria, United Republic of Tanzania, Sri Lanka and Yemen to develop pilot national programmes of action for the protection of the marine environment from land-based activities.","The Coordination Unit of the Global Action Plan receives financial support from Belgium and is currently assisting Egypt, Nigeria, Tanzania, Sri Lanka, and Yemen in developing pilot national action plans to protect marine environments from land-based activities."
1,1,"该论坛达成的亚洲和非洲国家私营公司间的商业合同超过了2,400万美元。",The forum produced business contracts amounting to more than $24 million between Asian and African private companies.,The Asian and African private companies signed a contract worth over $2.4 million.
2,2,艾滋病来势汹汹及其传染速度让很多南非人意想不到。像发达国家一样，艾滋病毒感染最初集中在血友病患者、性活跃同性恋者以及静脉注射吸毒人员中。但20世纪90年代某种未知原因导致公众病毒感染率暴增。被病毒感染的南非民众数量（相当于丹麦全国人口）超过了相邻莫桑比克、莱索托、博茨瓦纳、纳米比亚、斯威士兰和津巴布韦的总和。,"But, during the 1990’s, and for reasons that are still notfully understood, the virus exploded into the general population.The number of infected South Africans (equivalent to the populationof Denmark) outstrips that of neighboring Mozambique, Lesotho,Botswana, Namibia, Swaziland, and Zimbabwe combined.","The HIV/AIDS epidemic is rapidly spreading in South Africa, catching many people off guard."
3,3,大概自1968年委员会开始执行其任务以来，委员会从未遇到被占领土内的巴勒斯坦人和其他阿拉伯人如此愤怒和悲惨过，以及其基本人权和基本自由如此不受尊重。,Not since the inception of its mandate in 1968 has the Committee ever confronted such anger and misery among the Palestinian people and other Arabs in occupied territories and disrespect for their basic human rights and fundamental freedoms.,"The committee has never seen such anger and suffering among Palestinians and other Arabs in occupied territories, as well as a lack of respect for their basic human rights and freedoms, since the committee began its work in 1968."
4,4,“6.　又欢迎经济转型国家渴望进一步开展区域、次区域和区域间合作，请联合国系统加强同其成员包括经济转型国家的各区域和次区域合作组织的对话，并增加对它们的支助；,"“6. Also welcomes the aspiration of the countries with economies in transition towards the further development of regional, subregional and interregional cooperation, and invites the United Nations system to enhance dialogue with and increase support to the regional and subregional cooperation organizations whose membership includes the countries with economies in transition;","The Chinese sentence refers to the welcome of countries undergoing economic transformation and their desire for further regional, sub-regional, and inter-regional cooperation. It also suggests that the United Nations system should engage in dialogue with these countries and their regional and sub-regional cooperation organizations, and increase their support."
5,5,提及的其他名字不在名单上。,Other names mentioned are not listed.,The other names mentioned are not on the list.
6,6,你可以吗 可以了,"You got that? You all right? We're very, very ready!",You can do it.
7,7,38. 马达加斯加格洛里厄斯群岛、新胡安岛、欧罗巴岛和印度巴萨斯岛问题（2005年9月20日第60/503 A号决定）。,"Question of the Malagasy islands of Glorieuses, Juan de Nova, Europa and Bassas da India (decision 60/503 A of 20 September 2005).","2) The decision of September 20, 2005, addressed the issue of Madagascar's Glory Islands, Juan Island, Europa Island, and India Bassas Island."
8,8,根据难民专员办事处的说法，需要采取进一步具体措施，例如将阿族人纳入地方警察部队以及使该地区非军事化等等，以便消除该地区紧张根源。,"According to UNHCR, further concrete measures, such as the inclusion of ethnic Albanians in the local police forces and the demilitarization of the area, are needed in order to address the sources of tension in the area.","The UNHCR has called for additional specific measures, including integrating Azeri people into local police forces and demilitarizing the region, to address the underlying causes of tension in the area."
9,9,不，他脑子不清楚。,No. He's not thinking straight.,He's not thinking clearly.
10,10,我们想解释我们对决议草案A/C.5/54/L.69的投票。,We wanted to explain our vote on draft resolution A/C.5/54/L.69.,We aim to provide an explanation for our vote on the draft resolution A/C.5/54/L.69.
11,11,这种做法目前可能还可行，但我们需要考虑到这种形势，不一定改变做法，但至少要对之进行某些调整。,"The approach may be working at this time, but we have to take the situation into consideration, and not necessarily change the approach, but at least perhaps make some adjustments to it.","This approach may still be feasible at the moment, but we need to consider this situation, and it may not necessarily change the approach, but at least make some adjustments."
12,12,继续全天候保护兰娜蒂 明天一早我们再谈,Maintain an around-the-clock watch on Ronnette. We'll speak in the morning.,Continue to protect Lana in a round-the-clock manner. Tomorrow morning we will discuss it again.
13,13,请各代表团将其代表姓名送交给筹备委员会秘书Vivian Pliner-Josephs女士（S-2950E室；电传：(212)963-5935）。,"Delegations are requested to submit the names of their representatives to the Secretary of the Preparatory Committee, Ms. Vivian Pliner-Josephs (room S-2950E; fax: (212) 963-5935).","Please have each delegation send their representatives' names to the Secretariat of the Committee, Vivian Pliner-Josephs (S-2950E; fax: (212) 963-5935)."
14,14,"1995年修订的1991年第19,070号法令。","Act No. 19,070 of 1991, amended in 1995.","The 1991 law number 19,070 was revised in 1995."
15,15,在谈判和落实解决过去不满问题的公平、持久和可行的解决办法以及改善毛利人的社会和经济地位方面，它将在业已取得的重大进展的基础上继续做出努力；为实现这一目标，政府将争取显著改善毛利人的健康、就业、教育和住房状况，增加其经济和社会机会。,"It will continue the significant progress already made in negotiating and implementing fair, durable and affordable settlements of historical grievances and improving the social and economic status of Māori. In order to achieve this goal, the Government aims to extend economic and social opportunities by significantly improving the health, employment, education and housing status of Māori.","In negotiations and the implementation of fair, lasting, and feasible solutions to address past grievances, and to improve the social and economic status of Maori people, it will continue to make efforts based on the significant progress already made; to achieve this goal, the government will strive to significantly improve the health, employment, education, and housing conditions of Maori people, and increase their economic and social opportunities."
16,16,传播了关于规范框架以及环境规划和管理方面的五个程序工具和四个特定专题工具以及方案指南和培训手册。,"Five process tools and four topic-specific tools, together with programme guides and training manuals on normative framework and environmental planning and management, were disseminated.","The Chinese sentence refers to the dissemination of five program tools and four specific topic tools related to the framework and environmental planning and management, along with guidelines and training manuals."
17,17,16. 在自动管理系统投入运行之后，行政当局将审查按季度发出催缴函的可能性。,"Following implementation of the automated system, the Administration will examine the possibility of issuing quarterly reminder letters.",The administrative authority will review the possibility of sending out overdue notices on a quarterly basis after the automatic management system is put into operation.
18,18,从苏丹港到达尔富尔的路程大约1 400英里，目前装备平均需要7周时间才能运到。,"The movement of equipment by road from Port Sudan to Darfur, some 1,400 miles, currently takes an average of seven weeks.",2) It takes about 7 weeks for equipment to be delivered from Sudan to Darfur.
19,19,大多数人 相信FDA,Most people believe the FDA ...,The FDA is commonly believed to be involved.
20,20,2001年基金会倡议举行“履行承诺”活动，并（于2002年5月）在联合国大会儿童问题特别会议上正式开展了这项活动，以提醒各国元首和首脑对世界儿童作出的新的承诺，并向在执行“适合儿童生长的世界”宣言和行动计划中成绩最为显著的元首和首脑颁奖。,WWSF launched in 2001 the Walk your Talk initiatives which were officially launched at the UN General Assembly Special Session on Children (May 2002) and which have as their aim to: 1) regularly remind Heads of State and government of their new promises made to the children of the world and; 2) to award at a later stage those Heads of State and government who accomplish the most significant results in implementing “A world fit for children” declaration and Plan of Action,Other: <select the other relevant English sentences>
21,21,目的是协助政策制定者和其他人员制定充分尊重人权的反恐怖主义的战略远景。,Its aim is to assist policy makers and others in developing a vision of counter-terrorism strategies that are fully respectful of human rights.,1) The goal is to help policymakers and others develop a comprehensive strategy for countering terrorism that respects human rights.
22,22,新版本以广泛的政治共识为基础，对宪法的文字和实质都进行了修正和更新，旨在全面反映成文和不成文的宪法法律并突出表述国家的特征。,"Based on a broad political consensus, the new version amended the wording and updated the substance of the Constitution, with the aims of furnishing a complete picture of written and unwritten constitutional law and highlighting the characteristic elements of the State.","1) A new version is based on broad political consensus, making revisions and updates to the text and substance of the constitution, aiming to comprehensively reflect both written and unwritten constitutional laws and emphasize the expression of the country's characteristics."
23,23,这是需要更多国际援助的一个领域。,This is an area that requires greater international assistance.,1) This is a field that requires more international aid.
24,24,23. 国际人权联盟联合会（人权联会）、人权监察站、国际法学家委员会和国际妇女权利行动观察-亚洲/太平洋（妇女权利观察-亚太）的代表向委员会间会议提出关于加强人权条约机构系统的看法，人权联会、人权检查站和国际法学家委员会并就此事提出一份联合文件，这份文件也得到其它非政府组织的支持。,"Representatives of the International Federation of Human Rights Leagues (FIDH), Human Rights Watch (HRW), the International Commission of Jurists (ICJ) and International Women's Rights Action Watch-Asia Pacific (IWRAW-AP) presented their views to the inter-committee meeting with regard to the strengthening of the human rights treaty body system, with FIDH, HRW and ICJ providing a joint paper on the matter that was also supported by other NGOs.",Other: <select the most similar English sentence>
25,25,17 《维尔京群岛每日新闻》，2005年1月7日。,"17 The Virgin Islands Daily News, 7 January 2005.",Other: <select the other relevant English sentences>
26,26,in just the right light.,in just the right light.,In the right light
27,27,我也是人类啊 赛巴斯酱,"I am human, Sebastian!","I am also a human, like you."
28,28,但你還是不能開我的車,You still can't drive my car.,You can't drive my car.
29,29,另一个规划干事（P-3）将重点关注执行情况跟踪和评价，包括关于成果预算编制框架的执行情况报告、合并关于特派团执行计划的定期报告以及关于特派团里程碑、基准和逐渐缩编时间表。,"The second Planning Officer (P-3) would focus on implementation tracking and evaluation, including performance reporting on the results-based-budgeting frameworks, consolidation of periodic reports on the mission implementation plan and on milestones, benchmarks and timelines for the gradual drawdown of the Mission.","A second planning officer (P-3) will focus on tracking and evaluating implementation, including reports on the execution of the budget framework, consolidated reports on the implementation of the mission's plan, and reports on the mission's milestones, baselines, and gradually phased-down timelines."
