Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Either fix it with a patch or take drastic action, but do it quickly."
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","The people said to Shuayb, ""What you say is often beyond our understanding. We consider you weak and if your tribe did not exist, we would have killed you long ago. You cannot harm us because you have nothing that can hurt us."
2,- हाँ.,- Yeah.,"- Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with you, but I'm responsible for my family. - Yes, I want to sit with"
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,The one who causes him trouble is the same one who helps him.
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,Always feeling obligated to be.
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',A non-mailbox source '%s' is trying to send mail: %s.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,"Dijikam for image histogram adjust levels plugin. का उपयोग करने के लिए, आप क्या करेंगे?"
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Everyone has been moved and the deer god has gone to kill the god.
8,वो मेरी माँ है.,My mother's from Sweden.,वो मेरी माँ है. (Wo meri maa hai.)
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who risk their lives to obey Him. (or) He watches over those who risk everything to obey Him. (or) He watches over those who
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,Is this good like Phil?
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Is the current stream seekable?
12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,Two unknown men are entering the house without being invited.
13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,This situation is completely messed up.
14,गूगल टाक होम नाम 3,Google Talk Home Name 3,"Google has launched Talk Home Name 3.0, bringing a new design to its content, making it more organized and professional."
15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,Report all prisoners for lockdown.
16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?",क्या काफिरों ने सोचा होगा कि जब आसमान और ज़मीन दोनों बंद थे तो हमने उन्हें खोल दिया और जानदार चीज़ को पानी से पैदा किया? क्या उन्हें ईमान नहीं आयेगा? (क्या उन्हें ईमान नहीं आयेगा?) क्या काफिरों ने सोचा होगा कि जब आसमान और ज़मीन दोनों बंद थे तो हमने उन्हें खोल दिया और जानदार चीज़ को पानी से पैदा किया? क्या उन्हें ईमान नहीं आयेगा? (क्या उन्हें ईमान नहीं आयेगा?) क्या काफिरों ने सोचा होगा कि जब आसमान और ज़मीन दोनों बंद थे तो हमने उन्हें खोल दिया और जानदार चीज़ को पानी से पैदा किया? क्या उन्हें ईमान नहीं आयेगा? (क्या उन्हें ईमान नहीं आयेगा?) क्या काफिरों ने सोचा होगा कि जब आसमान और ज़मीन दोनों बंद थे तो हमने उन्हें खोल दिया और जानदार चीज़ को पानी से पैदा किया? क्या उन्हें ईमान नहीं आयेगा? (क्या उन्हें ईमान नहीं आयेगा?) क्या काफिरों ने सोचा होगा कि जब आसमान और ज़मीन दोनों बंद थे तो हमने उन्हें खोल दिया और जानदार चीज़ को पानी से पैदा किया? क्या उन्हें ईमान नहीं आयेगा? (क्या उन्हें ईमान नहीं आयेगा?) क्या काफिरों ने सोचा होगा कि जब आसमान और
17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,"आपकी चिंता मत करो, मैं तुम्हारे लिए कुछ भी कर सकता हूँ। (Don't worry, I can do anything for you.)"
18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,```
19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,We should go to the hospital.
20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,क्या तुम्हारी कोई योजना है? (Kya tumhārī koi yojanā hai?)
21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,मैं इसे पीने के लिए नहीं जा रहा हूँ। (I am not going to drink this.)
