Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","The translation is correct. The idiomatic translation ""Either stitch it or shoot it, but fix it quickly"" conveys the cultural and idiomatic sense of the original sentence. The translation is concise and easy to understand for educated readers."
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",Because your words don't make sense to us.
2,- हाँ.,- Yeah.,Everything is fine.
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,"If he gets hurt, he gets scared, and if he can do anything about it, he can't bear it."
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,To be obligated to be obligated for always.
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',"एक गैर-मेल बॉक्स स्रोत से एक ईमेल भेजने की कोशिश की गई, लेकिन यह एक मेल सर्वर पर नहीं है।"
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,The translation is not idiomatic and does not convey the intended meaning of the original sentence.
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Everyone has moved away and gone to kill the Deer God.
8,वो मेरी माँ है.,My mother's from Sweden.,She is my mother.
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","(O Messenger) tell those people: ""Can I tell you something better than this? Those who have chosen to be cautious will have gardens in Paradise, with rivers flowing underneath, where they will live forever, and they will have pure wives and the greatest joy is God's pleasure, and God is always watching those who pray and answers their prayers, and He helps them defeat their enemies."" (Quran 108:20) Translator's note: The phrase ""parhizgar"" is often translated as ""pious"" or ""righteous"", but it literally means ""those who have chosen to be cautious"" or ""those who have taken precautions"". In this context, it refers to those who have chosen to follow God's guidance and avoid sin. The phrase ""behesht"" is often translated as ""Paradise"", but it literally means ""the best of places"". The phrase ""baghat"" is often translated as ""gardens"", but it literally means ""orchards"" or ""vineyards"". The phrase ""nahr"" is often translated as ""rivers"", but it literally means ""canals"" or ""waterways"". The phrase ""wafadar"" is often translated as ""loyal"" or ""faithful"", but it literally means ""those who are with God"" or ""those who are on God's side"". The phrase ""dushman"" is often translated as ""enemies"", but it literally means ""those who are against God"" or ""those who are opposed to God"". The phrase ""khuda"" is often translated as ""God"", but it literally means ""the one who is worshipped"" or ""the one who is obeyed"". The phrase ""khushnudi"" is often translated as ""pleasure"" or ""joy"", but it literally means ""the one who is pleased"" or ""the one who is joyful"". The phrase ""banda"" is often translated as ""servant"" or ""slave"", but it literally means ""one who is under God's authority"" or ""one who is subject to God's will"". The phrase ""dua"" is often translated as ""prayer"", but it literally means ""supplication"" or ""request"". The phrase ""mogha"" is often translated as ""pray"" or ""ask"", but it literally means ""to make a request"" or ""to supplicate"". The phrase ""suna"" is often translated as ""hear"" or ""listen"", but it literally means ""to pay attention"" or ""to heed"
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,Is this good like a film?
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,क्या वर्तमान स्ट्रीम के लिए seekable है?
12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,Do not let strangers enter the house.
13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,यह पूरी स्थिति पूरी तरह से गड़बड़ है. (Yah Puri Sthiti Puri Tair Hai Gaddbad Hai.)
14,गूगल टाक होम नाम 3,Google Talk Home Name 3,"गूगल टॉक होम नाम 3.0 का लॉन्च 23 जून को हुआ था, जिसमें उपयोगकर्ताओं को अपने डिवाइस को अधिक स्मार्ट बनाने में मदद करने के लिए एक नया डिज़ाइन और विशेषताएं शामिल हैं।"
15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,All prisoners report for lockdown. ### Step-by-step reasoning process
