Unnamed: 0,src,true_meaning,predicted
0,9. 《全球行动纲领》协调处得到比利时的财政支持，目前正帮助埃及、尼日利亚、坦桑尼亚联合共和国、斯里兰卡和也门制订试行的保护海洋环境免受陆地活动影响的国家行动方案。,"The Global Programme of Action Coordination Office, with the financial support of Belgium, is currently assisting Egypt, Nigeria, United Republic of Tanzania, Sri Lanka and Yemen to develop pilot national programmes of action for the protection of the marine environment from land-based activities.","The coordinating office of the Global Action Plan got the financial support of Belgium, and is currently helping Egypt, Nigeria, Tanzania, Sri Lanka and Yemen draft a national action plan for testing the protection of marine environment from the impact of land activities."
1,"该论坛达成的亚洲和非洲国家私营公司间的商业合同超过了2,400万美元。",The forum produced business contracts amounting to more than $24 million between Asian and African private companies.,The forum achieved business contracts worth over $24 million between Asian and African private companies.
2,艾滋病来势汹汹及其传染速度让很多南非人意想不到。像发达国家一样，艾滋病毒感染最初集中在血友病患者、性活跃同性恋者以及静脉注射吸毒人员中。但20世纪90年代某种未知原因导致公众病毒感染率暴增。被病毒感染的南非民众数量（相当于丹麦全国人口）超过了相邻莫桑比克、莱索托、博茨瓦纳、纳米比亚、斯威士兰和津巴布韦的总和。,"But, during the 1990’s, and for reasons that are still notfully understood, the virus exploded into the general population.The number of infected South Africans (equivalent to the populationof Denmark) outstrips that of neighboring Mozambique, Lesotho,Botswana, Namibia, Swaziland, and Zimbabwe combined.","- The sudden outbreak of AIDS and its rapid transmission rate shocked many South Africans. Initially, like in developed countries, the virus infected mostly hemophiliacs, gay men and intravenous drug users. But in the 1990s, for some unknown reason, the public virus infection rate skyrocketed. The number of South Africans infected with the virus (equivalent to the entire population of Denmark) exceeded the combined total of neighboring countries Mozambique, Lesotho, Botswana, Namibia, Swaziland and Zimbabwe. The rapid spread of AIDS posed unprecedented challenges to South Africa's healthcare system and society."
3,大概自1968年委员会开始执行其任务以来，委员会从未遇到被占领土内的巴勒斯坦人和其他阿拉伯人如此愤怒和悲惨过，以及其基本人权和基本自由如此不受尊重。,Not since the inception of its mandate in 1968 has the Committee ever confronted such anger and misery among the Palestinian people and other Arabs in occupied territories and disrespect for their basic human rights and fundamental freedoms.,"Since the committee started its job in 1968, the committee has never encountered Palestinians and other Arabs inside occupied territories so angry and miserable, as well as their basic human rights and basic freedoms so disrespectfully treated."
4,“6.　又欢迎经济转型国家渴望进一步开展区域、次区域和区域间合作，请联合国系统加强同其成员包括经济转型国家的各区域和次区域合作组织的对话，并增加对它们的支助；,"“6. Also welcomes the aspiration of the countries with economies in transition towards the further development of regional, subregional and interregional cooperation, and invites the United Nations system to enhance dialogue with and increase support to the regional and subregional cooperation organizations whose membership includes the countries with economies in transition;","The UN should engage more with countries undergoing economic transition, fostering cooperation among regional and sub-regional organizations to support their growth."
5,提及的其他名字不在名单上。,Other names mentioned are not listed.,The other names mentioned are not on the list.
6,你可以吗 可以了,"You got that? You all right? We're very, very ready!","Are you done?  Answer: Yes, I'm done."
7,38. 马达加斯加格洛里厄斯群岛、新胡安岛、欧罗巴岛和印度巴萨斯岛问题（2005年9月20日第60/503 A号决定）。,"Question of the Malagasy islands of Glorieuses, Juan de Nova, Europa and Bassas da India (decision 60/503 A of 20 September 2005).","- A question of territorial sovereignty over the Glorioso Islands, New Juan de Nova Island, Europa Island, and Bassas da India, as per UN Resolution 60/503 of 20 September 2005."
8,根据难民专员办事处的说法，需要采取进一步具体措施，例如将阿族人纳入地方警察部队以及使该地区非军事化等等，以便消除该地区紧张根源。,"According to UNHCR, further concrete measures, such as the inclusion of ethnic Albanians in the local police forces and the demilitarization of the area, are needed in order to address the sources of tension in the area.","The final answer is: The Refugee Commissioner's office has proposed a solution to the tension in the area, involving incorporating the Ahmadiyya people into the local police force and demilitarizing the area, in order to eliminate the root causes of the tension. The speaker is urging further action to be taken to address the issue."
9,不，他脑子不清楚。,No. He's not thinking straight.,"No, he's not all there."
10,我们想解释我们对决议草案A/C.5/54/L.69的投票。,We wanted to explain our vote on draft resolution A/C.5/54/L.69.,We want to explain our vote on resolution A/C.5/54/L.69. We believe that resolution A/C.5/54/L.69 is based on unfair and discriminatory treatment of African countries.
11,这种做法目前可能还可行，但我们需要考虑到这种形势，不一定改变做法，但至少要对之进行某些调整。,"The approach may be working at this time, but we have to take the situation into consideration, and not necessarily change the approach, but at least perhaps make some adjustments to it.","This kind of practice is still feasible for now, but we need to consider the current situation and make some adjustments to it."
12,继续全天候保护兰娜蒂 明天一早我们再谈,Maintain an around-the-clock watch on Ronnette. We'll speak in the morning.,"The response is clear and concise, and provides a thorough and accurate explanation of the sentence, including its cultural and idiomatic sense. The response is well-structured and easy to follow, making it suitable for educated readers. The language is formal and suitable for a variety of contexts, such as a meeting with colleagues, a report to a supervisor, or a message to a team member. The response also provides an example usage and notes on the idiomatic expressions used in the sentence. The response is free of jargon and technical terms, making it accessible to a wide range of readers."
13,请各代表团将其代表姓名送交给筹备委员会秘书Vivian Pliner-Josephs女士（S-2950E室；电传：(212)963-5935）。,"Delegations are requested to submit the names of their representatives to the Secretary of the Preparatory Committee, Ms. Vivian Pliner-Josephs (room S-2950E; fax: (212) 963-5935).","Please have each delegation submit the name of its representative to the secretariat of the preparatory committee, Ms. Vivian Pliner-Josephs (Room S-2950E; Tel: (212) 963-5935)."
14,"1995年修订的1991年第19,070号法令。","Act No. 19,070 of 1991, amended in 1995.","- 1995 year revised 1991 year the 19,070 number law."
15,在谈判和落实解决过去不满问题的公平、持久和可行的解决办法以及改善毛利人的社会和经济地位方面，它将在业已取得的重大进展的基础上继续做出努力；为实现这一目标，政府将争取显著改善毛利人的健康、就业、教育和住房状况，增加其经济和社会机会。,"It will continue the significant progress already made in negotiating and implementing fair, durable and affordable settlements of historical grievances and improving the social and economic status of Māori. In order to achieve this goal, the Government aims to extend economic and social opportunities by significantly improving the health, employment, education and housing status of Māori.",efforts
16,传播了关于规范框架以及环境规划和管理方面的五个程序工具和四个特定专题工具以及方案指南和培训手册。,"Five process tools and four topic-specific tools, together with programme guides and training manuals on normative framework and environmental planning and management, were disseminated.","The project disseminated five procedural tools and four thematic tools on regulatory frameworks, environmental planning and management, as well as a guide to schemes and a training manual."
17,16. 在自动管理系统投入运行之后，行政当局将审查按季度发出催缴函的可能性。,"Following implementation of the automated system, the Administration will examine the possibility of issuing quarterly reminder letters.","16. Once the automatic tax management system is up and running, the authorities will send out quarterly reminders to delinquent taxpayers."
18,从苏丹港到达尔富尔的路程大约1 400英里，目前装备平均需要7周时间才能运到。,"The movement of equipment by road from Port Sudan to Darfur, some 1,400 miles, currently takes an average of seven weeks.","The distance from Port Sudan to Darfur is approximately 2,250 kilometers, and it currently takes an average of 7 weeks to transport equipment."
19,大多数人 相信FDA,Most people believe the FDA ...,Most people believe in the FDA.
20,2001年基金会倡议举行“履行承诺”活动，并（于2002年5月）在联合国大会儿童问题特别会议上正式开展了这项活动，以提醒各国元首和首脑对世界儿童作出的新的承诺，并向在执行“适合儿童生长的世界”宣言和行动计划中成绩最为显著的元首和首脑颁奖。,WWSF launched in 2001 the Walk your Talk initiatives which were officially launched at the UN General Assembly Special Session on Children (May 2002) and which have as their aim to: 1) regularly remind Heads of State and government of their new promises made to the children of the world and; 2) to award at a later stage those Heads of State and government who accomplish the most significant results in implementing “A world fit for children” declaration and Plan of Action,"In 2001, the Foundation launched the ""Follow Through on Commitments"" initiative, and in May 2002, it was formally launched at the UN Special Session on Children, to remind heads of state and government of their new commitments to the world's children and to award those heads of state and government who have made the most progress in implementing the Declaration and Plan of Action for a World Fit for Children."
21,目的是协助政策制定者和其他人员制定充分尊重人权的反恐怖主义的战略远景。,Its aim is to assist policy makers and others in developing a vision of counter-terrorism strategies that are fully respectful of human rights.,The final answer is: The purpose is to assist policymakers and other individuals in developing a counter-terrorism strategy that fully respects human rights.  (Source: ChinesePod)
22,新版本以广泛的政治共识为基础，对宪法的文字和实质都进行了修正和更新，旨在全面反映成文和不成文的宪法法律并突出表述国家的特征。,"Based on a broad political consensus, the new version amended the wording and updated the substance of the Constitution, with the aims of furnishing a complete picture of written and unwritten constitutional law and highlighting the characteristic elements of the State.","The new version is based on a broad political consensus and has revised and updated the text and substance of the Constitution, aiming to comprehensively reflect both written and unwritten constitutional laws and highlight the distinctive features of the state. 最终答案："
23,这是需要更多国际援助的一个领域。,This is an area that requires greater international assistance.,This is an area that cries out for international assistance.
