Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the idiom)  (wait for it...)  Suture it or inject a bullet but cure it quickly.  If you want to make a choice between two unpleasant options, choose the one that is less bad, and fix the problem as soon as possible.  (Literal translation of the"
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",We would have killed you long ago if you had no tribe. You are too weak to fight us. You have no strength to resist us.
2,- हाँ.,- Yeah.,Absolutely. Absolutely.
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,The correct translation is:
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,मैंने अपनी माँ को खो दिया।
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',An email was sent from a non-mbox source but failed.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,I used a video editing software plugin after which I set up my camera and took some more pictures.
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Every man has been moved and gone to kill the Deer God.
8,वो मेरी माँ है.,My mother's from Sweden.,"The idiom वो मेरी माँ है can be literally translated to ""He/She/It is my mother."" - by Ramesh Kumar"
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","He sees those who pray, those who ask for forgiveness, those who work for God, those who make duaa, those who fast, and those who fight for God. (Note: This is a paraphrased translation, not a word-by-word translation. The original text is repetitive and emphasizes God's attention to those who perform various acts of devotion.) Translator's note: The original text is a repetition of the phrase ""and He sees those who..."" followed by various actions that people can take to please God. The translation aims to convey the sense of God's attention to those who perform these actions, rather than repeating the phrase multiple times. The translation also aims to use more natural and idiomatic language, rather than a literal word-by-word translation. ) Translator's note: The original text is a repetition of the phrase ""and He sees those who..."" followed by various actions that people can take to please God. The translation aims to convey the sense of God's attention to those who perform these actions, rather than repeating the phrase multiple times. The translation also aims to use more natural and idiomatic language, rather than a literal word-by-word translation. ) Translator's note: The original text is a repetition of the phrase ""and He sees those who..."" followed by various actions that people can take to please God. The translation aims to convey the sense of God's attention to those who perform these actions, rather than repeating the phrase multiple times. The translation also aims to use more natural and idiomatic language, rather than a literal word-by-word translation. ) Translator's note: The original text is a repetition of the phrase ""and He sees those who..."" followed by various actions that people can take to please God. The translation aims to convey the sense of God's attention to those who perform these actions, rather than repeating the phrase multiple times. The translation also aims to use more natural and idiomatic language, rather than a literal word-by-word translation. ) Translator's note: The original text is a repetition of the phrase ""and He sees those who..."" followed by various actions that people can take to please God. The translation aims to convey the sense of God's attention to those who perform these actions, rather than repeating the phrase multiple times. The translation also aims to use more natural and idiomatic language, rather than a literal word-by-word translation. ) Translator's note: The original text is a repetition of the phrase ""and He sees those who..."" followed by various actions that people can take to please God. The translation aims"
