,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,4)
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Give it to me straight
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Butterfly effect
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,Other:
1004,混世魔王,Devil incarnate,Demon King of Chaos,4) The devil incarnate
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To blur the lines
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To muddy the waters
1007,混为一谈,Confuse something with something else,Mix it up,To mix apples and oranges
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,1) Try before you buy
1009,添枝加叶,Embellish a story,Add branches and leaves,2) Cut to the chase
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To put the icing on the cake
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,To cross the Rubicon
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Definition: Adding unnecessary details or actions that do not improve the situation.
1013,游刃有余,Be move than equal to a task,Do it with ease,<select the most relevant English idiom>
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Optional: <select the English idiom that is somewhat relevant but not the best match>
1015,浑然一体,An integral whole,All in one,The whole is greater than the sum of its parts.
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,4) <optional other English idioms>
1017,沧海横流,The changes and disorders of the times,Across the sea,<select the most relevant English idiom>
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A fleeting beauty
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,4) <english idiom> (optional)
1020,滴水成冰,Freezing cold,Dripping into ice,2) A snowball effect
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",```
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,"Note: The above output is an example and not the actual answer to the Chinese idiom """" (wú wèi yú shàng)."
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,Alternatives: <list the other English idioms that are somewhat relevant>
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,<English idiom> (with a brief explanation)
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Cut to the quick
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,3) A golden calf
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,To add insult to injury
1028,烈火见真金,True blue will never stain,Fire sees real gold,Optional: <list other relevant English idioms>
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Break one's heart
1030,无米之炊,Make bricks without straw,Cooking without rice,<selected idiom>
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",Gilding the lily
1032,无风起浪,Make trouble out of nothing,No wind and waves,Not seeing the wood for the trees
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The king of the mountain.
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get something for nothing
1035,无计可施,Utterly without resources,Nothing can be done,<select the most relevant English idiom>
1036,无济于事,Useless,To no avail,```python
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Don't let a good opportunity slip away.
1038,无事生非,Create problems where none exists,Much Ado About Nothing,Optional: <list other idioms that are also relevant>
1039,无所适从,With no definite plan to follow,At a loss,Stage-1 output (definition + candidates):
1040,无恶不作,Commit all manner of crimes,Do no evil,<select the most relevant English idiom>
1041,无以复加,In the extreme,Can't be added,The last straw
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A weed that grows in the cracks of the sidewalk
1043,无缘无故,For no reason at all,For no reason,or
1044,无庸赘述,It's unnecessary to go into details,Needless to say,To gild the lily
1045,烟消云散,Disappear in a flash,Disappear into smoke,The dust has settled.
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,4) To flog a dead horse.
1047,照猫画虎,Imitate,Draw cats and tigers,Copycat
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",2) A lone wolf
1049,煽风点火,Instigate,Fan the flames,Take a black-and-white view
1050,熟视无睹,Ignore,Turn a blind eye,Turn a blind eye
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,3) To fly the coop
1052,争权夺利,Scramble for power and profit,Scramble for power,Live on promises
1053,争长论短,Squabble,Debating long and short,compare apples and oranges
1054,为民请命,Plead in the name of the people,Pray for the people,Alternatives: <list the other two English idioms>
1055,为非作歹,Break the law,To do evil,4) <optional>
1056,为富不仁,Be rich and cruel,For the rich,Money is the root of all evil
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,Gild
1058,为虎作伥,Help a villain do evil,Play for the tiger,Other: <optional other English idioms that are less relevant>
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,Cutting off one's nose to spite one's face.
1060,为所欲为,Have (or get) one's own way,Do whatever you want,To call the shots
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,You are what you eat
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,1) A heart of stone.
1063,片甲不留,The army is completely wiped out,No armor left,Cut to the quick
1064,片瓦无存,Be razed to the ground,No tiles left,4) <optional other English idioms>
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,Don't count your chickens before they hatch.
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,4)
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,"3) When one domino falls, the others follow."
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,To sell ice to an Eskimo
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,Or
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,Riding on someone's coattails
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,2
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,"1) To have a Plan B, C, and D."
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,```
1074,独霸一方,Be a local despot,Dominate one side,A knife to the heart
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,"United we stand, divided we fall."
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,4) <optional other English idioms>
1077,独占鳌头,Head the list of successful candidates,Come out on top,To put the cart before the horse
1078,率由旧章,Follow the beaten track,Rate by old chapter,A skill that can't be taught
1079,玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device",Not seeing the forest for the trees
1080,玩火自焚,Whoever plays with fire gets burnt,Play with fire,Playing with fire.
