,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,<one of the English idioms from the candidates>  OR  Best: <another English idiom from the candidates>  OR  Best: <yet another English idiom from the candidates>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>  OR  Best: <the most relevant English idiom>
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,<select the most relevant English idiom>
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Play loose.
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To cry wolf
804,मुँह बंद कर देना,to silence completely,to shut the mouth,A gift in the hand is worth two in the bush  # Correct
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Big up oneself
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,2) To shoot one's mouth off
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,<select the most relevant English idiom> (OR) Alternative: <select an alternative English idiom>
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Talk through one's hat
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Talk through one's hat
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Explanation: <provide a brief explanation of why this idiom is the best match>
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Raise a red flag
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a black mark against one
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To have a stroke of luck
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Explanation: <briefly explain why it is the best match>
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,<select the most relevant English idiom>
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Alternatives: <list the other English idioms that are relevant>
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the bottom of my heart
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,<select the most relevant English idiom>
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Be in a world of one's own
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Break one's heart
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,A load off one's mind
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Hit the town
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,Definition: <definition of the Hindi idiom>
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,1) To come clean
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,Feedback: <any additional feedback>
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"Explanation: <optional, provide a brief explanation for the selected idiom>"
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,Alternatives: <list the other English idioms that are somewhat relevant but not the best match>
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Other options: <list the remaining options in any order>
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,A gem among peers
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Explanation: <provide a brief explanation for the selected idiom>
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To be left speechless
832,जुबान कसना,to rebuke harshly,to tighten the tongue,Alternatives: <list the other English idioms that match the definition>
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,Explanation: <briefly explain why it's the best match>  |  Other options: <list the other English idioms with a brief explanation of why they're not the best match>  |  Definition: <the definition of the Hindi idiom>  |  Candidates: <list the English idioms with their definitions>
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,OR
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,Slip of the tongue
836,जुबान सरक जाना,to misspeak,for the tongue to slide,To be tongue-tied
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Sugarcoat
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Surrounded by enemies
839,पसीना रोकना,to relieve effort,to stop sweat,2
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"To be in a cold sweat  Explanation: The Hindi idiom ""पसीने-पसीने होना"" means to be extremely nervous or anxious, to the point of sweating profusely. The English idiom ""To be in a cold sweat"" is the most relevant match as it directly describes the physical manifestation of fear or anxiety, which is closely related to the concept of sweating profusely. The other options, while conveying a sense of anxiety, do not specifically mention sweating.  Best: To be in a cold sweat Explanation: The Hindi idiom ""पसीने-पसीने होना"" means to be extremely nervous or anxious, to the point of sweating profusely. The English idiom ""To be in a cold sweat"" is the most relevant match as it directly describes the physical manifestation of fear or anxiety, which is closely related to the concept of sweating profusely. The other options, while conveying a sense of anxiety, do not specifically mention sweating."
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To cry over spilt milk
842,सीने में जलन होना,to feel envy,to have burning in the chest,To sugarcoat the
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,Definition: To be a puppet in someone else's hands and do their bidding.
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,A weight on one's conscience
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,To be in a rage
846,रंग दिखाना,to reveal true colors,to show color,To spill the beans
847,रंगीन होना,to enjoy life freely,to become colorful,Add some spice to the mix
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,To lose one's luster
849,रंग उड़ना,to fade away,for the color to fly/fade,"A drop in the ocean, Alternatives: A needle in a haystack"
850,रंग जमना,to gain traction,for color to set,Candidates: <list of other English idioms>
851,रंग लगना,to start celebrating,to have color applied,To take a fancy to
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,None
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,1) Don't put all your eggs in one basket.
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Stage-1 output (definition + candidates):
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,show the way
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"Alternatives: <list the other English idioms that are somewhat relevant, but not the best match>"
857,अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,To blow one's own trumpet
858,अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,```
859,अपना राग अलापना,to talk only about oneself,to chant one’s own tune,To sing one's own praises
860,अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,Acting on a hunch
861,अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep under wraps
862,अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,Speak one's mind
863,अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Be content with your lot.
864,अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,Out of one's mind
865,अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To tell a thief that the police station is nearby
866,अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,<English idiom>
867,अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Give someone a fish when they can catch their own
868,अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,A den of thieves
869,अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take the blind man to the fair
870,अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Candidates: <list other English idioms that are somewhat relevant>
871,अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,Blind leading the blind
872,"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes",1
873,"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,Definition: <one-sentence definition>
874,अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Between the devil and the deep blue sea
875,अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,Candidates: <list the other English idioms>
876,अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show someone the ropes
877,अंधेरे में बैठना,to stay in ignorance,to sit in darkness,1
878,अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,Alternatives: <list the other English idioms that are somewhat relevant but not as good as the best one>
879,अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,A den of thieves
880,अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,Putting the fox in charge of the henhouse
881,अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,To take a leap of faith
882,अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,A ray of sunshine in a dark place
883,अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",Stage-1 output: <definition of the Hindi idiom + candidates>
884,अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,It never rains but it pours.
885,अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Missing the forest for the trees OR
886,अंधा प्रेम करना,to love without reason,to love blindly,Love is blind
887,अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,Explanation: <briefly explain why the selected idiom is the best match>
888,अंधे की लाठी,only source of dependence,a blind man’s staff,1) A blind man's bluff
889,अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,A glimpse of hope
890,अंधेरे में रहना,to be ignorant,to live/stay in darkness,2
891,अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Explanation: <optional explanation>
892,अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,Alternatives: <list the other English idioms that are somewhat relevant>
893,अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,Give a fish to a man who has never seen the sea
894,अंधे की किस्मत,blind luck / chance success,the blind man’s luck,Puppet on a string
