,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To wash one's feet
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Stage-2 output (justification):
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Hold one's tongue
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Suppressing one's feelings
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Keep your mouth shut
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To speak or act in a way that is not sincere or genuine.
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be polite and courteous
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep your mouth shut
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Be silent
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,<select the most relevant English idiom>
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To make someone feel embarrassed or ashamed by giving them a hard time
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Aha moment
813,दिल में जगह बनाना,to win affection,to make a place in the heart,Make room for someone
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,<select the most relevant English idiom>
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A mood swing
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To be upset about something
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,In the depths of my heart.
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Stage-1 output (definition + candidates): 4) <english idiom> 5) <english idiom> 6) <english idiom>
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,To have a lot of ideas or thoughts in one's mind.
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Stage-2 output:
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,<select the most relevant English idiom>
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,to throw someone off their game
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,Stage-2 output (justification):
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Stage-2 output (justification):
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or disorientation.
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a headache
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,A chicken in a box
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work like a dentist scraping away at a tooth without rest or respite.
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To hold one's breath
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Turn a deaf ear
831,जुबान काट लेना,to regret words spoken,to bite the tongue,<select the most relevant English idiom>
832,जुबान कसना,to rebuke harshly,to tighten the tongue,<select the most relevant English idiom>
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,A master of their craft
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,Stage-1 output (definition + candidates): 10) A person who is not very good at something.
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,Lose one's grip
836,जुबान सरक जाना,to misspeak,for the tongue to slide,To be in a pickle
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Stage-2 output (justification for the output):
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Stage-2 output (justification):
839,पसीना रोकना,to relieve effort,to stop sweat,Stage-1 output: <english idiom>
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),to be on pins and needles
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have a heart attack
842,सीने में जलन होना,to feel envy,to have burning in the chest,To be on cloud nine
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To be in a pickle
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,Eureka moment
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,in a pickle
846,रंग दिखाना,to reveal true colors,to show color,Show
847,रंगीन होना,to enjoy life freely,to become colorful,To become vibrant
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,In a state of confusion
849,रंग उड़ना,to fade away,for the color to fly/fade,Stage-2 output (justification for the output):
850,रंग जमना,to gain traction,for color to set,In a pickle
851,रंग लगना,to start celebrating,to have color applied,To change color
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,Add fuel to the fire
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Stage-2 output (justification):
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To be open and direct
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To obsess over one's own thoughts and feelings.
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,In a pinch
857,अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,stick to one's guns
858,अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Other: <select the most relevant English idiom>
859,अपना राग अलापना,to talk only about oneself,to chant one’s own tune,A gift for the heart
860,अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,<select the most relevant English idiom>
861,अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,bury one's head in the sand
862,अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To admit one's wrongdoing
863,अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",To speak one's mind
864,अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,To lose one's mind
865,अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,Go to the dogs' house
866,अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,Blind spot
867,अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,To divide the night
868,अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,Blind as a bat
869,अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,Stage-2 output:
870,अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the blind can see.
871,अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,rotten in the mouth
872,"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes",To know someone's name but not their appearance.
873,"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"Whatever you want, just two eyes."
874,अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,putting it in the dark
875,अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To give permission to enter a dark place.
876,अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,<select the most relevant English idiom>
877,अंधेरे में बैठना,to stay in ignorance,to sit in darkness,To be in the dark
878,अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be in the dark
879,अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,<select the most relevant English idiom>
880,अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,In the dark
881,अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,Take a chance
882,अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,Stage-2 output (justification):
883,अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",A blind king is a king who is unable to see or understand the needs of his subjects.
884,अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,A silver lining
885,अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,To make someone feel lost and confused.
886,अंधा प्रेम करना,to love without reason,to love blindly,Blindly in love
887,अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,To save someone from a difficult situation by providing them with a helping hand.
888,अंधे की लाठी,only source of dependence,a blind man’s staff,play hide-and-seek in the dark
889,अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,To have a vision of the future
890,अंधेरे में रहना,to be ignorant,to live/stay in darkness,Reason: <select the most relevant English idiom>
891,अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,To seek out a route in the dark.
892,अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,Stage-1 output:
893,अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,create a ruckus
894,अंधे की किस्मत,blind luck / chance success,the blind man’s luck,<select the most relevant English idiom>
895,अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,Give someone a chance
896,"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face",To hear the name of a person without seeing their face.
897,"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,Stage-2 output (just the idiom): You can't see a thing
898,अंधा गुस्सा करना,to get blindly angry,to do blind anger,Let off steam
899,अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,<select the most relevant English idiom>
900,अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,<select the most relevant English idiom>
901,अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,Luck of the blind
902,अंधेरे में भटकना,to wander without direction,to wander in darkness,to stumble in the dark
903,अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result",Love in the dark leads to darkness.
904,अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,Stage-1 output: <english idiom definition> <candidates>
905,अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,To have a light bulb moment
906,अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,Blind as a bat
907,अंधेरे से डरना,to fear ignorance or truth,to fear darkness,To be scared of the dark
908,अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,Stage-2 output:
909,अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,<select the most relevant English idiom>
910,अंधेरे में ताकना,to look aimlessly,to gaze into the dark,Be careful as a mouse in the trap
911,अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,Don't look a gift horse in the mouth.
912,अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,Stage-2 output (justification):
913,अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,Searching for something in the dark
914,अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,To steal from someone who is unaware of the theft.
915,अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,To give someone a mirror to see their flaws.
916,अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,To gain something from a situation that is not ideal or favorable.
