,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,Dark forest
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Make it simple
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Leave a lasting impression
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,to nitpick
1004,混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,muddy the waters
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confused right from wrong
1007,混为一谈,Confuse something with something else,Mix it up,Stage-2 output:
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To skim over a subject without diving into its details.
1009,添枝加叶,Embellish a story,Add branches and leaves,embellish
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To add a piece to a puzzle.
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,exaggerate
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,See the light
1013,游刃有余,Be move than equal to a task,Do it with ease,Cut with ease
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the situation
1015,浑然一体,An integral whole,All in one,A whole is one.
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learning from past experiences
1017,沧海横流,The changes and disorders of the times,Across the sea,A stormy sea
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,drop in the ocean
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Kill two birds with one stone.
1020,滴水成冰,Freezing cold,Dripping into ice,water freezes
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,A wave of public attention
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and vulgar in public.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,To pass off a fake as a real.
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A dazzling display of lights and colors
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,There's no such thing as a silver bullet
1028,烈火见真金,True blue will never stain,Fire sees real gold,Gold is found in the fire
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To create the illusion of something being larger or more significant than it actually is.
1030,无米之炊,Make bricks without straw,Cooking without rice,To cook without ingredients
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A small storm can cause a big wave.
1032,无风起浪,Make trouble out of nothing,No wind and waves,To cause trouble without reason
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The best of the best
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get what you deserve
1035,无计可施,Utterly without resources,Nothing can be done,At a dead end
1036,无济于事,Useless,To no avail,It doesn't help.
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Reasoning: <select the most relevant English idiom> is the best choice because <reasoning>.
1038,无事生非,Create problems where none exists,Much Ado About Nothing,To stir up trouble for no reason.
1039,无所适从,With no definite plan to follow,At a loss,in a quandary
1040,无恶不作,Commit all manner of crimes,Do no evil,A person who does not have any evil deeds.
1041,无以复加,In the extreme,Can't be added,to the nth degree
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A river without a source
1043,无缘无故,For no reason at all,For no reason,For no reason
1044,无庸赘述,It's unnecessary to go into details,Needless to say,A no-brainer
1045,烟消云散,Disappear in a flash,Disappear into smoke,Fading away
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Burn the candle at both ends.
1047,照猫画虎,Imitate,Draw cats and tigers,Imitate
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely and alone
1049,煽风点火,Instigate,Fan the flames,To fan the flames
1050,熟视无睹,Ignore,Turn a blind eye,Ignore the obvious
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,A fly in the ointment
1052,争权夺利,Scramble for power and profit,Scramble for power,To vie for power and wealth
1053,争长论短,Squabble,Debating long and short,quibble
1054,为民请命,Plead in the name of the people,Pray for the people,To fight for the common good.
1055,为非作歹,Break the law,To do evil,do evil
1056,为富不仁,Be rich and cruel,For the rich,To be unkind to the poor.
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give someone the wings of a dragon
1058,为虎作伥,Help a villain do evil,Play for the tiger,to aid and abet
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To chase away sparrows in a bush.
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Do as one pleases
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,To drive a wedge between
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,A man who has lost his way.
1063,片甲不留,The army is completely wiped out,No armor left,leave no trace
1064,片瓦无存,Be razed to the ground,No tiles left,A house without a single roof tile
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,The words don't match the deeds.
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,A monster or a demon
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A stitch in time saves nine.
