,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Take a deep breath
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To take hold of something
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Hold one's breath
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Keep your mouth shut
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Keep your mouth shut
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Bite your tongue
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,<select the most relevant English idiom>
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be polite
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,<select the most relevant English idiom>
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Keep your mouth shut
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To talk with great enthusiasm
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Put an end to
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a strong belief or conviction about something.
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in one's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Stage-2 output (justification):
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A mood swing
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep your feelings bottled up
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depth of the heart: The heart's true feelings.
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,To feel elated
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Stage-2 output:
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Stage-2 output:
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find solace
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,<select the most relevant English idiom>
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,Aha moment
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put a thought into action
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or bewilderment.
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a headache
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,To be on guard or watchful.
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Stage-1 output: <english idiom>
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Stage-2 output (justification):
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,keep someone in the dark
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off one's nose to spite one's face
832,जुबान कसना,to rebuke harshly,to tighten the tongue,<select the most relevant English idiom>
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,<select the most relevant English idiom>
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,Busy as a bee
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,lose one's cool
836,जुबान सरक जाना,to misspeak,for the tongue to slide,to be in a state of confusion
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep a secret
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Reason: <select the reason for choosing the idiom>
839,पसीना रोकना,to relieve effort,to stop sweat,To hold one's nose and not be affected by something unpleasant.
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),Stage-2 output:
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,Headache
842,सीने में जलन होना,to feel envy,to have burning in the chest,To be on the edge of your seat.
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,to hit it big
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,Reason: <select the most relevant English idiom>
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,The cat's out of the bag
846,रंग दिखाना,to reveal true colors,to show color,To show one's true colors
847,रंगीन होना,to enjoy life freely,to become colorful,Reasoning: <select the most relevant English idiom> is the best match because <reasoning>.
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,in a sour mood
849,रंग उड़ना,to fade away,for the color to fly/fade,A change of heart
850,रंग जमना,to gain traction,for color to set,To become stained or discolored.
851,रंग लगना,to start celebrating,to have color applied,To be in a state of confusion or disarray.
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,Stage-2 output:
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,One should not be overly cautious in all situations.
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Tell the truth
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To be in one's own head
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The grapes are sour.
857,अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,Speak your mind
858,अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,To think highly of oneself
859,अपना राग अलापना,to talk only about oneself,to chant one’s own tune,To talk about one's own feelings
860,अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To be blind to the facts
861,अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Stage-2 output:
862,अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To admit one's own mistake.
863,अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Other: <select the other relevant English idiom>
864,अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,to lose one's mind
865,अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,Be obsessed with
866,अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To wear a blindfold.
867,अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,To cut off all hope or possibilities.
868,अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,Stage-2 output (justification):
869,अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,Reason: <select the most relevant English idiom>
870,अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,An open eye in the dark.
871,अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,<select the most relevant English idiom>
872,"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes",To hear the name of a blind person and not see them.
873,"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,Blind as a bat
874,अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,"To hide something from others, especially when it is not appropriate or wanted."
875,अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To shed light on a situation
876,अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,<select the most relevant English idiom>
877,अंधेरे में बैठना,to stay in ignorance,to sit in darkness,In the dark
878,अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,Stage-2 output:
879,अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,"To search for something in the dark, often referring to a situation where one cannot see clearly or is in a state of confusion."
880,अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,A fool with a lantern
881,अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,Being blind to something or someone
882,अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,Illuminate the unknown
883,अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",A king who is blind to the suffering of his people will be blind to the suffering of his people.
