,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,A dense forest
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Make it simple
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,have a lasting impact
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,read between the lines
1004,混世魔王,Devil incarnate,Demon King of Chaos,a troublemaker
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To confuse right from wrong
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse right from wrong
1007,混为一谈,Confuse something with something else,Mix it up,Mix up
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,sample the fruits
1009,添枝加叶,Embellish a story,Add branches and leaves,To embellish or add unnecessary details.
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Add one's own bricks to a wall
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,To embellish or exaggerate a story or event.
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Clear as a bell
1013,游刃有余,Be move than equal to a task,Do it with ease,To have ample time to do something.
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the opportunity
1015,浑然一体,An integral whole,All in one,One piece of the puzzle
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learning from history to understand the present
1017,沧海横流,The changes and disorders of the times,Across the sea,A stormy sea
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the ocean
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,To wipe out the enemy.
1020,滴水成冰,Freezing cold,Dripping into ice,Ice-cold
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,A media storm
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and obnoxious in public.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,To pass off a fake for a real thing.
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A dazzling display of lights and decorations.
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A figment of one's imagination
1028,烈火见真金,True blue will never stain,Fire sees real gold,A test of fire reveals the true gold
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To create a false impression.
1030,无米之炊,Make bricks without straw,Cooking without rice,A house of cards
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A wild goose chase
1032,无风起浪,Make trouble out of nothing,No wind and waves,A storm is brewing.
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,You are unbeatable.
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get something for nothing.
1035,无计可施,Utterly without resources,Nothing can be done,Out of ideas
1036,无济于事,Useless,To no avail,It won't help.
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Don't bother me unless it's important
1038,无事生非,Create problems where none exists,Much Ado About Nothing,To stir up trouble for no reason.
1039,无所适从,With no definite plan to follow,At a loss,Caught between a rock and a hard place
1040,无恶不作,Commit all manner of crimes,Do no evil,Do as you please
1041,无以复加,In the extreme,Can't be added,beyond description
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A tree without roots
1043,无缘无故,For no reason at all,For no reason,For no apparent reason
1044,无庸赘述,It's unnecessary to go into details,Needless to say,It's a no-brainer.
1045,烟消云散,Disappear in a flash,Disappear into smoke,vanish like smoke and clouds
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Waste time on something that is not worth it.
1047,照猫画虎,Imitate,Draw cats and tigers,Copycat
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely as a crow
1049,煽风点火,Instigate,Fan the flames,Stir up trouble
1050,熟视无睹,Ignore,Turn a blind eye,turn a blind eye
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,"To have a nest built on the ceiling, meaning to be in a precarious or dangerous situation."
1052,争权夺利,Scramble for power and profit,Scramble for power,Compete for power and wealth.
1053,争长论短,Squabble,Debating long and short,pick at
1054,为民请命,Plead in the name of the people,Pray for the people,To speak up for the people
1055,为非作歹,Break the law,To do evil,do wrong
1056,为富不仁,Be rich and cruel,For the rich,To be a selfish person
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give wings to a tiger.
1058,为虎作伥,Help a villain do evil,Play for the tiger,To be a willing accomplice.
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To drive away birds from a group.
1060,为所欲为,Have (or get) one's own way,Do whatever you want,do as one pleases
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,To drive fish away from a pond
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"When the wall falls, everyone will blame someone else."
1063,片甲不留,The army is completely wiped out,No armor left,leave no trace
1064,片瓦无存,Be razed to the ground,No tiles left,Nothing is left standing.
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,A phrase that means the speaker is saying something that is not relevant or not true.
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,A person or thing that is considered to be evil or dangerous.
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A drop in the bucket
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,dog bites man
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,A sudden and unexpected outburst.
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,A fox takes advantage of a lion's reputation.
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,A pack of dogs
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,A bird in the hand is worth two in the bush
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,A dog and a cat meet in the middle of the street.
1074,独霸一方,Be a local despot,Dominate one side,Dominate a territory
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,A stitch in time saves nine.
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,a tyrant who oppresses the people
1077,独占鳌头,Head the list of successful candidates,Come out on top,First place
1078,率由旧章,Follow the beaten track,Rate by old chapter,Stage-2 output (justification):
