,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Rags to riches
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Fritter away
802,पैर रोक लेना,to hesitate before action,to hold back the foot,To pull the plug
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To fall into a trap
804,मुँह बंद कर देना,to silence completely,to shut the mouth,<english idiom>
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To swallow a bitter pill
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,3) Hit the ground running
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,<select the most relevant English idiom> OR
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Stage-2 output (best idiom):
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Under the radar
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talk through one's hat
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Give someone a wake-up call
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To change one's stripes
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To be in someone's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Alternatives:
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A thorn in one's side
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Stage-1 output: Definition + candidates
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,1) From the bottom of my heart
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Get a lump in one's throat
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Between you and me
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,A dead loss
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,"Alternatives: <list the other two English idioms, if they are relevant>  |"
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,<select the most relevant English idiom>
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,To be blinded by wealth
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,A flash in the pan
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,Knowledge is power
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Explanation: <briefly explain why the selected English idiom is the best match for the Hindi idiom>
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,Backstab
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,<select the most relevant English idiom> OR
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,1) Milkaholic
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Be at a loss for words
831,जुबान काट लेना,to regret words spoken,to bite the tongue,Please select the best English idiom for the given Hindi idiom जुबान काट लेना.
832,जुबान कसना,to rebuke harshly,to tighten the tongue,<select the most relevant English idiom>
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,A white elephant
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,Bite one's tongue
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,A madhouse.
836,जुबान सरक जाना,to misspeak,for the tongue to slide,All talk and no action
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Sugarcoat something
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Blood is thicker than water
839,पसीना रोकना,to relieve effort,to stop sweat,Call it a day
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),Nobody's child
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"1) Having a knot in one's stomach  (This idiom conveys a sense of physical discomfort or anxiety, which is similar to the meaning of the Hindi idiom सीने में दर्द होना.)  ```python"
842,सीने में जलन होना,to feel envy,to have burning in the chest,3) To have a guilty conscience
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To make the best of a bad job
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,A weight on one's shoulders.
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,A puppet on a string
846,रंग दिखाना,to reveal true colors,to show color,```python
847,रंगीन होना,to enjoy life freely,to become colorful,2) To spice up the scene
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,"Definition: <one-sentence definition>, Candidates: 1) <english idiom>, 2) <english idiom>, 3) <english idiom>."
849,रंग उड़ना,to fade away,for the color to fly/fade,To be over the moon
850,रंग जमना,to gain traction,for color to set,To fit in
851,रंग लगना,to start celebrating,to have color applied,Take a shine to something.
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To be in the zone
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,2) All things in moderation
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,None: <select the most relevant English idiom if the Hindi idiom is not matched with any English idiom>
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,round the bend
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,<select the most relevant English idiom>
