,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Stage-1 output: <english idiom>
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To catch someone's attention
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Keep your feelings to yourself
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Keep your mouth shut
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Stage-1 output: <english idiom>
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To say something indirectly or in a roundabout way.
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,<select the most relevant English idiom>
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be a smooth talker
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Stage-2 output (justification):
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Keep a stiff upper lip
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,to bite the bullet
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To push someone's buttons
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To be overwhelmed by a sudden and overwhelming sense of accomplishment or pride.
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To have a place in one's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"To feel a strong emotion or desire, as if there were a sharp pain in the heart."
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Stage-2 output (justification):
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To feel sad about something
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,To be deeply moved
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Reason: <select the most relevant English idiom>
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,<select the most relevant English idiom>
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,<select the most relevant English idiom>
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To feel at ease
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind go blank or confused.
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,Think clearly
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put one's mind at ease
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or disarray
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Aha moment
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,<select the most relevant English idiom>
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"To work like a bee, working hard and tirelessly."
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Stage-2 output (justification):
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Turn a blind eye
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off one's source of income.
832,जुबान कसना,to rebuke harshly,to tighten the tongue,To break the ice
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,A man of his word
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,To be overly critical or nitpicky about something.
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"Others: <list the other options, if any>"
836,जुबान सरक जाना,to misspeak,for the tongue to slide,To be in a state of confusion or bewilderment
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep your mouth shut
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To forge a bond
839,पसीना रोकना,to relieve effort,to stop sweat,Stage-2 output (justification):
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),to be on pins and needles
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,Stage-2 output (justification):
842,सीने में जलन होना,to feel envy,to have burning in the chest,<select the most relevant English idiom>
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To suddenly become aware of something that has been overlooked or ignored.
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To be in a pickle
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,<select the most relevant English idiom>
846,रंग दिखाना,to reveal true colors,to show color,To reveal one's true colors
847,रंगीन होना,to enjoy life freely,to become colorful,Reason: <select the most relevant English idiom>
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,A mood swing
849,रंग उड़ना,to fade away,for the color to fly/fade,Stage-2 output (justification):
850,रंग जमना,to gain traction,for color to set,In a sour mood
851,रंग लगना,to start celebrating,to have color applied,To be overwhelmed by a sudden surge of emotion or feeling.
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,to add a touch of color
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Don't be too careful.
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To be open and direct
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To keep one's nose to the grindstone
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,Reason: <explain why you chose that idiom>
857,अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,Speak your mind
858,अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your head above water
859,अपना राग अलापना,to talk only about oneself,to chant one’s own tune,To express oneself in an inappropriate manner.
860,अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,Stage-2 output (justification for the choice):
861,अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Hide in plain sight
862,अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,अपनी गलती को बताना और उसे समझाना
863,अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Self-centered
864,अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,lose one's mind
865,अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,Give me your best
866,अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,blind as a bat
867,अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Blind as a bat
868,अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,<select the most relevant English idiom>
869,अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,Stage-2 output (justification):
870,अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the blind can see.
871,अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,"In the dark, seeing a white bread"
872,"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes",To hear the name of someone without seeing them.
873,"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,A person who is blind is still able to see with their heart.
874,अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Hide and seek
875,अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,Stage-2 output:
876,अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,<select the most relevant English idiom>
877,अंधेरे में बैठना,to stay in ignorance,to sit in darkness,In a state of confusion
878,अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,Blind to something
879,अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Others: <select the other English idioms that are not the most relevant but still relevant>
880,अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,In the dark
881,अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,To be blind to the truth or reality.
882,अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,bring light into darkness
883,अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind leading the blind
884,अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,To succeed despite the adversity
885,अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Blind as a bat
886,अंधा प्रेम करना,to love without reason,to love blindly,<select the most relevant English idiom>
887,अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,Blind leading the blind
888,अंधे की लाठी,only source of dependence,a blind man’s staff,A fool's errand
