,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To beat around the bush
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,OR
802,पैर रोक लेना,to hesitate before action,to hold back the foot,OR
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To pass the buck
804,मुँह बंद कर देना,to silence completely,to shut the mouth,<select the most relevant English idiom>
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To blow one's own trumpet
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To talk the hind legs off a dog
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,A flea market
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,<English idiom> OR
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Shoot one's mouth off
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To cut one's losses
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Explanation: <briefly explain why the selected English idiom is the best match>
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Blind leading the blind
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To capture someone's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,2) A bitter pill to swallow
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Show up out of the blue
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Reasoning: <briefly explain why the selected idiom is the best match>
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Adding fuel to the fire
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Be on cloud nine
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,4) <other options>
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Stage-1 output (definition + candidates):
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,A heart at ease
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Drive someone round the bend
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,It's all water under the bridge
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To weigh heavily on one's mind
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,Without rhyme or reason
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To lose one's marbles  OR
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,To be in a flap
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,दाँत नाखून से काम लेना - <select the most relevant English idiom>
