,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To make up one's mind
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Alternatives: <list the other English idioms similar in meaning and context>
802,पैर रोक लेना,to hesitate before action,to hold back the foot,3) Study the subject.
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Give the cold shoulder
804,मुँह बंद कर देना,to silence completely,to shut the mouth,To be at a loss for words
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To blow one's own trumpet
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Explanation: <provide a brief explanation for the selected idiom>
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,3) To the letter
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Other: <list other relevant English idioms>
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Beat around the bush
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Unearth
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Put someone on edge
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,The writing is on the wall.
813,दिल में जगह बनाना,to win affection,to make a place in the heart,Under the radar
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Stage-1 output (definition + candidates):
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,1) Behind bars
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Explanation: <briefly justify the choice>
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"Explanation: The selected idiom is the best match because it is a common English idiom that is similar in meaning and context to the Hindi idiom ""जैसे पानी में हाथ डालना""."
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Tug at one's heartstrings
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Be in seventh heaven
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,```
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,Alternatives: <list the other English idioms that could also be used>
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Explanation: <provide a brief explanation for the selected idiom>
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,<select the most relevant English idiom>
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Candidates: <list the other English idioms with their similarity to the Hindi idiom>
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,A university of life
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To cut one's losses
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The world is your oyster
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,1) Pull strings
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Keep under wraps
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,<select the most relevant English idiom>
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To put a tiger in charge of a dairy
832,जुबान कसना,to rebuke harshly,to tighten the tongue,"Alternative: <list the other relevant English idioms, if any> Answer: Best: Keep mum Alternative: Bite your tongue, Zip it, Hold your peace Explanation: The Hindi idiom जुबान कसना means to keep quiet or remain silent. The most relevant English idiom that matches this definition is ""Keep mum"". The other options, ""Bite your tongue"", ""Zip it"", and ""Hold your peace"", are also relevant but not as direct a match as ""Keep mum"". ""Bite your tongue"" implies a more temporary silence, ""Zip it"" is a more informal expression, and ""Hold your peace"" is a more formal or legalistic expression. Therefore, ""Keep mum"" is the best match. Note: The output format has been modified to include the ""Best"" and ""Alternative"" sections as requested. The ""Best"" section contains the most relevant English idiom, and the ""Alternative"" section lists the other relevant English idioms. This format is more suitable for the given task. -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,A straight shooter
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,Alternatives:
