,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,deep forest
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Make it simple
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,has a lasting impression
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,to be a stickler for details
1004,混世魔王,Devil incarnate,Demon King of Chaos,A wild and unruly person.
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Misjudge right and wrong
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Misinterpret right and wrong
1007,混为一谈,Confuse something with something else,Mix it up,Mix up
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Take it easy
1009,添枝加叶,Embellish a story,Add branches and leaves,embellish
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Add one's oar to the tide
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,embellish
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,clear as day
1013,游刃有余,Be move than equal to a task,Do it with ease,to be able to handle the situation with ease
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Fish in troubled waters
1015,浑然一体,An integral whole,All in one,A perfect match
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learning from past mistakes
1017,沧海横流,The changes and disorders of the times,Across the sea,A stormy sea
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,a drop in the bucket
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Kill two birds with one stone
1020,滴水成冰,Freezing cold,Dripping into ice,Freezing
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,A storm is brewing.
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and vulgar in public.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,A fake expert
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A dazzling display of fireworks and lights.
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A madman
1028,烈火见真金,True blue will never stain,Fire sees real gold,"When the chips are down, true character is revealed."
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To describe someone or something that is not as good as it seems.
1030,无米之炊,Make bricks without straw,Cooking without rice,A dish without rice
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A small storm can cause a big storm.
1032,无风起浪,Make trouble out of nothing,No wind and waves,A disturbance without a cause
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The best of the best
1034,无功受禄,Get a reward without deserving it,Reward without merit,Take advantage of someone's kindness
1035,无计可施,Utterly without resources,Nothing can be done,at a loss
1036,无济于事,Useless,To no avail,It doesn't work.
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"A Chinese idiom meaning ""no matter what, I will go to the temple of the Three Buddhas."
1038,无事生非,Create problems where none exists,Much Ado About Nothing,To stir up trouble
1039,无所适从,With no definite plan to follow,At a loss,Caught between a rock and a hard place
1040,无恶不作,Commit all manner of crimes,Do no evil,A person who does not have any bad habits or behaviors.
1041,无以复加,In the extreme,Can't be added,Unparalleled
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A house without a foundation
1043,无缘无故,For no reason at all,For no reason,Without cause
1044,无庸赘述,It's unnecessary to go into details,Needless to say,obvious
1045,烟消云散,Disappear in a flash,Disappear into smoke,vanish into thin air
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Kill time with trivial activities
1047,照猫画虎,Imitate,Draw cats and tigers,Copycat
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely as a crow
1049,煽风点火,Instigate,Fan the flames,To fan the flames
1050,熟视无睹,Ignore,Turn a blind eye,overlook
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,A bird's nest in the curtains
1052,争权夺利,Scramble for power and profit,Scramble for power,To vie for power and wealth.
1053,争长论短,Squabble,Debating long and short,To argue about trivial matters
1054,为民请命,Plead in the name of the people,Pray for the people,To speak out for the people
1055,为非作歹,Break the law,To do evil,Do as one pleases
1056,为富不仁,Be rich and cruel,For the rich,Rich and cruel
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,Add insult to injury
1058,为虎作伥,Help a villain do evil,Play for the tiger,To be a willing accomplice to a criminal
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To drive away birds from a flock.
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Do as you please
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,Drive the fish out of the pond
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"When a wall falls, everyone pushes it down."
1063,片甲不留,The army is completely wiped out,No armor left,leave no trace
