,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,All's fair in love and war.
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,4) <optional other idioms>
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,<select the most relevant English idiom>
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,A heart of stone
1004,混世魔王,Devil incarnate,Demon King of Chaos,Prince of darkness
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To be cut to the quick
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To muddy the waters
1007,混为一谈,Confuse something with something else,Mix it up,To mix apples and oranges
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,All rivers flow into the sea.
1009,添枝加叶,Embellish a story,Add branches and leaves,<select the most relevant English idiom>
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To overembellish
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,To embellish the facts
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,<idiom> (with explanation)
1013,游刃有余,Be move than equal to a task,Do it with ease,<select the most relevant English idiom>
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To promise the moon
1015,浑然一体,An integral whole,All in one,all for one
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"Definition: To learn something new, you need to recall what you already know."
1017,沧海横流,The changes and disorders of the times,Across the sea,4) The storm is raging.
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,Definition: <briefly define the selected English idiom>
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Explanation: <explain why the selected idiom is the best match>
1020,滴水成冰,Freezing cold,Dripping into ice,A tiny spark can set off a fire
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",<select the most relevant English idiom>
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,The whole town is in an uproar.
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A ghost
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,4) <optional other idiom(s) that are relevant but not the best match>
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Putting the icing on the cake
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A bird in the hand is worth two in the bush
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,1) A rolling stone gathers no moss.
1028,烈火见真金,True blue will never stain,Fire sees real gold,"United we stand, divided we fall"
