,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,A dense and remote forest.
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,"Keep it simple, stupid."
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,have a deep impact
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,Stage-2 output:
1004,混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse black and white
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse right from wrong
1007,混为一谈,Confuse something with something else,Mix it up,Mix up
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To try something briefly and superficially.
1009,添枝加叶,Embellish a story,Add branches and leaves,to embellish
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To add a brick to the wall.
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,to embellish or exaggerate a story or event.
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Clear as crystal
1013,游刃有余,Be move than equal to a task,Do it with ease,having plenty of room to maneuver
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the opportunity
1015,浑然一体,An integral whole,All in one,A seamless blend
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learning from past experiences to gain new insights
1017,沧海横流,The changes and disorders of the times,Across the sea,A time of great change or upheaval.
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the ocean
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,To wipe out the enemy for a meal.
1020,滴水成冰,Freezing cold,Dripping into ice,A drop of water turns into ice.
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,A media storm or public uproar
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who behaves aggressively and disrupts public order.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,A person who pretends to be skilled but is actually incompetent.
