,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,To be in the wilderness.
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,To explain something clearly and concisely.
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,make a deep impression
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,To nitpick.
1004,混世魔王,Devil incarnate,Demon King of Chaos,A wild child
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,confuse black and white
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Misinterpret right and wrong
1007,混为一谈,Confuse something with something else,Mix it up,Mix up
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Bite off more than you can chew
1009,添枝加叶,Embellish a story,Add branches and leaves,Add superfluous details
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Add a brick to the wall
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Topping up a tale
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,All misunderstandings melt away
1013,游刃有余,Be move than equal to a task,Do it with ease,To have ample space to move around.
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the situation
1015,浑然一体,An integral whole,All in one,To be completely merged into a single entity.
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learn from experience
1017,沧海横流,The changes and disorders of the times,Across the sea,A stormy sea
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the ocean
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Kill them all for breakfast
1020,滴水成冰,Freezing cold,Dripping into ice,It's a drop in the bucket.
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,a storm of public opinion
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and abusive in public.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,A group of people who are not skilled or qualified but pretend to be experts in order to gain recognition or acceptance.
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A dazzling display of fireworks or lights
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A figment of your imagination
1028,烈火见真金,True blue will never stain,Fire sees real gold,"When the chips are down, the real person shows themselves."
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To create a false impression or appearance.
1030,无米之炊,Make bricks without straw,Cooking without rice,A picture is worth a thousand words
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",<select the most relevant English idiom>
1032,无风起浪,Make trouble out of nothing,No wind and waves,A sudden and unexpected event
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,the best in the world
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get something for nothing
1035,无计可施,Utterly without resources,Nothing can be done,There's no way out
1036,无济于事,Useless,To no avail,It doesn't make a difference.
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Nothing happens unless it's important
1038,无事生非,Create problems where none exists,Much Ado About Nothing,To stir up trouble for no reason.
1039,无所适从,With no definite plan to follow,At a loss,Don't know what to do
1040,无恶不作,Commit all manner of crimes,Do no evil,a bad apple
1041,无以复加,In the extreme,Can't be added,to the nth degree
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A house without a foundation
1043,无缘无故,For no reason at all,For no reason,Out of nowhere
1044,无庸赘述,It's unnecessary to go into details,Needless to say,It's a no-brainer
1045,烟消云散,Disappear in a flash,Disappear into smoke,Reason: <select the most relevant English idiom> is the best match because <reason for selecting this idiom>. Other options are not as suitable because <reasons for not selecting other options>.
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Waste time and energy on trivial pursuits
1047,照猫画虎,Imitate,Draw cats and tigers,Copycat
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely as a ghost
1049,煽风点火,Instigate,Fan the flames,To fan the flames
1050,熟视无睹,Ignore,Turn a blind eye,ignore completely
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,A bird in the hand is worth two in the bush
