,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,2
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Optional: <list other English idioms that are somewhat relevant>
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,A bitter pill to swallow
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,To gild the lily.  ```python
1004,混世魔王,Devil incarnate,Demon King of Chaos,4) King of the underworld
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To be as hard as nails
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To muddy the moral waters
1007,混为一谈,Confuse something with something else,Mix it up,4) <other English idioms> (if available)
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,3) Taste before you swallow
1009,添枝加叶,Embellish a story,Add branches and leaves,Add insult to injury
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To add insult to injury
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,4)
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Definition: <definition of the Chinese idiom>
1013,游刃有余,Be move than equal to a task,Do it with ease,<select the most relevant English idiom>
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,1) To fish in troubled waters
1015,浑然一体,An integral whole,All in one,<select the most relevant English idiom>
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,3) The best-laid plans of mice and men often go awry.  or
1017,沧海横流,The changes and disorders of the times,Across the sea,4) <english idiom> (optional)
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,4) <optional other idioms>
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Live high on the hog
1020,滴水成冰,Freezing cold,Dripping into ice,To gild the lily
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Definition: A small obstacle can block one's view.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,Definition: <the definition of the Chinese idiom>
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,4) <optional other English idioms>
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,Explanation: <briefly explain why the selected English idiom matches the Chinese idiom>
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,<select the most relevant English idiom>
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,The cream of the crop
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,1) All hat and no cattle
1028,烈火见真金,True blue will never stain,Fire sees real gold,A storm is a good test of a ship.
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To gild the lily
1030,无米之炊,Make bricks without straw,Cooking without rice,Can't see the forest for the trees.
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",To add insult to injury
1032,无风起浪,Make trouble out of nothing,No wind and waves,Different strokes for different folks
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The king of the mountain.
1034,无功受禄,Get a reward without deserving it,Reward without merit,4) <optional fourth idiom>
1035,无计可施,Utterly without resources,Nothing can be done,Stage-1 output: <optional English idiom(s)>
1036,无济于事,Useless,To no avail,Candidates: <list of similar English idioms>
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,A bird in the hand is worth two in the bush.
1038,无事生非,Create problems where none exists,Much Ado About Nothing,2
1039,无所适从,With no definite plan to follow,At a loss,To rise from the ashes
1040,无恶不作,Commit all manner of crimes,Do no evil,2. The end justifies the means
1041,无以复加,In the extreme,Can't be added,The last straw
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",or
1043,无缘无故,For no reason at all,For no reason,Out of the blue
1044,无庸赘述,It's unnecessary to go into details,Needless to say,There's no need to beat around the bush.```python
1045,烟消云散,Disappear in a flash,Disappear into smoke,The storm has passed.
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Definition: <definition of the Chinese idiom>
1047,照猫画虎,Imitate,Draw cats and tigers,"4) Best: monkey see, monkey do"
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Out on a limb
1049,煽风点火,Instigate,Fan the flames,A sea of faces
1050,熟视无睹,Ignore,Turn a blind eye,To turn a blind eye
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,Turn one's life upside down
1052,争权夺利,Scramble for power and profit,Scramble for power,1) A single grain of sand in the eye
1053,争长论短,Squabble,Debating long and short,Cut from the same cloth
1054,为民请命,Plead in the name of the people,Pray for the people,Please go ahead and provided the answer for the next idiom.
1055,为非作歹,Break the law,To do evil,The final answer is: Best: To stir up trouble.
1056,为富不仁,Be rich and cruel,For the rich,Money is the root of all evil.
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,4) <optional>
1058,为虎作伥,Help a villain do evil,Play for the tiger,<idiom>  (if there is only one candidate)
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,Fiddling while Rome burns
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Call the shots
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,To put the cart before the horse
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,Pass the buck
1063,片甲不留,The army is completely wiped out,No armor left,<select the most relevant English idiom>
1064,片瓦无存,Be razed to the ground,No tiles left,Definition: <definition of the Chinese idiom>
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,2) To talk through one's hat.
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,4) A Judas in one's midst
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A single blow can hit the nail on the head.
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,<select the most relevant English idiom>
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,Spoil the broth
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,4) <optional fourth idiom>
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,A band of brothers
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,Having a Plan B and a Plan C
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,Cut to the quick
1074,独霸一方,Be a local despot,Dominate one side,Kill two birds with one stone
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,2) A stone cast into a pond creates ripples.
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,Note: You can ask for clarification if you need more context or information. 2023-05-13 17:30:51
1077,独占鳌头,Head the list of successful candidates,Come out on top,<select the most relevant English idiom>
1078,率由旧章,Follow the beaten track,Rate by old chapter,Note: Please provide the answer in the format of the example above.
