,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,The back of beyond
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Give it to you straight
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,None
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,To eat the cake and have it too
1004,混世魔王,Devil incarnate,Demon King of Chaos,Definition: <one-sentence definition>
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,<select the most relevant English idiom>
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,2) To muddy the waters
1007,混为一谈,Confuse something with something else,Mix it up,<select the most relevant English idiom>
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,You can't judge a fish by its ability to climb a tree.  (The idiom emphasizes the importance of understanding the nature of something rather than making judgments based on superficial characteristics.)  ```python
1009,添枝加叶,Embellish a story,Add branches and leaves,<select the most relevant English idiom>
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Explanation:
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,4) To gild the lily
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,A
1013,游刃有余,Be move than equal to a task,Do it with ease,4) Having the upper hand
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To be off the beaten track
1015,浑然一体,An integral whole,All in one,Definition: <definition of the Chinese idiom>
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,<select the most relevant English idiom>
1017,沧海横流,The changes and disorders of the times,Across the sea,To converge on a single point
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A hard nut to crack
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Have a wolf in one's heart
1020,滴水成冰,Freezing cold,Dripping into ice,A drop in the ocean
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",1) Pride comes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,Stage-1 output (definition + candidates):
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A stab in the back
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,A lot of hot air.
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Birds of a feather flock together
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Alternatives: <list the other English idioms>
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,2) A virtuoso.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
1028,烈火见真金,True blue will never stain,Fire sees real gold,Trial by fire
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,1) To be blinded by the trees
1030,无米之炊,Make bricks without straw,Cooking without rice,Alternative: <optional alternative idiom>
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A drop in the ocean
1032,无风起浪,Make trouble out of nothing,No wind and waves,To rock the boat
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The crème de la crème
1034,无功受禄,Get a reward without deserving it,Reward without merit,<select the most relevant English idiom>
1035,无计可施,Utterly without resources,Nothing can be done,Cut to the quick
1036,无济于事,Useless,To no avail,Definition: <definition of the Chinese idiom>
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,A melting pot.
1038,无事生非,Create problems where none exists,Much Ado About Nothing,Definition: <definition of the Chinese idiom>
1039,无所适从,With no definite plan to follow,At a loss,At sea
1040,无恶不作,Commit all manner of crimes,Do no evil,2) To do harm to others in order to benefit oneself.
1041,无以复加,In the extreme,Can't be added,You are what you eat.
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",4) A house built on sand
1043,无缘无故,For no reason at all,For no reason,4) <optional other English idioms>
1044,无庸赘述,It's unnecessary to go into details,Needless to say,Definition: <definition of the Chinese idiom>
1045,烟消云散,Disappear in a flash,Disappear into smoke,2) The storm has passed
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Burn one's bridges
1047,照猫画虎,Imitate,Draw cats and tigers,"1) Every Tom, Dick and Harry"
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",<english idiom>
1049,煽风点火,Instigate,Fan the flames,4) <optional other English idioms>
1050,熟视无睹,Ignore,Turn a blind eye,4) <optional fourth idiom>
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,4) <optional fourth idiom>
1052,争权夺利,Scramble for power and profit,Scramble for power,To be in a cutthroat competition
1053,争长论短,Squabble,Debating long and short,Definition: <definition of the Chinese idiom>
1054,为民请命,Plead in the name of the people,Pray for the people,To burn the midnight oil
1055,为非作歹,Break the law,To do evil,A match made in heaven
1056,为富不仁,Be rich and cruel,For the rich,Money is the root of all evil.  (1)
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,<select the most relevant English idiom>
1058,为虎作伥,Help a villain do evil,Play for the tiger,To lick someone's boots.
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,1
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Call the shots
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,2) Be beating a dead horse.
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"The eyes of the Lord are upon the righteous, and his ears are open unto their cry."
1063,片甲不留,The army is completely wiped out,No armor left,4) <optional other relevant English idioms>
1064,片瓦无存,Be razed to the ground,No tiles left,To be left with nothing
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,Talking through your hat
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,A wolf in sheep's clothing
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,The straw that broke the camel's back
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,1) Bite the bullet
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,Blow one's top
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,To cry wolf
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,A clique
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,Kill two birds with one stone
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,2) A snowball effect
1074,独霸一方,Be a local despot,Dominate one side,You can't have your cake and eat it too
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,"Note: The above output is an example, the actual output may vary based on the one provided Chinese idiom."
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,A wolf in sheep's clothing
1077,独占鳌头,Head the list of successful candidates,Come out on top,To be the crème de la crème 4) To be the crème de la crème.
1078,率由旧章,Follow the beaten track,Rate by old chapter,A leopard can't change its spots
1079,玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device",4) <optional other English idioms>
1080,玩火自焚,Whoever plays with fire gets burnt,Play with fire,Candidates: <list the other relevant English idioms>
1081,珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,```python
1082,班门弄斧,Show off in the presence of an old hand,Ban door axe,Don't cut down the tall trees in your own forest.
1083,瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,Kill two birds with one stone.
1084,瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,<select the most relevant English idiom>
