|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|To steal glances
1|आंखों का तारा|beloved person|the star of the eyes|"The idiom ""आंखों का तारा"" in Hindi translates to ""the apple of one's eye"" in English. This phrase is used to describe someone or something that is extremely dear, precious, or beloved to an individual. It signifies a person or object that is held in the highest regard and is considered a source of great joy and affection."
2|चेहरा उतरना|to be sad or disappointed|the face to fall|"""To lose face"" or ""to be humiliated"""
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|To bite one's tongue, literally meaning to press one's finger under one's teeth, is an expression used to describe the act of suppressing one's words or keeping quiet despite having something to say. It implies a situation where an individual refrains from speaking out of fear, respect, or a desire to maintain peace. This idiom is often used to convey the idea of holding back one's opinions or thoughts, especially in a delicate or sensitive situation.
4|साँस लेना|to feel relieved after hard work|to take a breath|"""To breathe"""
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|"""The deal is sealed."""
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|To escape narrowly, by a whisker, or by a hair's breadth.
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|"""The enemy of wisdom"""
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|To risk one's life
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|"The idiom ""पेट में चूहे कूदना"" translates to ""to have butterflies in the stomach"" in English."
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|"""To reach for the sky"""
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|The difference between heaven and earth.
12|हवा से बातें करना|to move very fast|to talk with the wind|"""To talk to the wind"""
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|"""A stone line"""
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|"""The mountain collapsed."""
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|To be the moon of Eid
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|To deceive or trick someone, often by giving them false information or misleading them.
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|"""To reverse the flow of the Ganges River"""
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|"""To make someone speechless with awe or admiration"""
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|"""Step carefully, one step at a time."""
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|"""To gain strength and confidence"""
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|"""To chatter teeth"""
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|"""To have one's mouth watering"""
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|To cut off the nose
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|"""To break one's back"""
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|"The idiom ""कमर कसना"" in Hindi translates to ""tightening the belt"" in English."
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|To have a heart of stone.
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|To make someone's teeth sour or bitter.
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|To strike one brick against another
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|To exert pressure or exertion, often figuratively, in order to achieve a goal or complete a task.
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|"""Not allowing even a fly to land on one's nose"""
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|"""To have one's nose cut off"""
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|To sleep with oil in the nose.
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|"""It's a matter of pride."""
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|To wrinkle one's nose and forehead
35|नाक नीची करना|to humiliate publicly|to make the nose low|To lower one's pride or dignity
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|"The idiom ""कान खड़े होना"" in Hindi translates to ""ears standing up"" in English. It is an idiomatic expression used to describe a situation where someone's attention is suddenly drawn to something, often due to a surprising or intriguing event or statement."
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|"The idiom ""कान पर जूँ न रेंगना"" translates to ""not even a louse crawling on the ear."""
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|To pour oil in the ear
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|"""To blow in the ear"""
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|To grab someone by the ear is an idiom that signifies a form of punishment or scolding. It is often used to indicate a situation where someone is being reprimanded or disciplined for their actions. The act of grabbing the ear is symbolic and serves as a physical representation of authority or control over the individual being disciplined.
41|कान भरना|to manipulate someone against another|to fill the ears|To fill someone's ears with misinformation or lies, often with the intention of misleading or manipulating them.
42|कान काटना|to outsmart completely|to cut the ear|To cut someone's ear off.
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|To lift the sky above one's head.
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|To talk to the sky
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|"""The date palm that fell from the sky got stuck in the tree."""
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|"""To become furious or extremely angry"""
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|"""To pour oil into the fire"""
48|आग में कूदना|to take a dangerous risk|to jump into the fire|"""To jump into the fire"""
49|आग लगना|to become furious or jealous|for fire to catch|"The idiom ""आग लगना"" in Hindi translates to ""to catch fire"" in English. It describes a situation where something, often a problem or a situation, escalates rapidly and becomes uncontrollable, much like a fire spreading."
50|आग ठंडी होना|to calm down after anger|for the fire to cool|"""For the fire to cool down"""
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|"""To spit fire"""
52|आग से खेलना|to invite danger knowingly|to play with fire|Playing with fire.
53|आग लगाना|to instigate or provoke trouble|to set on fire|To set fire to something
54|आग दिखाना|to show anger or power|to show fire|"""To show fire"""
55|आग लग जाना|to feel jealous or restless|for fire to get lit|"""To set something on fire"" or ""to ignite"""
56|आग बन जाना|to become furious|to become fire|"""To become a fire"""
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|Pouring oil on fire
58|धूल चाटना|to face defeat or humiliation|to lick dust|"""To lick the dust"""
