,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,A backwoods area
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,to explain something in simple terms
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,leave a lasting impression
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,read between the lines
1004,混世魔王,Devil incarnate,Demon King of Chaos,A pain in the neck
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse right and wrong
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse right and wrong
1007,混为一谈,Confuse something with something else,Mix it up,lump together
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To sample something briefly and then stop.
1009,添枝加叶,Embellish a story,Add branches and leaves,To add extra information.
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To add to the structure of something.
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Fudge the facts
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,A light bulb suddenly turns on.
1013,游刃有余,Be move than equal to a task,Do it with ease,Be in control of the situation
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the situation
1015,浑然一体,An integral whole,All in one,Indivisible
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learning from past experiences to gain new knowledge.
1017,沧海横流,The changes and disorders of the times,Across the sea,A ship is sailing through rough waters.
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,a drop in the ocean
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Eat the enemy's food.
1020,滴水成冰,Freezing cold,Dripping into ice,A drop of water can freeze into ice.
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Overconfidence leads to failure, humility brings success."
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,Everyone is talking about it
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A loud-mouthed woman
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,To pass off a fake as genuine
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A dazzling display of fireworks.
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A figment of one's imagination.
1028,烈火见真金,True blue will never stain,Fire sees real gold,A true friend is like a diamond in the rough.
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,A facade
1030,无米之炊,Make bricks without straw,Cooking without rice,To make something out of thin air.
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A storm without wind
1032,无风起浪,Make trouble out of nothing,No wind and waves,A storm without a reason
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,Unbeatable in the world
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get what you deserve
1035,无计可施,Utterly without resources,Nothing can be done,Out of ideas
1036,无济于事,Useless,To no avail,It's a dead end
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Heaven's Gate
1038,无事生非,Create problems where none exists,Much Ado About Nothing,To make a fuss over nothing.
1039,无所适从,With no definite plan to follow,At a loss,Caught between a rock and a hard place
1040,无恶不作,Commit all manner of crimes,Do no evil,A person who does not have any moral boundaries and is always doing bad things.
