,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,A dense forest where people rarely venture.
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,to explain something in a clear and simple way
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Leave a deep impression
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,dissect every part
1004,混世魔王,Devil incarnate,Demon King of Chaos,A wild child
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Mislead someone
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse right from wrong
1007,混为一谈,Confuse something with something else,Mix it up,Muddle
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To skim the surface
1009,添枝加叶,Embellish a story,Add branches and leaves,embellish
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To add one's own brick to the wall.
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Tell a tall tale
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Clear as a bell
1013,游刃有余,Be move than equal to a task,Do it with ease,to have ample room to maneuver
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the moment
1015,浑然一体,An integral whole,All in one,A perfect match
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Learning from the past to gain new knowledge
1017,沧海横流,The changes and disorders of the times,Across the sea,Stage-2 output (justification):
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the bucket
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"To wipe out the enemy's forces in a single day, leaving them without food."
1020,滴水成冰,Freezing cold,Dripping into ice,a drop of water can freeze into ice
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,A storm of public reaction or event.
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and obnoxious in public.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,To pass off a fake for a real thing.
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A city or place is brightly lit and decorated with colorful lights and decorations.
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A figment of one's imagination
1028,烈火见真金,True blue will never stain,Fire sees real gold,Stage-2 output (just one idiom):
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To paint a rosy picture
1030,无米之炊,Make bricks without straw,Cooking without rice,A piece of cake
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A storm without a cause
1032,无风起浪,Make trouble out of nothing,No wind and waves,A storm without wind
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,Stage-2 output (justification):
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get something for nothing.
1035,无计可施,Utterly without resources,Nothing can be done,Out of ideas
1036,无济于事,Useless,To no avail,It won't do any good.
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Never go to church on a Sunday
1038,无事生非,Create problems where none exists,Much Ado About Nothing,To stir up trouble
1039,无所适从,With no definite plan to follow,At a loss,Not knowing what to do
1040,无恶不作,Commit all manner of crimes,Do no evil,Do not do anything bad or immoral.
1041,无以复加,In the extreme,Can't be added,to the nth degree
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A house without a foundation
1043,无缘无故,For no reason at all,For no reason,Without cause
1044,无庸赘述,It's unnecessary to go into details,Needless to say,There's no need to explain; it's self-explanatory.
1045,烟消云散,Disappear in a flash,Disappear into smoke,Faded away
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,"Waste not, want not"
1047,照猫画虎,Imitate,Draw cats and tigers,Imitate
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely as a hermit
