,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,In the sticks
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,To the point
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,A word to the wise is enough
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,<select the most relevant English idiom>
1004,混世魔王,Devil incarnate,Demon King of Chaos,4) <optional fourth idiom>
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To be cut to the quick
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To muddy the moral waters
1007,混为一谈,Confuse something with something else,Mix it up,4) <optional explanation>
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,<select the most relevant English idiom>
1009,添枝加叶,Embellish a story,Add branches and leaves,4) <optional other idioms that are still relevant but not the best match>
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Definition: <one-sentence definition>
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Alternatives: <list other English idioms that are similar>
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,A weight off one's shoulders
1013,游刃有余,Be move than equal to a task,Do it with ease,To have an ace up one's sleeve.
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,4) <optional: more similar idioms>
1015,浑然一体,An integral whole,All in one,"Alternatives: <list the other English idioms that are similar, but not as good as the best one>"
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,4) <optional>
1017,沧海横流,The changes and disorders of the times,Across the sea,To put the icing on the cake
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the ocean
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,3) Flog a dead horse. 4) Flog a dead horse. 3) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog a dead horse. 4) Flog
1020,滴水成冰,Freezing cold,Dripping into ice,You get what you pay for
