,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep woods
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Make a complex idea easy to understand
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,<select the most relevant English idiom>
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,overinterpret
1004,混世魔王,Devil incarnate,Demon King of Chaos,a troublemaker
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confusing black and white
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confuse right from wrong
1007,混为一谈,Confuse something with something else,Mix it up,Mix up
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,take a sip
1009,添枝加叶,Embellish a story,Add branches and leaves,to embellish or add unnecessary details
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Add one's own bricks to the wall
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,embellish
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Clear as a bell
1013,游刃有余,Be move than equal to a task,Do it with ease,Operate with ease
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the opportunity
1015,浑然一体,An integral whole,All in one,A perfect fit
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Reviewing old knowledge to gain new insights
1017,沧海横流,The changes and disorders of the times,Across the sea,A stormy sea
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,a grain of sand in the vast sea.
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,To destroy the enemy for breakfast.
1020,滴水成冰,Freezing cold,Dripping into ice,A drop of water can freeze into ice.
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Too much of a good thing can be a bad thing.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,A media frenzy
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,a woman who is loud and vulgar in public.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,fake it till you make it
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A dazzling display of fireworks and lights.
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A figment of one's imagination
1028,烈火见真金,True blue will never stain,Fire sees real gold,Stage-1 output (definition + candidates):
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Blow one's own trumpet
1030,无米之炊,Make bricks without straw,Cooking without rice,To make something without the necessary ingredients.
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",For no apparent reason
1032,无风起浪,Make trouble out of nothing,No wind and waves,A storm without warning
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,Unbeatable in the world
1034,无功受禄,Get a reward without deserving it,Reward without merit,To get what you deserve
1035,无计可施,Utterly without resources,Nothing can be done,Have no idea what to do
1036,无济于事,Useless,To no avail,It doesn't make a difference.
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Holy temple
1038,无事生非,Create problems where none exists,Much Ado About Nothing,Create trouble
1039,无所适从,With no definite plan to follow,At a loss,Can't make up one's mind
1040,无恶不作,Commit all manner of crimes,Do no evil,Do as one pleases
1041,无以复加,In the extreme,Can't be added,unimprovable
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A tree without roots
1043,无缘无故,For no reason at all,For no reason,For no apparent reason
1044,无庸赘述,It's unnecessary to go into details,Needless to say,It's a no-brainer.
1045,烟消云散,Disappear in a flash,Disappear into smoke,A drop in the ocean
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Waste time and energy on unproductive pursuits.
1047,照猫画虎,Imitate,Draw cats and tigers,Copycat
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely as a hermit
1049,煽风点火,Instigate,Fan the flames,To stir up trouble
1050,熟视无睹,Ignore,Turn a blind eye,Ignore completely
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,Other: <select the other relevant English idiom>
1052,争权夺利,Scramble for power and profit,Scramble for power,To fight for control or possession of something.
1053,争长论短,Squabble,Debating long and short,argue about who is better or more skilled
1054,为民请命,Plead in the name of the people,Pray for the people,To speak out for the people's rights
1055,为非作歹,Break the law,To do evil,do evil
1056,为富不仁,Be rich and cruel,For the rich,Reason: <select the most relevant English idiom>
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give someone a leg up.
1058,为虎作伥,Help a villain do evil,Play for the tiger,to be a tool for evil
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,Drive a coach and six
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Do as one pleases
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,drive fish away
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,A house of cards falls down.
1063,片甲不留,The army is completely wiped out,No armor left,To leave no stone unturned
1064,片瓦无存,Be razed to the ground,No tiles left,Not a brick standing
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,A phrase that means the speaker's words do not make sense or are not logical.
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,a snake in the grass
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A stitch in time saves nine.
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,A last-ditch effort
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,to lose one's cool
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,to use someone's power or authority to intimidate others
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,A pack of wolves
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,A bird in the hand is worth two in the bush
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,"To meet in a narrow space or situation, often metaphorically."
1074,独霸一方,Be a local despot,Dominate one side,Dominate
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,<select the most relevant English idiom>
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,a tyrant
1077,独占鳌头,Head the list of successful candidates,Come out on top,To be the top or first in a competition or contest.
1078,率由旧章,Follow the beaten track,Rate by old chapter,Follow the rules
1079,玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device",A diamond that has not been cut cannot be used as a ring.
1080,玩火自焚,Whoever plays with fire gets burnt,Play with fire,Playing with fire
1081,珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,A well-crafted and polished expression.
1082,班门弄斧,Show off in the presence of an old hand,Ban door axe,Attempting to outdo oneself in a task
1083,瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,A miss is as good as a mile.
1084,瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,Both sides of the coin.
1085,瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,A snowfall is a sign of a good year.
1086,璞玉浑金,Unadorned beauty,Raw jade and gold,A diamond in the rough
1087,瓜田李下,Be found in a suspicious position,Melon Field Lixia,Be suspicious of someone's motives
1088,瓦釜雷鸣,An unworthy man in a high position,Wah Kettle Thunder,A fool who talks a lot but does nothing.
1089,瓮中之鳖,(like) a rat in a hole,Turtle in a urn,A fish in a barrel
1090,瓮中捉鳖,A sure catch,Catching turtle in urn,Catching a turtle in a jar
1091,甘拜下风,Willingly acknowledge defeat,Gan Bai downwind,To admit defeat or be humbled by someone's superior skill or knowledge.
1092,甘之如饴,Gladly endure hardships,Sweet as candy,"To be willing to taste something sweet, even if it's bitter."
1093,甚嚣尘上,Making a lot of noise,All over the place,A lot of noise and commotion
1094,生米煮成熟饭,What's done can't be undone,Uncooked rice cooked rice,"Once bitten, twice shy"
1095,生于忧患，死于安乐,"Life springs from sorrow and calamity, death comes from ease and pleasure","Born in trouble, die in peace","Born in adversity, die in comfort."
1096,用兵如神,Be a superb military commander,Use soldiers like gods,a military genius
1097,男盗女娼,Behave like thieves and whores,Male thief female prostitute,A man who steals and a female who engages in prostitution.
1098,留得青山在，不怕没柴烧,While there is life there is hope,"Where there is life, there is hope",A bird in the hand is worth two in the bush
1099,毕其功于一役,Accomplish the whole task at one stroke,Completed in one battle,Finish it in one go
1100,画饼充饥,Feed on illusions,Painting cake to satisfy hunger,Dreaming of a delicious meal
1101,画虎类狗,Attempting more than one has ability for,Drawing tiger dog,"To be like a tiger, one must first understand its characteristics and behavior."
1102,当机立断,Decide on the moment (or on the spot),Make a prompt decision,Make a snap decision
1103,当局者迷，旁观者清,Those closely involved cannot see as clearly as those outside,"Father, like son",A man in a hole.
1104,当场出丑,Make a spectacle of oneself,Embarrassed on the spot,to let the cat out of the bag
1105,当仁不让,Not decline to shoulder a responsibility,Do your part,"When the right thing comes up, one does not hesitate to act."
1106,当耳边风,Turn a deaf ear to,When the wind blows,"to ignore or disregard something, as if it were a whisper in the wind."
1107,叠床架屋,Pile one bed upon another or build one house on top of another,Stacked bed frame house,Build a house on top of another house
1108,疾风知劲草,Adversity is the best testing ground for moral stamina,The wind knows the strong grass,A tough situation reveals a person's true character.
1109,疾恶如仇,Abhor (or hate) evils or evildoers as if they were personal enemies,Evil like hatred,Hate like poison
1110,病急乱投医,Try anything when in a desperate situation,Emergency medical treatment,A desperate measure
1111,病从口入,Illness finds its way in by the mouth,Disease from the mouth,Catch a cold by eating bad food
1112,癞蛤蟆想吃天鹅肉,Aspiring after something one is not worthy of,Toad wants to eat,A person who desires something that is beyond their reach or power.
1113,登峰造极,Reach the summit,Reach the pinnacle,To reach the pinnacle of success.
1114,登堂入室,Pass through the hall into the inner chamber,Entering the room,To enter a higher level of knowledge or skill.
1115,发愤忘食,Immersed in hard work (or study) one forgets to eat,Get angry and forget to eat,Workaholic
1116,白璧微瑕,A slight blemish (in man's good character),Slightly flawed white jade,A small flaw in a perfect thing.
1117,白头偕老,Remain a devoted couple to the end of their lives,Grow old together,To be in a long-term relationship until the end of life.
1118,白日见鬼,"See demons in broad daylight - of a strange, absurd, impossible thing",Hell by day,to see ghosts during the day
1119,百步穿杨,Shoot with great precision (or with pin-point accuracy),Shoot with great precision,<select the most relevant English idiom>
1120,百废俱兴,Full-scale reconstruction is under way,Everything is booming,revitalize all the neglected matters and activities
1121,百读不厌,Be worth reading a hundred times,Never tire of reading,A book that never gets old
1122,百端待举,A thousand things wait to be done,Waiting for everything,To be on pins and needles
1123,百年好合,A harmonious union lasting a hundred years,Hundred Years of Harmony,A happy and lasting marriage
1124,百炼成钢,Be toughened and hardened into steel,Tempered into a steel,To become strong and resilient through repeated trials and hardships.
1125,百孔千疮,In a disastrous state,Riddled with gaping wounds,A man with a thousand cuts.
1126,百花齐放，百家争鸣,Let a hundred flowers blossom and a hundred schools of thought contend,"A hundred flowers bloom, a hundred schools of thought contend",A clash of ideas
1127,百战百胜,Invincible,Win every battle,Come out on top in every battle
1128,百川归海,All things tend in one direction,A hundred rivers return to the sea,All roads lead to Rome
1129,百足之虫，死而不僵,Old institutions die hard,"A hundred-footed worm, dead but not stiff",A centipede with 100 legs that dies but does not stiffen.
1130,百闻不如一见,Seeing is believing,Seeing is better than hearing,Seeing is believing
1131,皆大欢喜,Everybody is happy,Everyone is happy,A win-win situation
1132,皮笑肉不笑,Put on a false smile,Skin laughing meat not laughing,A show of false smiles.
1133,皮之不存，毛将焉附,A thing cannot exist without its basis,"If the skin does not exist, the hair will be attached","If the tree falls, the birds will have nowhere to hide."
1134,盛名难副,It is hard to live up to a great reputation,Famous is hard to match,A big name that doesn't live up to the expectations.
1135,盛情难却,Be ungracious not to accept somebody's invitation,Kindness but hardship,A golden opportunity
1136,尽力而为,Do one's best,Do your best,Give it your all
1137,尽心竭力,(do something) with all one's heart,Do my best,To give it your best effort
1138,尽人事，听天命,Do one's level best and leave the rest to God's will,"Do your best, listen to destiny",Do your best and let fate take its course.
1139,目不转睛,Look with fixed eyes,Keep an eye on,riveted
1140,目光如炬,Farsighted,Eyes like torches,to have a keen and penetrating gaze or vision.
1141,盲人摸象,One-sided view,Blind man touching elephant,Blind men and women can't get the whole picture.
1142,盲人瞎马,Rushing headlong to an immediate danger,Blind man blind horse,A blind man riding a horse blindfolded.
1143,直抒己见,Talk (or speak out) directly and simply,Express one's opinion,Speak one's mind
1144,相辅相成,Supplement each other,Complement each other,Two heads are better than one
1145,相得益彰,Bring out the best in each other,Complement each other,Two heads are better than one
