|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|While one wave has not yet subsided, another wave arises.
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|To be straightforward and to the point.
2|一鼻孔出气|Be in tune with|Exhale through one nostril|To vent one's frustration through one nostril.
3|一步登天|Have a meteoric rise|One step to the sky|"""Climbing to the sky in one step"""
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|"""One doesn't do it, the second doesn't do it."""
5|一拍即合|Fit in readily|Hit it off|"""Hit it off at once"""
6|一抔黃土|Mere dust heaps|A handful of loess|A Shovel of Soil
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|A Dispersed Sand
8|一模一样|Exactly alike|Exactly the same|Identical
9|一马当先|Take the lead|Lead the way|Leading the way
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|Smooth Sailing
11|一面之交|Have met only once|Side by side|Acquaintance
12|一目了然|Understand fully at a glance|At a glance|At a glance
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|"""One Look, Ten Lines"""
14|一得之功|Just an occasional, minor success|One hits at a time|A single stroke of genius
15|一刀两断|Make a clean break|Cut in two|Cut Ties and End Relations
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|A Stagnant Pool
17|一诺千金|A solemn promise|A promise of gold|"""A promise is worth a thousand gold."""
18|一劳永逸|Put things right once and for ail|Once and for all|"""One Time, Forever"""
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|A little bit here and a little bit there.
20|一改故辙|Rid oneself of an old habit|Change the way|"""To change the old ways"""
21|一概而论|Put in the same category|In general terms|To Make a General Statement
22|一鼓作气|Get something done in one vigorous effort|All in one go|"""To finish the job in one go"""
23|一国三公|Divided leadership|One country, three princes|"""One country, three public offices"""
24|一棍子打死|Finish off with a single blow|Kill with a stick|To dismiss someone with a single stroke or a broad brush.
25|一刻千金|Every moment is precious|A moment of gold|Time is Money
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|A narrow viewpoint
27|一呼百应|An appeal meets with immediate response|A hundred calls|"""One call, a hundred respond."""
28|一挥而就|Be done with one stroke of the pen|In a flash|"""To accomplish something with a single stroke"""
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|Love at First Sight
30|一见如故|Become fast friends at the first meeting|See you soon|"""As if we had known each other for a long time"""
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|To achieve two goals with one action.
32|一举成名|Achieve instant fame|Rise to fame|To Become Famous in One Stroke
33|一气呵成|(of an essay) form a coherent whole|All in one go|"""To complete something in one breath."""
34|一丘之貉|Jackals of the same lair|A raccoon dog|As the fox and the dog in the same den.
35|一穷二白|Backward both economically and culturally|One poor and two white|"""One penniless and two white."""
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|One crab is not as good as another crab.
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|"""A Flood of Words"""
38|一笑置之|Laugh off|Laugh it off|"""To laugh it off"""
39|一心一德|Be at one|One Heart One Virtue|Unwaveringly adhere to principles and maintain integrity.
40|一纸空文|Empty words on a sheet of paper|A piece of paper|Paper without substance
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|A Dream Like a Pillow of Yellow Rice
42|一张一弛|Strike a proper balance between work and rest|One by one|"""A little bit of relaxation after a period of hard work."""
