,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,Cut to the quick
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Definition: <definition of the Chinese idiom>
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Like a calm sea
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,A gem beyond price
1004,混世魔王,Devil incarnate,Demon King of Chaos,A virtuoso
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,```python
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Blurred lines
1007,混为一谈,Confuse something with something else,Mix it up,To mix apples and oranges
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,<select the most relevant English idiom>
1009,添枝加叶,Embellish a story,Add branches and leaves,Beat around the bush
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Definition: <definition of the Chinese idiom>
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Rub salt in the wound
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,1) The whole is greater than the sum of its parts.
1013,游刃有余,Be move than equal to a task,Do it with ease,A ripple effect
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,1) Fish in troubled waters
1015,浑然一体,An integral whole,All in one,Explanation: <briefly explain why this idiom is the best match>
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,2) To know a thing inside out.
1017,沧海横流,The changes and disorders of the times,Across the sea,A maelstrom
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the bucket
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Live high on the hog.
1020,滴水成冰,Freezing cold,Dripping into ice,All the same
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",4) <english idiom> (if available)
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,Definition: <definition of the Chinese idiom>
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,Biting off more than one can chew.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,================
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,<selected idiom>
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A gem in a dunghill
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A sage
1028,烈火见真金,True blue will never stain,Fire sees real gold,1) <english idiom 1>
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Other: <list other similar English idioms>
1030,无米之炊,Make bricks without straw,Cooking without rice,A meal without a main dish is like a day without sunshine.
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",Don't see the forest for the trees
1032,无风起浪,Make trouble out of nothing,No wind and waves,### Step 1: Analyze the Chinese idiom
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The top dog.
1034,无功受禄,Get a reward without deserving it,Reward without merit,Get something for nothing
1035,无计可施,Utterly without resources,Nothing can be done,To be left in the dust
1036,无济于事,Useless,To no avail,A drop in the bucket
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,To curry favor with someone
1038,无事生非,Create problems where none exists,Much Ado About Nothing,Make a mountain out of a molehill
1039,无所适从,With no definite plan to follow,At a loss,<the most relevant English idiom>
1040,无恶不作,Commit all manner of crimes,Do no evil,Play dirty
1041,无以复加,In the extreme,Can't be added,1) Nothing more to say.
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",4) <english idiom>
1043,无缘无故,For no reason at all,For no reason,Out of the blue
1044,无庸赘述,It's unnecessary to go into details,Needless to say,That's all that needs to be said
1045,烟消云散,Disappear in a flash,Disappear into smoke,"The dust has settled. Explanation: This idiom best matches the definition of the Chinese idiom ""烟消云散"" as it implies that a situation has been resolved and everything has returned to normal."
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,"Alternatives: <list the other English idioms that are also relevant, but not as good as the best one>"
1047,照猫画虎,Imitate,Draw cats and tigers,2) <select the second most relevant English idiom>
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",```
1049,煽风点火,Instigate,Fan the flames,Fan the flames
1050,熟视无睹,Ignore,Turn a blind eye,<select the most relevant English idiom>
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,Seeing only half the picture
1052,争权夺利,Scramble for power and profit,Scramble for power,A dog-eat-dog world
1053,争长论短,Squabble,Debating long and short,1) To gild the lily
1054,为民请命,Plead in the name of the people,Pray for the people,To speak for the people
1055,为非作歹,Break the law,To do evil,"Explanation: The English idiom ""to take a bite out of something"" is a more direct translation of the Chinese idiom, which means to take a risk or to take a chance. The phrase ""to take a bite"" implies that one is taking a risk or a chance, and the phrase ""out of something"" implies that one is taking a risk or a chance with something."
1056,为富不仁,Be rich and cruel,For the rich,Power corrupts
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,None
1058,为虎作伥,Help a villain do evil,Play for the tiger,To be on the same page
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,Stage-1 output: <definition + candidates>
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Do as you please
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,Optional: <optional additional idiom>
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"4) When the ship is sinking, the rats desert it."
1063,片甲不留,The army is completely wiped out,No armor left,To leave no stone unturned
1064,片瓦无存,Be razed to the ground,No tiles left,Second-best: <select the second most relevant English idiom>
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,A bull in a china shop
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,A den of thieves
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,4) <optional other English idioms>
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,Explanation:
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,4) <other English idioms>
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,<select the most relevant English idiom>
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,Definition: <definition of the Chinese idiom>
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,Candidates: <list the other relevant English idioms>
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,To gild the lily
1074,独霸一方,Be a local despot,Dominate one side,Have the upper hand
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,Strength in numbers.
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,A small stone can cause a big splash
1077,独占鳌头,Head the list of successful candidates,Come out on top,To be the big cheese
1078,率由旧章,Follow the beaten track,Rate by old chapter,Know the ropes
1079,玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device",Definition: <one-sentence definition>
1080,玩火自焚,Whoever plays with fire gets burnt,Play with fire,2) Playing with fire.
1081,珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,1) The buck stops here
1082,班门弄斧,Show off in the presence of an old hand,Ban door axe,Don't throw stones at others' glass houses
1083,瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,Don't throw the baby out with the bathwater
1084,瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,A place for everything and everything in its place
1085,瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,Stage-1 output (definition + candidates):
1086,璞玉浑金,Unadorned beauty,Raw jade and gold,Stage-1 output: <definition and candidates>
1087,瓜田李下,Be found in a suspicious position,Melon Field Lixia,In a sea of troubles
