,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Stage-2 output (justification):
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Take a chance
802,पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Keep one's mouth shut
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Stage-2 output (justification):
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To speak with great passion and conviction.
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,Stage-2 output:
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep your mouth shut
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Stage-2 output (justification):
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talk a blue streak
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put something on one's head.
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Speak your mind
813,दिल में जगह बनाना,to win affection,to make a place in the heart,Other: <select the other relevant English idiom>
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel like a volcano is erupting inside you
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Stage-2 output (justification):
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,<select the most relevant English idiom>
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Reason: <select the most relevant English idiom> and explain why it matches the Hindi idiom.
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,To feel elated or overjoyed about something.
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Love is in the air
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,heart attack
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find inner peace
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To put someone in a fog
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,change of heart
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Stage-2 output:
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,to be in a daze
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Aha! moment
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,To be on pins and needles
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Work hard as if you're using your teeth to grind something.
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,take a bite out of
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Turn a blind eye to something
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off one's nose to spite one's face
832,जुबान कसना,to rebuke harshly,to tighten the tongue,To get something stuck in your throat.
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To be up front
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,To be in a state of confusion or disarray.
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,to lose your bearings
836,जुबान सरक जाना,to misspeak,for the tongue to slide,to be in a pickle
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To cling to something with great affection or attachment.
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,to have a deep connection
839,पसीना रोकना,to relieve effort,to stop sweat,hold back tears
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),to be on one's nerves
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,<select the most relevant English idiom>
842,सीने में जलन होना,to feel envy,to have burning in the chest,To have a meltdown
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To come to one's senses
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To be in a pickle
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Stage-2 output (justification):
846,रंग दिखाना,to reveal true colors,to show color,<select the most relevant English idiom>
847,रंगीन होना,to enjoy life freely,to become colorful,in a good mood
