,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To wash one's hands of a situation or responsibility.
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,<select the most relevant English idiom>
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Stage-2 output:
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Other: <select the other English idioms that are not the best but are still relevant>
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Stage-2 output (contextualization):
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Keep your mouth shut
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,put on a smile
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To talk sweetly
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep your mouth shut
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,swallow one's pride and apologize for an error or offense.
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To talk incessantly or to chatter
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Stage-2 output (justification):
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Stage-1 output: <Stage-1 output>
813,दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in your heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Have a burning desire
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a heart attack
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To hold a grudge
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Stage-2 output (justification):
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Stage-2 output (justification):
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,have a soft spot for
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,<select the most relevant English idiom>
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,to have a mental breakdown
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,<select the most relevant English idiom>
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put one's thoughts into action
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or disorientation.
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a headache
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,To bite the hand that feeds you
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"Reasoning: <select the most relevant English idiom> matches the definition of the Hindi idiom ""दाँत नाखून से काम लेना"" (working tirelessly like a dentist removing decayed teeth) because it captures the idea of working with great effort and determination, just like a dentist who works tirelessly to remove decayed teeth."
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Stage-2 output:
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,To be completely satisfied or content.
831,जुबान काट लेना,to regret words spoken,to bite the tongue,Stage-2 output:
832,जुबान कसना,to rebuke harshly,to tighten the tongue,To hit it off
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,to be in a pinch
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,Other: <select the other relevant English idiom>
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,Lose your temper
836,जुबान सरक जाना,to misspeak,for the tongue to slide,to be confused
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To cling to something dear
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Stage-2 output:
839,पसीना रोकना,to relieve effort,to stop sweat,"Other: <if you think the other options are correct, write them separated by comma>"
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),Stage-2 output (justification):
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,A headache
