,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Burn one's bridges
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,3) Get the better of someone
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Optional: <optional other English idioms>
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To turn down
804,मुँह बंद कर देना,to silence completely,to shut the mouth,2) Be struck dumb
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To blow one's own trumpet
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To take a shine to someone/something
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,sugarcoat
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Talk behind someone's back
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Definition: <definition of the selected idiom>
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talk through your hat
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Raise an eyebrow
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To bear the mark of shame
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To capture someone's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,A thorn in one's side
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Something is eating away at you
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,<select the most relevant English idiom>
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,<select the most relevant English idiom>
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Have a heart
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Explanation: <provide a brief explanation of the Hindi idiom and the selected English idiom>
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Break one's heart
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To turn the page
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,drive someone mad OR
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,To lose one's marbles
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put someone under pressure
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To do something for nothing
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Definition: <define the Hindi idiom>
