,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To wash one's hands of
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To be ready for anything
802,पैर रोक लेना,to hesitate before action,to hold back the foot,2) <optional second idiom>
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To turn down flat Explanation: The Hindi idiom मुँह मोड़ लेना means to turn down an offer or invitation without giving a clear reason. This is most closely matched by the English idiom ""to turn down flat"", which also implies a refusal without explanation. The other options, while related to refusal, do not convey the same nuance of not giving a clear reason. Best: To turn down flat Explanation: The Hindi idiom मुँह मोड़ लेना means to turn down an offer or invitation without giving a clear reason. This is most closely matched by the English idiom ""to turn down flat"", which also implies a refusal without explanation. The other options, while related to refusal, do not convey the same nuance of not giving a clear reason. Best: To turn down flat Explanation: The Hindi idiom मुँह मोड़ लेना means to turn down an offer or invitation without giving a clear reason. This is most closely matched by the English idiom ""to turn down flat"", which also implies a refusal without explanation. The other options, while related to refusal, do not convey the same nuance of not giving a clear reason. Best: To turn down flat Explanation: The Hindi idiom मुँह मोड़ लेना means to turn down an offer or invitation without giving a clear reason. This is most closely matched by the English idiom ""to turn down flat"", which also implies a refusal without explanation. The other options, while related to refusal, do not convey the same nuance of not giving a clear reason. Best: To turn down flat Explanation: The Hindi idiom मुँह मोड़ लेना means to turn down an offer or invitation without giving a clear reason. This is most closely matched by the English idiom ""to turn down flat"", which also implies a refusal without explanation. The other options, while related to refusal, do not convey the same nuance of not giving a clear reason. Best: To turn down flat Explanation: The Hindi idiom मुँह मोड़ लेना means to turn down an offer or invitation without giving a clear reason. This is most closely matched by the English idiom ""to turn down flat"", which also implies a refusal without explanation. The other options, while related to refusal, do not convey the same nuance of not giving a clear reason. Best: To turn down flat Explanation: The Hindi idiom मुँ"
804,मुँह बंद कर देना,to silence completely,to shut the mouth,<idiom> (with a brief explanation)
805,मुँह चलाना,to speak unnecessarily,to run the mouth,To blow one's own horn
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To shoot one's mouth off.
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,Butter someone up
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Alternatives:
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Alternatives:
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To throw good money after bad
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Please provide the response for the given Hindi idiom.
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,Stage-1 output (definition + candidates):
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To strike a chord
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,A thorn in one's side
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To jump into the fray
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To bear a grudge
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"<idiom>, <reasoning>"
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Living from hand to mouth
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,2) Lay down one's life
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,```
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,1) To keep count of
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,A know-it-all
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,2) To go off the deep end.
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,<select the most relevant English idiom>
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To lose one's marbles
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Alternatives: <list other relevant English idioms>
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,On edge
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Definition: <one-sentence definition>
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Keep under wraps
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Alternatives: <list the other English idioms that are somewhat similar to the best idiom>
831,जुबान काट लेना,to regret words spoken,to bite the tongue,1) Bite your tongue
832,जुबान कसना,to rebuke harshly,to tighten the tongue,Definition: <definition of the Hindi idiom>
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,Straight shooter
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,Between the devil and the deep blue sea
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,4) <other English idioms if any>
836,जुबान सरक जाना,to misspeak,for the tongue to slide,A square peg
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Butter someone up
