,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Definition: <definition of the Hindi idiom>
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Get one's hands on
802,पैर रोक लेना,to hesitate before action,to hold back the foot,4) <other English idiom> (if available)
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Spare their life
804,मुँह बंद कर देना,to silence completely,to shut the mouth,```
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Candidates:
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Definition: <define the Hindi idiom>
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To curry favor
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,1) Beat around the bush
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Definition: <one-sentence definition>
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talk a load of rubbish
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Raise an eyebrow
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,<select the most relevant English idiom>
813,दिल में जगह बनाना,to win affection,to make a place in the heart,Explanation: <a brief explanation of the match>
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Having a knot in one's stomach
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To show off.
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Bear a grudge
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Heart and soul
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,Alternatives: <list the other English idioms>
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,To be on cloud nine
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"Definition: A place where people buy and sell goods or services, but also used to describe a situation or environment where people are competing or vying for something."
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To be in a state of calm.
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To rub it in
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,OR
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To overcomplicate something
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,4) <other English idioms>
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Burnout
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The apple doesn't fall far from the tree
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Flogging a dead horse
