,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,"(If only two similar English idioms are found, then the output will be: Candidates: 1) <english idiom>, 2) <english idiom>)"
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,```
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,<idiom>
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,To find a needle in a haystack
1004,混世魔王,Devil incarnate,Demon King of Chaos,The devil is in the details
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Definition: <one-sentence definition>
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"To contract a disease through one's mouth, or to be affected by something through one's senses."
1007,混为一谈,Confuse something with something else,Mix it up,To conflate
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,to see the forest for the trees
1009,添枝加叶,Embellish a story,Add branches and leaves,Beat around the bush
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,Trying to improve a perfect plan
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Cold as ice
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Definition:
1013,游刃有余,Be move than equal to a task,Do it with ease,Having too much of a good thing
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"Note: The Chinese idiom ""蚀骨蚀肉"" is a common idiom in Chinese language, and it is used to describe a situation where someone's efforts or actions are completely wasted or ineffective."
1015,浑然一体,An integral whole,All in one,Definition: <definition of the Chinese idiom>
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,2) Learn from the past.
1017,沧海横流,The changes and disorders of the times,Across the sea,<select the most relevant English idiom>
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,```
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Live off the fat of the land
1020,滴水成冰,Freezing cold,Dripping into ice,To make a mountain out of a molehill
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",1) Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,To be blinded by a small thing.
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,Having a Plan B
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,2) To be a spare wheel
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,To fan the flames
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Definition: <definition of the Chinese idiom>
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A square peg in a round hole
1028,烈火见真金,True blue will never stain,Fire sees real gold,To put someone through a trial by fire.
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Take the fall for someone
1030,无米之炊,Make bricks without straw,Cooking without rice,adding insult to injury
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",<select the most relevant English idiom>
1032,无风起浪,Make trouble out of nothing,No wind and waves,Not have the means to do something
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,Kill two birds with one stone
1034,无功受禄,Get a reward without deserving it,Reward without merit,Definition: To receive benefits or advantages without putting in any effort or contributing anything.
1035,无计可施,Utterly without resources,Nothing can be done,Between a rock and a hard place
1036,无济于事,Useless,To no avail,4) <optional other English idioms>
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,Busy as a bee
1038,无事生非,Create problems where none exists,Much Ado About Nothing,indispensable
1039,无所适从,With no definite plan to follow,At a loss,1) Beggar can't be chooser
1040,无恶不作,Commit all manner of crimes,Do no evil,To stop at nothing
1041,无以复加,In the extreme,Can't be added,<select the most relevant English idiom>
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",Explanation: <optional>
1043,无缘无故,For no reason at all,For no reason,```python
1044,无庸赘述,It's unnecessary to go into details,Needless to say,Note: Please select the most relevant English idiom from the candidates based on the definition of the Chinese idiom.
1045,烟消云散,Disappear in a flash,Disappear into smoke,3
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,To gild the lily
