,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,Off the beaten path
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Flogging a dead horse
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,The amateur
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,To be considerate of
1004,混世魔王,Devil incarnate,Demon King of Chaos,A born winner
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To muddy the waters
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,To blur the lines
1007,混为一谈,Confuse something with something else,Mix it up,To gild the lily
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,4)
1009,添枝加叶,Embellish a story,Add branches and leaves,Let's get to the point.
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,<select the most relevant English idiom>
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Stage-1 output (definition + candidates):
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,A fool's errand.
1013,游刃有余,Be move than equal to a task,Do it with ease,or
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To shoot one's mouth off
1015,浑然一体,An integral whole,All in one,"2) United we stand, divided we fall."
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,A melting pot.
1017,沧海横流,The changes and disorders of the times,Across the sea,1
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,Definition: <definition of the Chinese idiom>
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,1) Take a free ride
1020,滴水成冰,Freezing cold,Dripping into ice,Slow and steady wins the race
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,The whole town is in an uproar.
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A scoundrel
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,A knife to the heart
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,3) Gilding the lily
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,<select the most relevant English idiom>
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,a dark time
1028,烈火见真金,True blue will never stain,Fire sees real gold,A picture is worth a thousand words
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Definition: <one-sentence definition>
1030,无米之炊,Make bricks without straw,Cooking without rice,1) A small stone can cause a big ripple
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",Think twice before acting.
1032,无风起浪,Make trouble out of nothing,No wind and waves,3) Creating a storm in a teacup.
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,The king of the mountain
1034,无功受禄,Get a reward without deserving it,Reward without merit,4) <optional English idiom>
1035,无计可施,Utterly without resources,Nothing can be done,At a loss
1036,无济于事,Useless,To no avail,Cut your nose off to spite your face
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,The buck stops here.
1038,无事生非,Create problems where none exists,Much Ado About Nothing,OR
1039,无所适从,With no definite plan to follow,At a loss,Between a rock and a hard place
1040,无恶不作,Commit all manner of crimes,Do no evil,To do evil that good may come
1041,无以复加,In the extreme,Can't be added,A tangled web
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A house built on sand
1043,无缘无故,For no reason at all,For no reason,To raise more questions than answers
1044,无庸赘述,It's unnecessary to go into details,Needless to say,4) <other English idioms> (optional)
1045,烟消云散,Disappear in a flash,Disappear into smoke,4) <optional other idioms>
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,4) <other English idioms> (optional)
1047,照猫画虎,Imitate,Draw cats and tigers,To have a team of losers
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",A ship without an anchor
1049,煽风点火,Instigate,Fan the flames,```
1050,熟视无睹,Ignore,Turn a blind eye,A heavy heart
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,<select the most relevant English idiom>
1052,争权夺利,Scramble for power and profit,Scramble for power,Power struggle
1053,争长论短,Squabble,Debating long and short,Compare apples and oranges
1054,为民请命,Plead in the name of the people,Pray for the people,Kill two birds with one stone
1055,为非作歹,Break the law,To do evil,To pull the wool over someone's eyes
1056,为富不仁,Be rich and cruel,For the rich,A fox in the henhouse
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,Brown-nose
1058,为虎作伥,Help a villain do evil,Play for the tiger,To suck up
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,4) <english idiom> (if necessary)
1060,为所欲为,Have (or get) one's own way,Do whatever you want,To have the world
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,2) Rock the boat.
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"When the horse has bolted, it's too late to shut the stable door"
1063,片甲不留,The army is completely wiped out,No armor left,4) <optional other English idioms>
1064,片瓦无存,Be razed to the ground,No tiles left,Not a single stone left unturned.
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,At death's door
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,To gild the lily
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,To pull the rug from under someone's feet
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,To bite off more than one can chew.
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,To blow one's top
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,To sweet-talk
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,A door ajar
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,Having a plan B
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,Definition: <provide the definition of the Chinese idiom>
1074,独霸一方,Be a local despot,Dominate one side,Note: Please select the single best English idiom that matches the definition of the Chinese idiom.
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,"United we stand, divided we fall."
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,3) Loose lips sink ships
1077,独占鳌头,Head the list of successful candidates,Come out on top,Candidates: <list the other English idioms>
1078,率由旧章,Follow the beaten track,Rate by old chapter,Make a bad situation worse
1079,玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device",A diamond in the rough
1080,玩火自焚,Whoever plays with fire gets burnt,Play with fire,1) Burning the candle at both ends.
1081,珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,Stage-1 output (definition + candidates):
1082,班门弄斧,Show off in the presence of an old hand,Ban door axe,To overegg the pudding
1083,瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,4) The devil is in the details.
1084,瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,3) The emperor's new clothes
1085,瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,Definition: <optional definition>
1086,璞玉浑金,Unadorned beauty,Raw jade and gold,A diamond in the rough
1087,瓜田李下,Be found in a suspicious position,Melon Field Lixia,Don't bite the hand that feeds you.
1088,瓦釜雷鸣,An unworthy man in a high position,Wah Kettle Thunder,To polish a turd
1089,瓮中之鳖,(like) a rat in a hole,Turtle in a urn,4) <other English idioms> (if any)
1090,瓮中捉鳖,A sure catch,Catching turtle in urn,<select the most relevant English idiom>
1091,甘拜下风,Willingly acknowledge defeat,Gan Bai downwind,To eat humble pie
1092,甘之如饴,Gladly endure hardships,Sweet as candy,"Alternatives: <list the other English idioms that are also relevant, if any>"
1093,甚嚣尘上,Making a lot of noise,All over the place,To make a mountain out of a molehill
1094,生米煮成熟饭,What's done can't be undone,Uncooked rice cooked rice,4) <optional other English idioms>
1095,生于忧患，死于安乐,"Life springs from sorrow and calamity, death comes from ease and pleasure","Born in trouble, die in peace",<select the most relevant English idiom>
1096,用兵如神,Be a superb military commander,Use soldiers like gods,4) To fight like a lion
1097,男盗女娼,Behave like thieves and whores,Male thief female prostitute,4) <other English idioms>
1098,留得青山在，不怕没柴烧,While there is life there is hope,"Where there is life, there is hope",Make hay while the sun shines.
1099,毕其功于一役,Accomplish the whole task at one stroke,Completed in one battle,Explanation: <briefly explain why the selected idiom is the best match>
1100,画饼充饥,Feed on illusions,Painting cake to satisfy hunger,"Optional: 1) Bite the bullet, 2) Eat humble pie"
1101,画虎类狗,Attempting more than one has ability for,Drawing tiger dog,To gild the lily
1102,当机立断,Decide on the moment (or on the spot),Make a prompt decision,Think on your feet
1103,当局者迷，旁观者清,Those closely involved cannot see as clearly as those outside,"Father, like son",Explanation: <briefly explain why the selected idiom is the best match>
1104,当场出丑,Make a spectacle of oneself,Embarrassed on the spot,Stage-1 output:
1105,当仁不让,Not decline to shoulder a responsibility,Do your part,Still waters run deep.
1106,当耳边风,Turn a deaf ear to,When the wind blows,2) A fleeting thought
1107,叠床架屋,Pile one bed upon another or build one house on top of another,Stacked bed frame house,Build on quicksand
1108,疾风知劲草,Adversity is the best testing ground for moral stamina,The wind knows the strong grass,A leopard can't change its spots.
1109,疾恶如仇,Abhor (or hate) evils or evildoers as if they were personal enemies,Evil like hatred,4) <optional other English idioms>
1110,病急乱投医,Try anything when in a desperate situation,Emergency medical treatment,Definition: A small obstacle or problem can prevent someone from seeing the bigger picture or the truth.
1111,病从口入,Illness finds its way in by the mouth,Disease from the mouth,<English idiom>
