,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,3
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Alternatives: <list the other English idioms that are somewhat relevant>
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Hold someone back
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Candidates: <list the other English idioms that match the definition>
804,मुँह बंद कर देना,to silence completely,to shut the mouth,<select the most relevant English idiom> OR
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Not taking a step back
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Alternatives: <list the other relevant English idioms>
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,<select the most relevant English idiom> OR
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Beat around the bush
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Explanation: <briefly explain the relevance of the selected idiom to the Hindi idiom>
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,2) Dirty money
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To raise an eyebrow
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To show one's age
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To be in good books
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,On thin ice
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Alternatives: <list the other English idioms that are somewhat relevant but not the best match>
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Stage-2 output (explanation):
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Alternatives: <list the other English idioms that are somewhat relevant but not the best match>
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,To get the house in order
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,<select the most relevant English idiom>
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To be unable to run on empty
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To breathe a sigh of relief
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Drive someone round the bend
