,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To do something that is not important
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,caught off guard
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Hold one's breath
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Stage-2 output (justification):
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Keep your mouth shut
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Speak one's mind
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be kind-hearted
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep your mouth shut
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To hold one's tongue
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Stage-2 output (justification):
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To burden someone with a task or responsibility
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,<select the most relevant English idiom>
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To carve out a space in one's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Stage-2 output (justification):
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A heart attack
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To have a heartache
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,At the core of my being
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,<select the most relevant English idiom>
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Stage-2 output (justification):
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To be overwhelmed
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find a moment of peace
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,make someone's mind work less efficiently or become confused.
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,To be in over one's head
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Add a layer of intricacy and detail
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of bewilderment
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a headache
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,bite the bullet
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work like a bee.
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,bite one's nails
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Ignore something
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off someone's nose to spite their face
832,जुबान कसना,to rebuke harshly,to tighten the tongue,Break the ice
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To be in a pickle
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,To be on edge
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,To go crazy
836,जुबान सरक जाना,to misspeak,for the tongue to slide,"To be completely engrossed in something, often to the point of neglecting other responsibilities. (5)"
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To hold something dear and cherish it
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Blood is thicker than water
839,पसीना रोकना,to relieve effort,to stop sweat,hold back tears
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),Stage-2 output (justification):
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have a heart attack
842,सीने में जलन होना,to feel envy,to have burning in the chest,To have a heart attack
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,Stage-2 output (justification for the output):
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,Aha moment
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,<select the most relevant English idiom>
846,रंग दिखाना,to reveal true colors,to show color,paint a picture
847,रंगीन होना,to enjoy life freely,to become colorful,Feeling optimistic
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,Stage-1 output: <english idiom> - <definition>
849,रंग उड़ना,to fade away,for the color to fly/fade,A complete turnaround
850,रंग जमना,to gain traction,for color to set,To be overwhelmed by a situation.
851,रंग लगना,to start celebrating,to have color applied,Get caught up in
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To add a new layer of complexity or intricacy to an existing situation.
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Don't be too cautious
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Be open and direct
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To be self-absorbed
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,A sour grape
857,अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,<select the most relevant English idiom>
858,अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Speak your mind
859,अपना राग अलापना,to talk only about oneself,to chant one’s own tune,To express one's feelings or emotions in a way that is not appropriate or acceptable.
860,अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To be in the dark or not informed about something.
861,अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Reason: <select the most relevant English idiom and explain why it is the best match for the Hindi idiom>
862,अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,Other: <other relevant English idioms>
863,अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",Stage-2 output:
