,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,Others:
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,You can't judge a book by its cover
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,None
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,"4) Best: Give an inch, take an ell"
1004,混世魔王,Devil incarnate,Demon King of Chaos,Big Cheese
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,4) <optional English idiom>
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,1) Uneasy feeling
1007,混为一谈,Confuse something with something else,Mix it up,To mix apples and oranges.  (This idiom is a common expression that means to combine two things that are fundamentally different and cannot be compared.)
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Alternatives:
1009,添枝加叶,Embellish a story,Add branches and leaves,Make a mountain out of a molehill
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To make a silk purse out of a sow's ear.
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,```python
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,3
1013,游刃有余,Be move than equal to a task,Do it with ease,Silver-tongued devil
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To polish a turd
1015,浑然一体,An integral whole,All in one,1) The whole is greater than the sum of its parts.
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"Candidates: 1) , 2) , 3)  | 4) , 5)  | 6) , 7) , 8)  | 9) , 10)  | 11) , 12)  | 13) , 14)  | 15) , 16)  | 17) , 18)  | 19) , 20)  | 21) , 22)  | 23) , 24)  | 25) , 26)  | 27) , 28)  | 29) , 30)"
1017,沧海横流,The changes and disorders of the times,Across the sea,<select the most relevant English idiom>
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,a small stone that can cause a big ripple
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Live off the fat of the living
1020,滴水成冰,Freezing cold,Dripping into ice,A single snowflake in a blizzard
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",1) Talk is cheap.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,All hell breaks loose
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A snake swallows an elephant
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,Pad the team with extra players
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Break one's heart
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,A butterfly effect
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,A sea of troubles
1028,烈火见真金,True blue will never stain,Fire sees real gold,To put one's cards on the table
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To put a good face on something
1030,无米之炊,Make bricks without straw,Cooking without rice,Stage-1 output (definition + candidates):
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",Explanation:
1032,无风起浪,Make trouble out of nothing,No wind and waves,Gild the lily
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,Candidates:
1034,无功受禄,Get a reward without deserving it,Reward without merit,<select the most relevant English idiom>
1035,无计可施,Utterly without resources,Nothing can be done,At a loss
1036,无济于事,Useless,To no avail,Explanation: <briefly explain why you chose this idiom>
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,To curry favor
1038,无事生非,Create problems where none exists,Much Ado About Nothing,Make a mountain out of a molehill
1039,无所适从,With no definite plan to follow,At a loss,Definition: <one-sentence definition>
1040,无恶不作,Commit all manner of crimes,Do no evil,To be a scoundrel
1041,无以复加,In the extreme,Can't be added,"Alternatives: <list the other relevant English idioms, if any>"
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",3) A tree without roots is doomed to die.
1043,无缘无故,For no reason at all,For no reason,For no apparent reason
1044,无庸赘述,It's unnecessary to go into details,Needless to say,```  ```python
1045,烟消云散,Disappear in a flash,Disappear into smoke,<select the most relevant English idiom>
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,4)  To be in the woods
1047,照猫画虎,Imitate,Draw cats and tigers,Definition: <English definition of the Chinese idiom>
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",A solitary figure
1049,煽风点火,Instigate,Fan the flames,To fan the flames
1050,熟视无睹,Ignore,Turn a blind eye,2
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,The emperor's clothes are off
1052,争权夺利,Scramble for power and profit,Scramble for power,Alternative: <list other English idioms that are similar in meaning>
1053,争长论短,Squabble,Debating long and short,2) Beat around the bush
1054,为民请命,Plead in the name of the people,Pray for the people,Alternatives: <list the other English idioms that are less relevant but still similar> (optional)
1055,为非作歹,Break the law,To do evil,4) <optional other English idioms>
1056,为富不仁,Be rich and cruel,For the rich,Greed is a disease.
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To curry favor with someone
1058,为虎作伥,Help a villain do evil,Play for the tiger,To suck up to someone
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,Make a silk purse out of a sow's ear
1060,为所欲为,Have (or get) one's own way,Do whatever you want,**Call the shots**
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,To take out the trash and let the rats thrive
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,Pass the buck
1063,片甲不留,The army is completely wiped out,No armor left,1) Leave no stone unturned
1064,片瓦无存,Be razed to the ground,No tiles left,A forgotten relic
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,4) <english idiom> (optional)
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,Explanation: <briefly explain why the selected English idiom is the best match>
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,Definition: <one-sentence definition>
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,4) <optional other English idioms>
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,To gild the lily
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,Other: <select the most relevant English idiom>
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,Alternatives:
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,Flying by the seat of one's pants
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,Don't judge a book by its cover.
1074,独霸一方,Be a local despot,Dominate one side,Turn a lemon into lemonade
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,<select the most relevant English idiom>
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,A rolling stone gathers no moss.
1077,独占鳌头,Head the list of successful candidates,Come out on top,<select the most relevant English idiom>
1078,率由旧章,Follow the beaten track,Rate by old chapter,Definition: <the definition of the Chinese idiom>
