,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,"To wash one's hands of a situation or responsibility, often implying a desire to distance oneself from it."
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Keep someone's attention
802,पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Make a killing
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Keep your mouth shut
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Speak out
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be kind and friendly
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To say something in a roundabout way.
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Keep your mouth shut
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Stage-2 output:
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Give someone the silent treatment
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To be overwhelmed by a sudden influx of information or ideas.
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To carve out a place in one's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Stage-2 output:
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A change of heart
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To hold a grudge or harbor resentment.
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Deep in my soul
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,to feel elated
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is in the right place
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To be in a state of despair
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind
