,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,Wash one's hands of the situation
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To take the reins and steer the ship.
802,पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Keep your mouth shut
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Keep your mouth shut
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Speak up
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,A smile is contagious.
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep your mouth shut
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Keep one's mouth shut
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To be in a state of confusion or disarray
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Stage-2 output (justification):
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,<select the most relevant English idiom>
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in one's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Other: <select the other relevant English idioms>
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A mood swing
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To hold onto a feeling of sadness or disappointment.
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,To get to the bottom of something
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,A weight off your shoulders
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,In a mess
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Heart stops beating
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find comfort in one's heart
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone lose their mind
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,<select the most relevant English idiom>
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Stage-2 output (justification):
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or disarray.
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,Reasoning: <select the most relevant English idiom> is the best because <reasoning>.
