,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To wash one's feet
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Hold on tight
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Hold one's breath
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,Hold one's tongue
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Keep your mouth shut
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Stage-2 output:
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Keep your mouth shut
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be charming and pleasant in speech or manner.
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Stage-2 output (justification):
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Stage-2 output (justification):
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,In a mess
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,to put the kibosh on
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a stubborn belief that cannot be changed.
813,दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in one's heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"To have a strong desire or craving, as if there are sharp pins piercing the heart."
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,Hit a nerve
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To feel blue about something.
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,deep affection
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,<select the most relevant English idiom>
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,Reason: <select the most relevant English idiom and explain why it is the best match>
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"To be in a state of confusion or disarray, as if the heart has stopped beating."
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind.
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,to go off the rails
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,<select the most relevant English idiom>
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put your money where your mouth is
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or disorientation.
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,to have a brain freeze
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,to be on pins and needles
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,<select the most relevant English idiom>
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To bite one's nails
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Stage-2 output (justification):
831,जुबान काट लेना,to regret words spoken,to bite the tongue,Stage-2 output (justification):
832,जुबान कसना,to rebuke harshly,to tighten the tongue,To cut off the source of water supply.
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,A person with deep understanding.
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,To be in a pickle.
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,Be at a loss
836,जुबान सरक जाना,to misspeak,for the tongue to slide,To be in a state of confusion or bewilderment.
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Have a sweet tooth
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Other: <select the other relevant English idiom>
839,पसीना रोकना,to relieve effort,to stop sweat,<select the most relevant English idiom>
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),To be worn out
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,Stage-2 output:
