,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","2) Act quickly to cure the illness, even if it means taking drastic steps."
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",2
2,2,- हाँ.,- Yeah.,What happened?
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,<select the most relevant English sentence>
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,1) To be fully engrossed in a task.
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',1) Trying to steal something.
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,Stage-1 output (definition + candidates): <provide the definition and the candidates>
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Note: The output should be a single sentence.
8,8,वो मेरी माँ है.,My mother's from Sweden.,2) My mother is the one who raised me.
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",<English sentence>
10,10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,Stage-1 output (definition + candidates):
11,11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,2
12,12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,1) I'm all ears.
13,13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,<select the most relevant English sentence>
14,14,गूगल टाक होम नाम 3,Google Talk Home Name 3,"3) In India, we refer to Google Home as this name."
15,15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,Report all prisoners for lockdown.
16,16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?","2) And indeed, it is We who have created them, and so We will repeat their creation, and they are not aware."
17,17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,3
18,18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,To cut through the formalities and get to the main issue.
19,19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,Alternatives: <list the other options in order of relevance>
20,20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,1) Are you sure about that?
21,21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,Candidates:
