,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",3) Bite the bullet.
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","4) You're a weakling and if you weren't part of our group, we would have gotten rid of you a long time ago.  #HindiToEnglish #Translation #LinguisticResearch #IdiomTranslation #CulturalNuances #ContextualTranslation #LanguageResearch #TranslationStudies #Linguistics #LanguageLearning #Hindi #English #TranslationServices #LanguageTranslation #IdiomsTranslation #CulturalContext #LanguageCultural #TranslationResearch #LinguisticStudies #LanguageTranslationServices #HindiEnglishTranslation #IdiomsTranslationServices #CulturalTranslation #LanguageCulturalTranslation #TranslationServicesHindiEnglish #LinguisticTranslationServices #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindiEnglish #LinguisticTranslationServicesHindiEnglish #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindiEnglish #LinguisticTranslationServicesHindiEnglish #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindiEnglish #LinguisticTranslationServicesHindiEnglish #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindiEnglish #LinguisticTranslationServicesHindiEnglish #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindiEnglish #LinguisticTranslationServicesHindiEnglish #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindiEnglish #LinguisticTranslationServicesHindiEnglish #LanguageTranslationServicesHindiEnglish #HindiEnglishTranslationServices #IdiomsTranslationServicesHindiEnglish #CulturalTranslationServicesHindiEnglish #LanguageCulturalTranslationServicesHindiEnglish #TranslationServicesHindi"
2,2,- हाँ.,- Yeah.,1
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,2
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,1) To be tied down for life.
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',Trying to send mail to an unknown or untrusted source
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,Stage-1 output: <paste the definition and candidates>
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,3
8,8,वो मेरी माँ है.,My mother's from Sweden.,1) She's my mom.
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",1
10,10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,2) It's a hit just like a film.
11,11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Definition: Is the current stream seekable
12,12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,Definition: <define the Hindi sentence>
13,13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,2) The entire situation is a total mess.
14,14,गूगल टाक होम नाम 3,Google Talk Home Name 3,1
15,15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,4) All prisoners report for lockdown.
