,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",2) Take drastic action to resolve the problem.
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","2) I thought you'd make me feel good about myself, but now I think you'd make me feel bad."
2,2,- हाँ.,- Yeah.,"Note: The Hindi word ""हाँ"" is a very common word that can be translated to ""yes"" in many contexts. However, the above English sentences are more idiomatic and convey the same meaning as the Hindi sentence."
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,Analysis: <optional analysis>
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,Stage-1 output (definition + candidates): <definition and the list of candidate English sentences>
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',Trying to send mail to a ghost address.
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,I am with my family.
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,1) Where is the leader of the pack? Everyone has left and gone to hunt the sacred deer.
8,8,वो मेरी माँ है.,My mother's from Sweden.,2)
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","2) I can offer you something greater than all those things, which are reserved for those who have been chosen by God."
10,10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,Note: The Hindi sentence is a common idiom and the English sentences are also common expressions.
11,11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,2) Can we access the current stream?
12,12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,1
13,13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,3) The whole situation is a shambles. | Language Translation
14,14,गूगल टाक होम नाम 3,Google Talk Home Name 3,2) The weather forecasting machine in Britain.
15,15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,Definition: <one-sentence definition>
16,16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?","1) Those who refuse to believe, sitting idle, did they not consider that the sky and the earth were both closed, so we opened them and we alone created the living thing from water, yet they will not believe in this."
17,17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,"1) Don't worry, everything will be alright.  (This is the best English sentence that matches the definition of the Hindi sentence.)"
18,18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,1) Take a break every now and then.
19,19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,"2) In our country, laws should be obeyed."
20,20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,Move on.
21,21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,I'm not going to drink this.
