,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Alternatives: <list the other options, if any> ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures, but we must act fast. 3) We will either take extreme measures or take drastic action, but we must do it quickly. ##### Best: 1) We need to take drastic action to resolve this issue, but we must do it immediately. Alternatives: 2) Either take a risk or take drastic measures"
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",<select the most relevant English sentence>
2,2,- हाँ.,- Yeah.,Stage-1 output (definition + candidates):
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,<select the most relevant English sentence>
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,4) A lifelong commitment to someone or something.
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',4) Junk mail is being sent from an unknown sender.
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,1) A software tool to fine-tune the brightness and contrast of digital images.
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,2) Are you out of your mind?
8,8,वो मेरी माँ है.,My mother's from Sweden.,Stage-1 output (definition + candidates):
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",<select the most relevant English sentence>
