,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","2) If you need anything, let me know."
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",3
2,2,- हाँ.,- Yeah.,2) That's right.
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,He panics at the slightest setback.
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,1) Till death do us part.
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',Alternatives: <list the other English sentences>
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,Hindi: <translate the definition into Hindi>
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,1) Where is the queen? Everyone has left and gone to slay the dragon.
8,8,वो मेरी माँ है.,My mother's from Sweden.,She is my mother.
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","4) Tell them to listen carefully, and I will tell them of a better existence than those who have been granted the privilege of being in paradise."
10,10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,How difficult is it to find time to read books?
11,11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,1) Can we jump to any point in the current video?
12,12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,<select the most relevant English sentence>
13,13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,3) This job is really tough for me.
14,14,गूगल टाक होम नाम 3,Google Talk Home Name 3,A phone addict.
15,15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,2
16,16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?",2) They refuse to acknowledge the power of the creator who brought life from nothing.
17,17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,2) Are you okay?
18,18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,Auto-refresh.
19,19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,We should seek medical help.  #HindiToEnglish #Translation #LinguisticResearch
20,20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,Do you have a plan?
21,21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,```  #1
22,22,क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है,Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).,God is the one who knows the secrets of the faithful.
23,23,लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।,"No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?","4) He had bought it for a Mercedes, don't you remember four weeks ago?  (because of the word 'don't you remember' which is a common way to ask for someone's memory in English)"
24,24,- यहाँ नहीं नहीं!,- No. Not here!,"2) No way, not a chance."
25,25,(और) उन लोगों को अपनी तरफ बुलाती होगी,"It shall insistently summon him who turned his back and retreated,",Definition: <insert definition of the Hindi sentence>
26,26,और हम उसके लिए चारों ओर इकट्ठा किया है।,And we've gathered around for that.,2
27,27,MURPH:,MURPH:,Definition: <provide a definition of the Hindi sentence>
28,28,और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं,And the mountains – how they have been established?,The mountains stand in a peculiar formation.
29,29,गाढ़ा,Bold,Stage-1 output (definition + candidates):
30,30,और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.,And he is going to say the word that I have prepared for you.,I'm about to say the final words.
31,31,कॉन्फ़िगर संकुल,Configure external packages,<select the most relevant English sentence>
32,32,बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।,"The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.",Stage-1 output: <list the candidates>
