,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",3) Bite the bullet and fix it fast.
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","5) We can't make sense of most of what you say, and we consider you to be weak, and if you weren't part of your tribe, we would have killed you a long time ago. 14) Stage-2 output: <english sentence> (optional) 15) 16) 17) 18) 19) 20) 21) 22) 23) 24) 25) 26) 27) 28) 29) 30) 31) 32) 33) 34) 35) 36) 37) 38) 39) 40) 41) 42) 43) 44) 45) 46) 47) 48) 49) 50) 51) 52) 53) 54) 55) 56) 57) 58) 59) 60) 61) 62) 63) 64) 65) 66) 67) 68) 69) 70) 71) 72) 73) 74) 75) 76) 77) 78) 79) 80) 81) 82) 83) 84) 85) 86) 87) 88) 89) 90) 91) 92) 93) 94) 95) 96) 97) 98) 99) 100) 101) 102) 103) 104) 105) 106) 107) 108) 109) 110) 111) 112) 113) 114) 115) 116) 117) 118) 119) 120) 121) 122) 123) 124) 125) 126) 127) 128) 129) 130) 131) 132) 133) 134) 135) 136) 137) 138) 139) 140) 141) 142) 143) 144) 145) 146) 147) 148) 149) 150) 151) 152) 153) 154) 155) 156) 157) 158) 159) 160)"
2,2,- हाँ.,- Yeah.,Absolutely.
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,Others:
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,1) To be shackled to a particular fate.
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',Trying to send an email from a suspicious sender.
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,"Explanation: The Hindi sentence डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन translates to ""A plugin to adjust histogram levels for images in a digital camera."" The most relevant English sentence from the candidates is ""A utility to optimize image histogram settings."" This sentence accurately conveys the meaning of the Hindi sentence, which is to adjust the histogram levels for images in a digital camera. The other options, while related to image editing, do not specifically mention histogram levels or adjusting them for digital cameras. Therefore, the best English sentence that matches the definition of the Hindi sentence is ""A utility to optimize image histogram settings."" Best: 3 Explanation: The Hindi sentence डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन translates to ""A plugin to adjust histogram levels for images in a digital camera."" The most relevant English sentence from the candidates is ""A utility to optimize image histogram settings."" This sentence accurately conveys the meaning of the Hindi sentence, which is to adjust the histogram levels for images in a digital camera. The other options, while related to image editing, do not specifically mention histogram levels or adjusting them for digital cameras. Therefore, the best English sentence that matches the definition of the Hindi sentence is ""A utility to optimize image histogram settings."" Best: 3 Explanation: The Hindi sentence डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन translates to ""A plugin to adjust histogram levels for images in a digital camera."" The most relevant English sentence from the candidates is ""A utility to optimize image histogram settings."" This sentence accurately conveys the meaning of the Hindi sentence, which is to adjust the histogram levels for images in a digital camera. The other options, while related to image editing, do not specifically mention histogram levels or adjusting them for digital cameras. Therefore, the best English sentence that matches the definition of the Hindi sentence is ""A utility to optimize image histogram settings."" Best: 3 Explanation: The Hindi sentence डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन translates to ""A plugin to adjust histogram levels for images in a digital camera."" The most relevant English sentence from the candidates is ""A utility to optimize image histogram settings."" This sentence accurately conveys"
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,2
8,8,वो मेरी माँ है.,My mother's from Sweden.,4) My mother is a very important person in my life.
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","Tell those people to listen carefully, as I can tell them of even better things than those who have been granted the right to be cautious, for them there are gardens in heaven where rivers flow, they will always reside there, they will have pure and chaste wives, and above all, the pleasure of God, and God is keeping a close eye on those servants who pray."
10,10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,It's a huge success.
11,11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Stage-1 output (definition + candidates):
12,12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,5) Two unknown men are entering the house without permission.
13,13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,Alternatives: <list the other two English sentences>
14,14,गूगल टाक होम नाम 3,Google Talk Home Name 3,4
15,15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,All prisoners are asked to return to their quarters for lockdown.  ```python
16,16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?",2) Those who refuse to accept the truth will not be convinced even by the most spectacular of miracles.
17,17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,2) Forget about it.
18,18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,"Get out of the way, I am coming."
19,19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,We should go to a hospital.  OR
20,20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's the plan? 2) What's your strategy? 3) What's your next move? OR Best: What's
