src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,It is very important to be humble and respectful towards one's friends.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"यह अंग्रेजी वाली शब्दावली ""to hold one's tongue"" के समान है। इसका अर्थ है कि कोई व्यक्ति अपने विचारों को नहीं बताता है और अपने विचारों को नहीं बताता है। यह व्यक्ति अपने विचारों को नहीं बताता है और अपने विचारों को नहीं बताता है।"
पैर रोक लेना,to hesitate before action,to hold back the foot,Hold one's tongue.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To keep it terse and faithful to each component"" is a literal translation of the Hindi idiom ""मुँह मोड़ लेना"" (muh mordh leena), which means to hold one's tongue or refrain from expressing one's opinion or emotions, often due to fear of criticism or disapproval."
मुँह बंद कर देना,to silence completely,to shut the mouth,"The idiom ""मुँह बंद कर देना"" can be translated to ""to keep it terse and faithful to each component"" in natural English."
मुँह चलाना,to speak unnecessarily,to run the mouth,"मुँह चलाना (muh chalana) means to talk a lot, often in a way that is not necessary or productive. It can also mean to be talkative or to have a lot of opinions or ideas. The idiom is often used to describe someone who talks a lot without really contributing anything meaningful to the conversation."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To stick one's tongue out is very serious.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom ""मुँह मीठा होना"" means ""to have a sweet mouth"" in Hindi. The idiomatic sense is that it is a good thing to have a pleasant and agreeable personality, as it makes people feel comfortable and happy around you."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,जैसा शब्द बोलना (jaisa shabad bolana)
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To share one's main message or idea with close friends.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Put a hat on your head.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"माथे पर लकीरें पड़ना means ""to have a lot of ideas or opinions, but not be able to express them clearly or effectively."
दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,दिल में काँटे चुभना
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To have a hiccup in one's heart.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depth of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The heart is melted, melted."
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means that someone's heart is full of love or affection for another person."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,दिल टूटकर रह जाना
दिल को सुकून मिलना,to find peace,for the heart to find peace,To make peace with one's heart is very good.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind go blank or confused.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain is attached to the head.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"The idiom ""दिमाग पर बोझ डालना"" translates to ""putting too much effort into something"" or ""overthinking a situation"" in English."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The idiom ""दिमाग गुम होना"" means ""to be in a state of confusion or bewilderment,"" where one's mind becomes unclear or disoriented."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's windpipe is blown out.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The teeth are chattering
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with limited resources or with limited knowledge.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To press one's teeth with a finger
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it brief and accurate.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the jubaan to spite one's face.
जुबान कसना,to rebuke harshly,to tighten the tongue,The jug is broken.
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,Not to give up hope even when things seem hopeless.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,Put a feather on a peacock's tail.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jewel slipped away.
जुबान सरक जाना,to misspeak,for the tongue to slide,"To be in a state of confusion or bewilderment, often due to being overwhelmed by too much information or complexity."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it terse and faithful to each component.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"The idiom ""खून का रिश्ता निभाना"" can be translated as ""to establish a bond or link between two things,"" which is a natural and idiomatic way to express the idea of creating a connection or relationship between two things."
पसीना रोकना,to relieve effort,to stop sweat,Keep it brief and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),To be thin and thin
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"- The idiom सीने में दर्द होना means ""to have a headache"" in English."
सीने में जलन होना,to feel envy,to have burning in the chest,"The idiom ""सीने में जलन होना"" translates to ""to be in a state of agitation or excitement, as if the audience is on fire"" in natural English idiomatic translation."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The person looks down on others, as if they are looking down from a high place."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"The idiom ""सीने पर बोझ होना"" can be translated to ""to be in a difficult situation"" or ""to be in a tight spot"" in natural English."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Fire breaks out in the theater.
रंग दिखाना,to reveal true colors,to show color,रंग दिखाना और रंग लगाना
रंगीन होना,to enjoy life freely,to become colorful,"The idiom ""रंगीन होना"" (rangīn honā) can be translated to ""To be colorful is very good"" in English, but it's more natural to say ""To become or appear colorful or lively, often in a positive or exciting way"" in a conversational context."
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color faded.
रंग उड़ना,to fade away,for the color to fly/fade,"A native speaker would say ""I'm having a change of heart about this."
रंग जमना,to gain traction,for color to set,"The idiom ""रंग जमना"" means ""to be in a bad mood"" or ""to be in a bad state of mind."" It is often used to describe someone who is feeling unhappy, frustrated, or upset."
रंग लगना,to start celebrating,to have color applied,"The literal English translation of the Chinese idiom ""coloring"" or ""painting"" is ""coloring"" or ""painting."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"The idiom ""रंग में रँग जाना"" can be translated to the English idiom ""to be in a state of confusion or disarray."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,"Keep it simple and true to each part. No explanation, just the literal translation."
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,Focus your mind on the task at hand.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are hard, but there is still a little hope."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,Don't blow your own horn.
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your nose up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,"अपना राग अलापना (apna rāga alāpana) means ""to express one's feelings"" or ""to talk about one's emotions"" in Hindi. It is an idiom that suggests that someone is expressing their inner thoughts and feelings, often in a personal and intimate manner. The idiom is derived from the Sanskrit word ""alāpana,"" which means ""to sing"" or ""to recite,"" and is used to describe the act of expressing one's feelings through words or music."
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,अंधे का हाथ बटेर लगना
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it under wraps.
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To think that one's mistake is to make another mistake out of one's mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune","Faithful translation: ""Don't reveal your true feelings."
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,To break one's head
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To scratch one's head.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To put a thorn in the eye of the blind.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Blindly divided red beans
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,"The idiom ""अंधे की लकड़ी खरीदना"" can be translated to ""buying a pig in a poke"" or ""buying a fool's gold"" in English."
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,अंधेरे में एक लाठी खरीदने की आशा रखना.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,"Even if someone is blind, their eyes still remain closed."
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,A dark bread is a sweet bread.
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes",।
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"Whatever you want to see, keep your eyes closed."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Keep it in the dark
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To bring light or hope to someone who is in darkness or despair.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the road to the blind.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark and go out.
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,अंधा धुन में लगे रहना अर्थात् एक दिव्य विचार या विचार को असंभव बनाना या उसे असंभव बनाना या उसे असंभव बनाना.
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for an eye in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,"अंधे के हाथ में दीपक देना शब्दों को अंग्रेजी में व्याख्या करने के लिए आपको एक विशेष तरीका लगभग अंग्रेजी में उसका अर्थ देना होगा। इसका अर्थ है कि जब आप एक अंधेरे में रहते हैं और आपको कुछ जानकारी देनी होती है, तो आप उसे अपने हाथों में नहीं ले सकते हैं। इसका अर्थ है कि आप अपने हाथों में नहीं ले सकते हैं जब आप अंधेरे में रहते हैं।"
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,To ride a blindfolded bird
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The king is blind to his subjects' blindness.
