src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"If you don't want to wash your feet, then don't talk like that."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To restrain oneself or hold back.
पैर रोक लेना,to hesitate before action,to hold back the foot,(To hold back one's laughter)
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep it terse and faithful to each component.
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep the mouth closed.
मुँह चलाना,to speak unnecessarily,to run the mouth,"A natural English idiomatic translation: ""To open one's mouth"
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To keep quiet or be silent when someone is trying to sleep or rest.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"To be not sweet, but bitter."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep the mouth shut
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The idiom ""मुँह धुलवाना"" is used to describe someone who talks too much or uses unnecessary words, often to the point of being annoying or tiresome."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture or talk to educate or inform them about something.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"To have a lot of knowledge or information, and be able to easily recall and recite it."
दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in the heart for something or someone.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"The idiom ""दिल में काँटे चुभना"" means to feel very upset or angry about something."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" can be translated to English as ""to feel a pang of regret or remorse"" or ""to have a thump in the heart."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,दिल में गुस्सा रखना
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Speak from the depth of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is melting.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden full of flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To lose one's mind or become overwhelmed by emotion.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make one's brain bad
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,"The idiom ""दिमाग ठिकाने लग जाना"" can be translated to English as ""to have a sudden realization or insight."
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a stick in your head (or: Put a pin in your head)
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,The brain becomes dumb
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"The idiom ""दिमाग की बत्ती बुझ जाना"" means ""to lose one's mind"" or ""to go crazy"" in Hindi. It suggests that someone has become so overwhelmed or upset that they are no longer in control of their thoughts or emotions."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The teeth chattering
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"Doing something with one's teeth, i.e., doing something with difficulty or clumsily."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To bite the hand that feeds you
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Shut up or be quiet.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the source of income or support.
जुबान कसना,to rebuke harshly,to tighten the tongue,To take advantage of someone's weakness or vulnerability.
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,Keep it terse and faithful to each component.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,रखना
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The idiom ""जुबान फिसल जाना"" can be translated as ""to lose one's temper"" in English."
जुबान सरक जाना,to misspeak,for the tongue to slide,To be taken in by someone's charm or beauty.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To keep the sweet of the jujube in one's mouth.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"The idiom ""खून का रिश्ता निभाना"" means to create a connection or bond between two people, often in a romantic or emotional sense. It implies that the relationship between two individuals is strong and deep, like the veins in the human body."
पसीना रोकना,to relieve effort,to stop sweat,"The literal translation of ""पसीना रोकना"" is ""to keep it terse and faithful to each component, no commentary, just the literal gloss."
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The literal translation of the idiom ""पसीने-पसीने होना"" is ""To be thin and thin."" However, the idiomatic meaning of the idiom is to be extremely tired or exhausted."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The natural English idiomatic translation of सीने में दर्द होना is ""To have a headache in the head""."
सीने में जलन होना,to feel envy,to have burning in the chest,"The literal translation of ""सीने में जलन होना"" is ""To have fire in the eyes,"" which does not convey the idiomatic meaning of the idiom."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"The idiom ""सीने में लावा उठना"" can be translated as ""to be in a state of confusion or bewilderment"" or ""to be overwhelmed by a large amount of information or data."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,I'm at a loss for words. I don't know what to say.
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The idiom ""सीने में आग लगना"" can be translated to ""to ignite a fire under someone"" or ""to put pressure on someone"" in English."
रंग दिखाना,to reveal true colors,to show color,The color is beginning to show.
रंगीन होना,to enjoy life freely,to become colorful,To become colorful or lively; to become more interesting or engaging.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,The color is falling off.
रंग उड़ना,to fade away,for the color to fly/fade,"Change color, change color."
रंग जमना,to gain traction,for color to set,The colors are mixed up
रंग लगना,to start celebrating,to have color applied,"The idiom ""रंग लगना"" is used to describe how a person or thing is influenced or affected by an external factor. It is often used to convey the idea of being changed or impacted by a particular event, situation, or person."
