src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To make amends for a mistake or wrongdoing.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold back or restrain oneself from expressing or acting on one's emotions or desires.
पैर रोक लेना,to hesitate before action,to hold back the foot,Keep it terse and faithful to each component.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"A native English speaker would say ""I'll hold my tongue"" or ""I'll keep quiet"" in response to the idiom."
मुँह बंद कर देना,to silence completely,to shut the mouth,"Despite the rain, the flowers bloomed beautifully."
मुँह चलाना,to speak unnecessarily,to run the mouth,To speak openly
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"The literal English translation of the Hindi idiom ""मुँह लगाना"" is ""To stick one's tongue out."
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom ""मुँह मीठा होना"" can be translated to English as ""to be nice to someone's face"" or ""to pretend to be nice to someone."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it brief and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep one's mouth shut
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,मुँह धुलवाना
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture or to lecture someone.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"To be overwhelmed by something, to be taken aback or surprised."
दिल में जगह बनाना,to win affection,to make a place in the heart,"English: ""To make a place in one's heart"
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have nails protrude from the heart.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" can be translated to ""to have a throb in the heart"" in English, which conveys the same meaning of experiencing intense emotions due to a particular situation or event."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"To keep calm and composed in difficult situations, as if keeping a tight grip on one's emotions."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,Information from the depths of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The idiom ""दिल हिल जाना"" is a Hindi idiom that means ""to melt the heart"" or ""to fall in love."" The literal translation of the words is ""the heart melts."
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" translates to ""to have a heart full of flowers"" in Hindi, which means that someone is very kind, compassionate, or has a warm and loving heart."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To keep one's heart broken
दिल को सुकून मिलना,to find peace,for the heart to find peace,The heart wants to be at ease.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"To make one's brain bad"" or ""To make one's mind go blank"
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,I can't concentrate. My brain is going to the place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"To put a lot of thought into something, to give it a lot of consideration."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"दिमाग गुम होना means to be in a state of confusion or bewilderment, unable to think clearly or make sense of something."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"The idiom ""दिमाग की बत्ती बुझ जाना"" can be translated to ""to have one's mind made up"" in English."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,The teeth chattering.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom ""to put one's foot in one's mouth"" or ""to blunder or make a mistake"" is a common English expression that means to say or do something unintentionally that embarrasses or embarrasses someone."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it brief and true to each part.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the audience's attention or interest.
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" can be translated to the English phrase ""to be in a difficult situation or in trouble."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To hit the innocent hair of a goose
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a nail in the coffin means to make something final or irreversible.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The river flows away from the source.
जुबान सरक जाना,to misspeak,for the tongue to slide,Keep it terse and faithful to each component.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To hold back the milk of the camel.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Keep the bloodline intact.
पसीना रोकना,to relieve effort,to stop sweat,To keep it simple and to the point.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"He was always so thin and serious, it was hard to talk to him."
