src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To keep it terse and faithful to each component.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,Sit back and relax.
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold back one's feet.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,लेना (muhm modh lena)
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,मुँह चलाना means to talk a lot or to be talkative. It implies that someone is always talking or has a tendency to talk excessively.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,The mouth does not go outside
मुँह मीठा होना,to taste success,for the mouth to become sweet,मुँह मीठा होना नहीं बल्कि बाहर भी बुलाना
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it terse and faithful to each component.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To keep one's mouth clean and avoid causing any unnecessary trouble.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put a burden on someone's shoulders
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" means to have a lot of knowledge or information, especially in a particular field or area. It is like having a lot of knowledge or information on your head, which can be useful in various situations."
दिल में जगह बनाना,to win affection,to make a place in the heart,"दिल में जगह बनाना means ""to make room for something in one's heart or mind, often referring to allowing oneself to accept or embrace a new idea, opinion, or person."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have a tight grip on one's heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"दिल में खटका होना means to feel a sudden and unexpected change in one's emotions or feelings, often due to a strong emotional reaction to something."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"दिल की गहराई से कहा जाता है कि एक व्यक्ति अपनी शक्तियों को अपनी दिल की गहराई में ले जाता है और उसे अपने दोस्तों, परिवार और विश्वास के साथ विस्तारित करता है। यह अपने दिल की गहराई से उसके विचारों और अनुभवों को विस्तारित करने के लिए एक व्यक्ति की शक्ति है।"
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The heart is overflowing with love and affection, just like a garden filled with various flowers."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To keep the heart broken
दिल को सुकून मिलना,to find peace,for the heart to find peace,To feel at ease in the heart
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Make someone think or feel bad or upset.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain's territory is taken over.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a brain on the head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,I'm just having a blank mind today.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"To have a sudden realization or epiphany, often after considering something carefully or thinking deeply about it."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"To be afraid of a tiger, you're afraid of a tiger."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom ""दाँतों तले अंगुली दबाना"" means ""to hit the nail on the head."" It is used to describe someone who makes a precise and accurate observation or statement about a situation or problem."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off one's nose to spite one's face.
जुबान कसना,to rebuke harshly,to tighten the tongue,"The literal translation of ""जुबान कसना"" (Jubān kasana) is ""to carve a seal."" However, this translation does not convey the idiomatic meaning of the phrase."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,अंग्रेजों के साथ बात करना
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To put a bandage on a sore or painful spot.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,जुबान फिसल जाना जब जिन्दगी जानती हैं।
जुबान सरक जाना,to misspeak,for the tongue to slide,To be taken for granted or to be considered as a matter of course.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it terse and faithful to each component.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Keep it terse and faithful to each component.
पसीना रोकना,to relieve effort,to stop sweat,"The literal translation of ""पसीना रोकना"" is ""to hold one's breath,"" which means to pause or stop doing something, often in anticipation or fear of something negative happening."
