src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,"The idiom ""पैर धोना"" is used to describe a situation where someone is trying to clean their feet, but they are not doing it properly or efficiently. The literal translation of the idiom is ""The feet do not want to be washed."
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"To hold onto one's feet"" or ""to keep one's feet"" or ""to maintain one's footing"
पैर रोक लेना,to hesitate before action,to hold back the foot,"To hold one's breath"" is a natural English idiomatic translation of ""पैर रोक लेना."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut
मुँह बंद कर देना,to silence completely,to shut the mouth,Close the mouth
मुँह चलाना,to speak unnecessarily,to run the mouth,Mouth Talk
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Muh lagana nahin karana
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom ""मुँह मीठा होना तो नहीं बल्कि अपनी बातों से भी बुरा होना जरूरी है"" can be translated as ""Mouth to be sweet, but also my words to be bad is necessary."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"The idiom ""मुँह बिचकाना"" can be translated to English as ""to talk too much"" or ""to be talkative."" It implies that someone is excessively verbose or chatty, often to the point of being annoying or distracting."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,मुँह पीटना (muh peetna)
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,To talk a lot
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture on the head
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have rhymes on one's forehead
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in your heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"दिल में काँटे चुभना means to feel intense emotions, especially when something deeply affects one's feelings or emotions. It is often used to describe a strong emotional response to a particular situation or event."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,To experience a sudden emotional impact or shock.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,To feel sad or upset about something.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depth of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart leaps up
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means that someone's heart is like a garden with many different flowers, implying that they have a wide range of interests or hobbies."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" means ""to be overwhelmed with emotion"" or ""to be emotionally affected."" It suggests that someone is so moved by something that their feelings become intense and uncontrollable."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind or to calm one's emotions.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make one's mind go blank.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain goes to the place
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put a thought into someone's head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The idiom ""दिमाग गुम होना"" is used to describe a situation where someone's mind is overwhelmed with conflicting thoughts or ideas, making it difficult for them to think clearly."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The brain's mind is blown.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"The dogs bark at the teeth, and the teeth bite back."
