src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To wash one's feet.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold onto one's feet.
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The idiom ""मुँह मोड़ लेना"" means ""to hold one's tongue"" or ""to keep quiet."" It implies that someone is refraining from speaking or expressing their thoughts due to some reason, such as fear, embarrassment, or politeness."
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it brief and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,Not to open one's mouth
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To keep repeating oneself.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"मुँह मीठा होना means ""to be liked or admired by others due to one's pleasant or attractive appearance or manner"" or ""to be charming or charming by others."" The literal English translation of this idiom is ""To have a sweet mouth, or to change one's words into big words."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"He spoke in a way that was so confusing, I couldn't make out what he was saying."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep it concise and faithful to each element.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Don't make your mouth dirty.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"Give someone a lecture or advice, especially in a critical or scolding manner."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a lot of talk
दिल में जगह बनाना,to win affection,to make a place in the heart,To carve a space in the heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel the nails pricking in the heart.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" means that something is causing emotional distress or discomfort. It can be translated as ""to feel a pang of pain"" or ""to experience a sharp emotional jolt."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,दिल में गुस्सा रखना
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depth of my heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is lifted up.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The mind is like a garden full of flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To keep the heart from breaking
दिल को सुकून मिलना,to find peace,for the heart to find peace,"To make the heart happy, the heart must be made."
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make one's brain sick
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain is getting tired and needs a break.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a coal in your head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,I'm feeling a bit blank-headed today.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a brain fart or forget something important.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,बालों को बालों से खेलना (dānt kīt kītānā balon ko balon se khelana)
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To bite one's nails.
जुबान बंद कर देना,to silence someone completely,to shut the tongue,"The idiom ""जुबान बंद कर देना"" means to ""put a lid on it"" or ""to put an end to something."" It is used to suggest that something should be stopped or prevented from happening."
जुबान काट लेना,to regret words spoken,to bite the tongue,Cut off the hair
जुबान कसना,to rebuke harshly,to tighten the tongue,To break the ice.
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,"The literal translation of ""珠玉在前"" is ""precious things in front"" or ""treasures in front."" It is often used to describe someone who is surrounded by wealth and luxury."
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To place a coin on the head
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,Keep it terse and faithful to each component.
जुबान सरक जाना,to misspeak,for the tongue to slide,To keep it terse and faithful to each component.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it terse and faithful to each component.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"The idiom ""खून का रिश्ता निभाना"" means to create a connection or relationship between two people or things, often in a metaphorical sense. It is used to describe the establishment of a bond or link between two entities."
पसीना रोकना,to relieve effort,to stop sweat,To keep it terse and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),To be very careful or cautious.
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have pain in the eye
सीने में जलन होना,to feel envy,to have burning in the chest,To be on fire
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"A native speaker would say ""To lift up one's head in the street"" to describe someone who is successful or achieves something despite facing difficulties or obstacles."
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"सीने पर बोझ होना (sīnē pār bōjh honā) translates to ""To be stuck with a problem"" in English."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,The fire starts in the audience.
रंग दिखाना,to reveal true colors,to show color,"The literal translation of ""बारी बारी"" does not convey the intended meaning of the Chinese idiom ""色相"". The correct translation would be ""to show one's true colors"" or ""to reveal one's true nature""."
रंगीन होना,to enjoy life freely,to become colorful,"The phrase ""To know that one is not red"" is a literal translation of the idiom ""रंगीन होना"". However, it is not a natural English idiomatic translation. A more appropriate translation would be ""To become colorful or lively""."
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,To lose one's color or hue.
रंग उड़ना,to fade away,for the color to fly/fade,"The literal English translation of ""rang udrana"" is ""color flies on the hair to turn it into snow,"" which means that something is so beautiful or impressive that it leaves a lasting impression or makes you feel like you're in a dream-like state."
रंग जमना,to gain traction,for color to set,Keep it terse and faithful to each component.
रंग लगना,to start celebrating,to have color applied,Don't add unnecessary color to the painting.
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To add more color to something
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To keep it terse and faithful to each component.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To keep one's eyes on the prize
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The grapes are sour and the milk is like milk.
