src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,अपने दोषों को दिखाने के लिए एक बार तक
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold on and keep one's hair
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep quiet or refrain from speaking.
मुँह चलाना,to speak unnecessarily,to run the mouth,"He's always talking, he never keeps his mouth shut."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"To keep one's mouth shut, especially when one wants to avoid saying something."
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The idiom ""मुँह मीठा होना"" can be translated as ""to be liked or well-liked by people."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"मुँह बिचकाना (muh bichkanā): To keep one's mouth shut or not say anything, often in order to avoid conflict or controversy."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep one's opinions to oneself and not express them openly.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The person was talking nonsense, like a mouth that is dusty."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,I can't believe he put a needle in my forehead with his lecture on punctuality.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a lot of ideas or opinions
दिल में जगह बनाना,to win affection,to make a place in the heart,To carve out a place in one's heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"The idiom ""दिल में काँटे चुभना"" can be translated to English as ""to feel a sharp pain in the heart""."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,The heart is trembling.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depths of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,"The idiom ""दिल बाग़-बाग़ होना"" means that someone's heart is in turmoil or they are experiencing intense emotions. The idiom is used to describe a state of emotional distress or confusion."
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To have one's heart broken = To have one's heart broken
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind or to calm down one's emotions.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind or thoughts unclear or confused.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The mind goes to the place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a bone in your head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"To become confused or disoriented, often due to a lack of information or understanding."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,I can't focus on the task at hand. My mind is wandering.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"To be very nervous or anxious about something, as if one's teeth are chattering."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Working with a toothpick
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"He was very careful, like tapping his teeth with a finger."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it terse and faithful to each component.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off a branch
जुबान कसना,to rebuke harshly,to tighten the tongue,To make a big splash
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,रास्ते की नींद देना
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"To put a nail in the jug"" is not a natural English idiom. It is a literal translation of the Hindi phrase, but it does not convey the idiomatic meaning of ""to put a nail in the coffin."" A more natural English idiom that conveys the same meaning is ""to nail someone's coffin shut."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The jubaan falls off.
जुबान सरक जाना,to misspeak,for the tongue to slide,To keep it terse and faithful to each component.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it brief and faithful to each element.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
पसीना रोकना,to relieve effort,to stop sweat,To keep it terse and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),Keep it terse and faithful to each component.
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,Feeling uncomfortable or embarrassed in a social situation
सीने में जलन होना,to feel envy,to have burning in the chest,"A native speaker would say ""I'm in a pickle"" or ""I'm in a tough spot."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To lift up from the seat
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"सीने पर बोझ होना (Sīnē par bōj hona) is an idiom that means to be in a state of confusion or bewilderment, as if one's mind is spinning around like a top. It is often used to describe a situation where a person is overwhelmed by a lot of information or ideas, and is unable to make sense of them."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,Get into trouble.
रंग दिखाना,to reveal true colors,to show color,To show color and take color
रंगीन होना,to enjoy life freely,to become colorful,To be not not colorful.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,To be in a state of confusion or bewilderment.
रंग उड़ना,to fade away,for the color to fly/fade,Keep it terse and faithful to each component.
रंग जमना,to gain traction,for color to set,The disease of being stuck in a rut.
रंग लगना,to start celebrating,to have color applied,"The idiom ""रंग लगना"" means ""to be affected by something"" or ""to be influenced by something."" It is often used to describe how people are impacted by events, situations, or people."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,"To add more color or detail to a situation or description, making it more vivid and engaging."
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep it terse and faithful to each component.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Keep it terse and faithful to each component.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To focus on the details or to concentrate on the small things.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The grapes are hard.
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,They know how to keep their anger in check.
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep your nose up.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Do not hold back your anger.
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To have a hand in the dark
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,Not knowing one's own mistake.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",I don't show my true feelings
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,The scale of one's mind breaks down.
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,"To keep it concise and true to each part"" can be translated as ""No commentary, just the literal translation."
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To wear a tilak on the hand of an owl.
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,A blind man cutting a rope.
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,It's impossible to make something out of nothing.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To take advantage of someone's ignorance or lack of knowledge.
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,The eye of the blind does not open
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,अंधे की रोटी गीली रेल लगाने की तरह देखना
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","Blind man's name heard, but eyes not seen."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"The idiom ""अंधा क्या चाहे, दो आँखें बनाए रखना चाहिए"" means that even if you want to be blind, you should still have two eyes. It emphasizes the importance of having the ability to see the truth and make wise decisions, even if it may be difficult or uncomfortable."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,To hide in the dark
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To enlighten someone who is unaware or uneducated about a particular subject.
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To give hope to the hopeless or to make someone feel better.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be stuck in a hopeless situation.
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,Searching for a needle in the dark.
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,Give a light to a blind person.
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,"The idiom ""अंधा ऊँट सवारी करना"" can be translated into English as ""to drive a blind horse."
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To bring light into darkness
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind king's people are blind.
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,The light of the blind does not shine.
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Not to show the path to the blind.
अंधा प्रेम करना,to love without reason,to love blindly,Keep it terse and faithful to each component.
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,अंधे को हाथ का सहारा देना
अंधे की लाठी,only source of dependence,a blind man’s staff,To not see the blind man's stick.
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अंधेरे में रहना,to be ignorant,to live/stay in darkness,To live in darkness.
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,Searching for a path in the dark.
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,Hide in the dark
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,"They remain hidden in the darkness, even in the darkness."
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,Not the fate of the blind
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,To make someone understand or see something that they were previously unaware of.
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face","I heard the name of the blind man, but I didn't see his face."
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,देखते हैं।
अंधा गुस्सा करना,to get blindly angry,to do blind anger,To keep it terse and faithful to each component.
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness,To sink into darkness.
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate,"In the misfortune of the blind, there is no divider."
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens,The bad luck of the blind does not wake up.
अंधेरे में भटकना,to wander without direction,to wander in darkness,To get lost in the dark.
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result","Dark love, dark result"
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness,To search for light in the dark.
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand,"To try to see something in the dark by using a torch or flashlight, but it only makes it harder to see."
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way,The blind man also found the road.
अंधेरे से डरना,to fear ignorance or truth,to fear darkness,Fear from darkness
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person,To show the blind the direct path.
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark,अंधेरे में दीप जलाना एक अंग्रेजी अंदाज़ का एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी अंदाज़ है जो कि एक अंग्रेजी
अंधेरे में ताकना,to look aimlessly,to gaze into the dark,"अंधेरे में ताकना means ""to stare at the dark"" in English."
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person,Keep it brief and accurate to each component.
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path,To avoid or steer clear of a difficult or dangerous situation.
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark,Searching in the dark.
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants,"The idiom ""अंधे की चड्डी चुराना"" can be translated to English as ""stealing from the blind""."
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person,Give a blind person a mirror.
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness,To make the most of darkness.
अंधेरे में झांकना,to peep into the unknown,to peep into the dark,"He was looking for his keys in the dark, but couldn't find them anywhere."
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness,To come out of the dark
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom,अंधा राजा राज्य चलाना (Adhārā Rajā Rajyā Chalānā)
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut,अंधे की झोपड़ी में रोशनी देना
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly,"To remove the blindfold from someone's eyes, to reveal the truth or reality to someone who has been deceived or misled."
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law,"To enact or enforce unjust, unfair, or discriminatory laws."
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness,Leave the blind in the darkness.
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness,Do not like to stay in the dark.
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person,The blind should be given direction.
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness,अंधेरे से डरना नहीं चाहिए का अर्थ है कि आप नहीं चाहते हैं कि आपको अंधेरे में बैठना होगा। यह बताता है कि आप नहीं चाहते हैं कि आपको किसी वस्तु को नहीं देख सकते हैं या किसी काम को नहीं कर सकते हैं। इसका अर्थ है कि आप नहीं चाहते हैं कि आपको अंधेरे में बैठना होगा।
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark,"In the dark, it's better to light a lamp than to try to see in the dark."
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth,To be aware of one's surroundings.
आसमान से गिरना,to lose everything suddenly,to fall from the sky,Not to fall from the sky
हवा में उड़ना,to daydream or be overconfident,to fly in the air,To defy the norm
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile",बाहर बैरी नहीं बाहर बैरी नहीं
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness,"To be carefree and happy, like leaves swaying in the wind."
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament,"The idiom ""रंगीन मिज़ाज होना"" means to have a lively or cheerful mood or demeanor. It is used to describe someone who is in a good mood and is likely to be cheerful and upbeat."
दिल से खेलना,to toy with someone’s feelings,to play with the heart,"The idiom दिल से खेलना (dil se khelna) means to play or engage in something with a great deal of passion or enthusiasm, fully committed to the activity."
दिल का मामला,a romantic issue,matter of the heart,The matter of the heart
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big,Keep it terse and faithful to each component.
दिल छोटा मत करो,don’t lose hope,don’t make the heart small,Don't be overly critical or nitpicky about something.
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,"The idiom ""दिल लगाना और तोड़ना"" can be translated to English as ""to put one's heart into something and take it out again."
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,To make someone feel indifferent or unmoved.
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,Heart to heart
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,"The natural English idiomatic translation of ""दिल में आग लगाना"" is ""set one's heart on something."
दिल देना और लेना,to love and reciprocate,to give and take the heart,It is difficult to both give and receive love.
दिल पर राज करना,to rule someone’s heart,to rule over the heart,To have a strong influence or control over someone's thoughts or emotions.
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,"The idiom ""दिमाग में खिचड़ी पकना"" is used to describe someone who is constantly thinking about or obsessing over a particular idea or situation."
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd,The person is thinking deeply about the issue at hand.
दिमाग खपाना,to think very hard,to expend/wear out the brain,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain,दिमाग लगाना ज़रूरी है।
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth,Don't put a tooth in your mouth.
मुँह पर बोलना,to speak directly,to speak on the face,"The idiom ""मुँह पर बोलना"" can be translated to English as ""to speak without thinking"" or ""to say something without considering the consequences."
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet,Keep it terse and faithful to each component.
नाक कटना,to lose honor,for the nose to be cut,"To cut corners or take shortcuts, often implying that one is trying to save time or effort by avoiding the more difficult or thorough approach."
नाक ऊँची करना,to make someone proud,to raise the nose high,"The idiom ""नाक ऊँची करना"" means to raise one's voice or to speak loudly and forcefully."
नाक बचाना,to save face,to save the nose,(Keep it terse and faithful to each component.)
नाक दबाना,to force acceptance,to press the nose,"To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk dabaana) would be 'To keep it terse and faithful to each component, the literal English translation of 'नाक दबाना' (nāk d"
नाक चढ़ाना,to act proudly,to raise the nose,He raised his eyebrows in surprise when he saw the news.
कान खड़े करना,to become alert,to make the ears stand up,To keep one's ears open
कान में बात डालना,to inform secretly,to put the matter into the ear,Give someone a hint or warning.
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear,I won't let your words ring in my ears.
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet,To lose one's footing on the ground
पैर उखड़ना,to lose stability,for the feet to get uprooted,"A natural English idiomatic translation: ""To take a break"
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied,"He sat with his hands clasped together, showing his disinterest in the conversation."
हाथ उठाना,to hit or bless,to raise the hand,Raise your hand
हाथ साफ़ करना,to steal cleverly,to clean the hand,To keep it brief and faithful to each component.
हाथ में खेलना,to control completely,to play in the hand,"The idiom ""हाथ में खेलना"" can be translated to ""playing with one's hands"" in English."
सिर पर चढ़ना,to take advantage of leniency,to climb on the head,"To be in a difficult or awkward situation, often requiring quick thinking or action to resolve the issue."
सिर पर सवार होना,to be obsessed or enraged,to be mounted on the head,To be on one's head
सिर ऊँचा रखना,to uphold dignity,to keep the head high,"सिर ऊँचा रखना - ""To keep the head high."
सिर पर तूफ़ान लाना,to invite big trouble,to bring a storm upon the head,To bring a storm to one's head
सिर फोड़ना,to fight violently,to smash/break the head,"The idiom सिर फोड़ना (sir phodana) means ""to shake one's head"" or ""to shake one's head in disbelief"" in Hindi. It is used to indicate that someone is expressing disagreement, disbelief, or surprise."
सिर पर कर्ज़ होना,to be in debt,to have debt on the head,"To be in a bind"" or ""To be in a tight spot"
सिर का दर्द,a troublesome person,pain of the head,The pain in the neck
सीने में जलन,to feel envy,burning in the chest,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
सीने पर बोझ,to feel guilt or burden,burden on the chest,To build a wall on the head
सीने में हवा भरना,to instill pride or ego,to fill air into the chest,Spread the news quickly.
सीना ठंडा होना,to feel relieved or avenged,for the chest to become cool,"सीना ठंडा होना means ""to be cold-hearted"" in Hindi. It refers to someone who is unfeeling or indifferent towards others, and does not show any sympathy or concern for their well-being."
सीने पर हाथ रखना,to make a heartfelt promise,to keep a hand on the chest,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
सीने में साँस न लेना,to be extremely scared,to not take breath in the chest,Don't hold your breath in the well.
मन बनाना,to make up one’s mind,to make up the mind,To think deeply about something.
मन भर जाना,to lose interest,for the mind to become full,Fill the mind with
मन खुश करना,to please someone,to make the mind happy,NO_MATCH
मन बदलना,to change opinion suddenly,to change the mind,The mind does not want to change.
मन लगाकर काम करना,to work sincerely,to work having set the mind,To work with the mind tied up.
मन जीत लेना,to win hearts,to win the mind,To win someone's heart or attention.
पहला पत्ता गिरने से पहले,by autumn / before the first leaf falls,before the first leaf falls,"Before the first leaf falls, the chaff does not become a grain."
जंजीरों में बंधा महसूस करना,to feel chained or trapped,to feel bound in chains,To feel like a prisoner in chains.
मेरी बुरी किस्मत,just my bad luck,my bad luck,My bad luck hasn't shown.
मेरे जीते-जी,over my dead body / as long as I’m alive,while I'm alive,My wins-and-wins brother.
दुम दबाकर निकल लेना,to run away in fear (tail between legs),to slip away with tail tucked,दुम दबाकर निकल लेना
घुटने टेक देना,to surrender / kneel in defeat,to kneel down,"The idiom ""घुटने टेक देना"" can be translated to English as ""To take a break"" or ""To take a rest."
कौड़ियों के भाव,for a pittance / dirt cheap,at the price of cowries (shells),नाओं को नहीं छोड़ना
