src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To wash one's feet and leave one's burden.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
पैर रोक लेना,to hesitate before action,to hold back the foot,He held his breath as he waited for the results of his exam.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"To keep it terse and faithful to each component, no commentary, just the literal gloss."
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep it brief and faithful to each component
मुँह चलाना,to speak unnecessarily,to run the mouth,Keep it terse and faithful to each component.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"To put on a show"" or ""to act"
मुँह मीठा होना,to taste success,for the mouth to become sweet,To have a sweet mouth
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,"The idiom ""मुँह पीटना"" (muh peetna) means to be silent or to keep one's mouth shut, often in order to avoid saying something that might be considered rude or inappropriate."
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talking too much
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"To give someone a lecture or a talk, especially one that is critical or scolding."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" is a Hindi idiom that means ""to have a lot of ideas"" or ""to be full of thoughts."
दिल में जगह बनाना,to win affection,to make a place in the heart,To create a space or room in one's heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,I can't believe I let him get away with that! It's like nails pricking in my heart.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""to have a heart attack"" is a natural English translation of the Hindi idiom ""to feel a sudden and intense emotion or feeling, often related to love or passion."" It is a common expression used in English to describe a sudden emotional reaction or realization."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The depths of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is melting
