src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,पैर धोना (para dhona) is an idiom that means to wash one's hands of something or to give up on a task or project. It is used to indicate that someone has decided to stop participating or working on a particular thing.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To hold onto one's feet
पैर रोक लेना,to hesitate before action,to hold back the foot,"To hold back"" or ""To restrain oneself"
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The natural English idiomatic translation of ""मुँह मोड़ लेना"" is ""to keep one's mouth shut."
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep one's mouth shut or not to speak about something.
मुँह चलाना,to speak unnecessarily,to run the mouth,Talking too much is not wise.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To keep quiet
मुँह मीठा होना,to taste success,for the mouth to become sweet,नहीं बल्कि अपने लिए बहुत अच्छा होना (Muh Mitha Hona Nahi Balki Apane Lire Bahut Achcha Hona)
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep quiet.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Talks too much
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,Put a stick in someone's head.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,The words on the forehead fall
दिल में जगह बनाना,to win affection,to make a place in the heart,To make room in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel deeply affected or deeply emotional about something.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""to get a heart attack"" is a natural English translation of ""to experience a sudden emotional change or shock."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it terse and faithful to each component.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,"The idiom ""दिल की गहराई से अपने बचपन की यादें उठाना"" is a Hindi idiom that means ""to recall the memories of childhood from the depths of the heart."" The literal translation is ""To recall the memories of childhood from the depths of the heart."
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is lifted up.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart should be like a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""दिल टूटकर रह जाना"" means ""to lose one's heart"" or ""to fall in love"" in Hindi. It suggests that someone has fallen deeply in love with someone or something."
दिल को सुकून मिलना,to find peace,for the heart to find peace,The heart finds peace.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's brain bad.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain gets stuck at a certain point.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,"He's like a donkey with a stick in his head, won't budge from his position."
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"The English translation of the idiom ""दिमाग गुम होना"" is ""to be in a state of confusion or disorientation."
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a headache.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"He was so nervous, he was biting his teeth together."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"To work with the teeth and nails, or to work with a toothless mouth, means to do something with great effort or determination, often in a very difficult or challenging situation."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To pound teeth with a finger.
जुबान बंद कर देना,to silence someone completely,to shut the tongue,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the jute.
जुबान कसना,to rebuke harshly,to tighten the tongue,(To break the jug)
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,लेने की जरूरत नहीं है।
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"The literal translation of ""जुबान पर ताला लगाना"" is ""To strike a drum on the chest,"" which is not a natural English idiom."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The phrase ""The jewel falls off the finger"" is not a natural English idiom. A more appropriate translation would be ""to lose one's temper"" or ""to get angry""."
जुबान सरक जाना,to misspeak,for the tongue to slide,The situation is boiling.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,To hold on to something like a baby's blanket.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Keep it terse and faithful to each component.
पसीना रोकना,to relieve effort,to stop sweat,To keep it brief and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"He's always worrying about his health, it's like he's a reed in the wind."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"Even if someone has pain in their eye, they don't necessarily need to be in a hospital."
सीने में जलन होना,to feel envy,to have burning in the chest,"The idiom ""सीने में जलन होना"" is a Hindi idiom that means ""to have a heated discussion"" or ""to argue vehemently."" It originates from the idea of a fire spreading quickly and uncontrollably, symbolizing a heated argument that can quickly escalate and become intense."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,"To make a big deal out of something"" or ""to overreact to something"
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,"The idiom ""सीने पर बोझ होना"" is used to describe someone who is obsessed or fixated on a particular topic or subject, to the point where they cannot think of anything else."
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,"The fire breaks out in the well, causing a lot of damage."
रंग दिखाना,to reveal true colors,to show color,It's not about the color; it's about the substance.
रंगीन होना,to enjoy life freely,to become colorful,To be colorful or to be colorful.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,(The color of the cloth falls off)
रंग उड़ना,to fade away,for the color to fly/fade,"The idiom ""रंग उड़ना"" can be translated to ""Coloring Up"" in English."
रंग जमना,to gain traction,for color to set,Keep it terse and faithful to each component.
रंग लगना,to start celebrating,to have color applied,Coloring by the line
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To know the color of the color
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Be very careful everywhere
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,To keep it terse and faithful to each component.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,Keep it succinct and faithful to each component.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,"The grapes are not suitable for everyone, as they are meant for a specific group or audience."
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,अपनी डींगे हाँकना
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,Keep it brief and accurate to each part.
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,नहीं करना
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To be blind to something.
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep it in the dark
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To accept and acknowledge one's own mistake or wrongdoing.
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",He does not give his own anger to his own wife.
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,"The phrase ""to lose one's mind"" is a natural English idiomatic translation of ""अक्ल का पैमाना टूट जाना."
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,To be distracted by something trivial or unimportant.
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,To wear a tilak on the forehead of an owl
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,"The idiom ""अंधा बांटे रेवड़ी"" translates to ""to split the night"" in Hindi, and ""A blind cut of a razor"" in English."
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,The dark wood is not what it seems.
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,To pick up a stick from the blindfold
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the blind eye has opened.
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,"The blind man's bread is the same dough as ghee bread, so it's just as bad as rotten rice."
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","He heard the name of the blind, but didn't see with his eyes."
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,"No matter how blind you are, you still need two eyes."
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Keep it in the dark.
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To show the sun to the blind
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,To show the way to the blind.
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Sit in the dark and walk in the open.
