src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 means to explain complex or difficult concepts in a simple and understandable way. It is often used to describe teaching or writing that is easy to understand for people of all levels of education.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously investigate.
混世魔王,Devil incarnate,Demon King of Chaos,"混世魔王 (hùn shì mó guài) is an idiom that means ""a troublemaker in the world"" or ""a trouble-making person."" It refers to someone who causes chaos or trouble in society, often without any regard for others or the consequences of their actions. The literal translation is ""Mysterious World Demon King."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"混淆黑白 means to confuse or mix up right and wrong, good and bad, or truth and falsehood. It implies that someone is intentionally or unintentionally presenting false information or misleading others by confusing the distinction between right and wrong."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非 (hùn xiáo shì fēi) is an idiom that means to confuse right from wrong or to make a mistake in distinguishing between right and wrong. It is often used to describe someone who is not clear about the distinction between right and wrong or who is not able to make a proper judgment.
混为一谈,Confuse something with something else,Mix it up,Confuse or mix up different things or ideas.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"浅尝辄止 (qiǎn cháng zhé zhǐ) means ""to taste lightly and stop"" or ""to take a superficial look at something."" It implies that one does not delve deeply into a subject or activity but rather stops after a brief, cursory examination."
添枝加叶,Embellish a story,Add branches and leaves,Add branches and leaves (to a tree)
添砖加瓦,Do one's little bit,Add bricks and mortar,To add bricks and tiles to a project or effort.
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,涣然冰释
游刃有余,Be move than equal to a task,Do it with ease,"A native speaker might say something like ""I'm so good at this job, I feel like I can cut through it with ease."" or ""I'm really skilled at this, I feel like I can handle it with ease."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of a situation where things are unclear or chaotic.
浑然一体,An integral whole,All in one,浑然一体
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,"The idiom ""温故而知新"" means ""to review old things to gain new insights."
沧海横流,The changes and disorders of the times,Across the sea,"A natural English idiomatic translation of 沧海横流 (cāng hǎi héng liú) is ""A time of great turmoil."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,We'll destroy this morning's meal and take over the city.
滴水成冰,Freezing cold,Dripping into ice,(dī shuǐ chéng bīng)
