src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,"The idiom 深入浅出 can be translated to ""Deeply and clearly"" in English."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心 (shēn rù rén xīn)
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously cover.
混世魔王,Devil incarnate,Demon King of Chaos,"Blend in the world, demon king."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,He's trying to confuse the issue by mixing up right and wrong.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,混淆是非 (hùn xiáo shì fēi)
混为一谈,Confuse something with something else,Mix it up,"Confuse or mix up different things or ideas, treating them as if they are the same or related."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Taste it lightly and stop.
添枝加叶,Embellish a story,Add branches and leaves,"The idiom ""添枝加叶"" is used to describe adding unnecessary details or embellishments to a story, event, or situation. It implies that the speaker believes the original version of the story or event was more straightforward and less embellished."
添砖加瓦,Do one's little bit,Add bricks and mortar,Add bricks and tiles (to a building)
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom 添油加醋 can be translated as ""to add extra details"" or ""to embellish a story."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,The ice has melted away completely.
游刃有余,Be move than equal to a task,Do it with ease,"游刃有余 (yóu rèn yǒu yú) - ""Cutting with ease"" or ""Having enough space to maneuver."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of a confusing situation.
浑然一体,An integral whole,All in one,"The idiom ""浑然一体"" (hún rán yī tǐ) means ""to be one with everything"" or ""to be completely integrated."" It suggests that someone or something is so deeply connected and unified with their surroundings or other entities that they seem to be part of a single, indivisible whole. This concept often implies a sense of harmony, unity, and interconnectedness."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To gain new insights by reviewing the old.
沧海横流,The changes and disorders of the times,Across the sea,"Cāng Hǎi Héng Liú"" (沧海横流) is an idiom that means ""a turbulent sea"" or ""a time of great change and upheaval."" It is often used to describe a period of significant political, social, or economic turmoil. The idiom comes from the Chinese idiom ""沧海桑田"" (cāng hǎi sāng tián), which means ""the sea turns into fields"" or ""the earth turns into fields,"" and is used to describe the cyclical nature of life and the changing of the world."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"To completely destroy or eliminate something, leaving nothing behind."
滴水成冰,Freezing cold,Dripping into ice,Drop of water turns into ice.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","To overestimate oneself brings harm, to be humble brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,Everyone is talking about it.
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,"A woman who is known for her aggressive and unrefined behavior, often using foul language and making a scene in public."
滥竽充数,Just to fill up a vacancy,Excessive use of data,"A native speaker would say ""Ran Nuts Fill the Number"" to describe someone who pretends to be knowledgeable or skilled when they are not."
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,He added fuel to the fire by criticizing her in front of everyone.
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire trees and silver flowers do not know the night.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,Uyou Xiansheng
烈火见真金,True blue will never stain,Fire sees real gold,"The idiom 烈火见真金, which means ""true gold is revealed in the fire,"" is used to emphasize that true qualities or values are revealed when faced with challenges or hardships. In the literal English translation, ""hot fire reveals true gold,"" it is used to describe a situation where something is tested or put to the test, and the true nature or value of something is revealed."
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,"He tried to bake the clouds to support the moon, but it didn't work."
无米之炊,Make bricks without straw,Cooking without rice,There is no way to make a meal without rice.
无风不起浪,Theres no smoke without fire,"No wind, no wave","The idiom ""无风不起浪"" can be translated as ""No wind, no wave"" in English. This phrase is often used to describe an event or situation that occurs without any apparent cause or reason, emphasizing that something significant or unexpected has happened, even if it is not immediately apparent."
无风起浪,Make trouble out of nothing,No wind and waves,"The idiom ""无风起浪"" can be translated to ""No cause for a disturbance"" or ""No reason for a problem"" in English."
无敌于天下,Unmatched anywhere in the world,Invincible in the world,Unbeatable in the World
无功受禄,Get a reward without deserving it,Reward without merit,"No merit, no reward."
无计可施,Utterly without resources,Nothing can be done,"The idiom ""无计可施"" means that there are no effective solutions or strategies available to solve a problem."
无济于事,Useless,To no avail,"The idiom ""无济于事"" means that something is useless or ineffective. It suggests that the effort or action being taken will not bring about any positive change or result."
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,There's no occasion that doesn't warrant a visit to the Three Treasures Hall.
无事生非,Create problems where none exists,Much Ado About Nothing,To create trouble out of nothing
无所适从,With no definite plan to follow,At a loss,There is no place to go or to stay.
无恶不作,Commit all manner of crimes,Do no evil,"The phrase ""无恶不作"" is an idiom that means someone is doing evil without restraint or limit. It is often used to describe someone who is very bad or immoral."
无以复加,In the extreme,Can't be added,There is nothing more to add or say.
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",He's just a bunch of hot air - it's like trying to build a tree without a root or a river without a source.
无缘无故,For no reason at all,For no reason,I don't understand why he did that - it's just无缘无故.
无庸赘述,It's unnecessary to go into details,Needless to say,No need to elaborate.
烟消云散,Disappear in a flash,Disappear into smoke,"烟消云散 (yān xiāo yún sàn) means ""to disappear like smoke and clouds,"" often used to describe something that has vanished or disappeared completely."
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,"The idiom ""煮鹤焚琴"" means to waste something valuable or beautiful by destroying it, often by being wasteful or careless with resources."
照猫画虎,Imitate,Draw cats and tigers,"To imitate or copy something without understanding its essence or purpose, resulting in a distorted or incorrect version."
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and alone, I am left with only my shadow to comfort me."
煽风点火,Instigate,Fan the flames,Stir up the wind and ignite the fire.
熟视无睹,Ignore,Turn a blind eye,I'm so used to this place that I don't even notice the trash on the ground.
燕巢幕上,Precarious,Swallow's Nest on the Curtain,A swallow's nest on the curtain
争权夺利,Scramble for power and profit,Scramble for power,Struggle for power and gain.
争长论短,Squabble,Debating long and short,To argue about who is better or more skilled than the other.
为民请命,Plead in the name of the people,Pray for the people,To stand up for the people's rights.
为非作歹,Break the law,To do evil,"The idiom ""为非作歹"" means to do evil or mischievous things. It is often used to describe someone who is bad or harmful."
为富不仁,Be rich and cruel,For the rich,To be rich and not be kind
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give wings to a tiger.
为虎作伥,Help a villain do evil,Play for the tiger,"To be a伥 (伥 is a character that does not have a direct English equivalent, it's a term used in Chinese folklore to describe a伥鬼, a vengeful spirit that follows and assists a tiger in its attacks on humans. It's often used metaphorically to describe someone who assists or supports a criminal or a bad person)."
