src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,जाता है (par dhona jata hai)
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"To restrain oneself from doing something, often due to fear or caution."
पैर रोक लेना,to hesitate before action,to hold back the foot,Hold the leg.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth closed.
मुँह बंद कर देना,to silence completely,to shut the mouth,To keep quiet.
मुँह चलाना,to speak unnecessarily,to run the mouth,बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी बारी ब
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Not to put one's mouth in one's mouth
मुँह मीठा होना,to taste success,for the mouth to become sweet,मुँह मीठा होना
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,मुँह बिचकाना
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To tell lies or spread rumors.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"To talk excessively or without restraint, often to the point of being annoying or tiresome."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture on the head
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"The idiom ""माथे पर लकीरें पड़ना"" can be translated as ""to be criticized or criticized by others"" or ""to have rhymes on one's head."
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,"To feel a strong emotional reaction, often accompanied by a physical sensation like a sudden feeling of pain or discomfort in the chest."
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,"The idiom ""दिल में खटका होना"" translates to ""to have a sudden change of heart"" or ""to experience a sudden emotional shift"" in English."
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the depths of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,It's nice to have a garden in your heart.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,"The idiom ""Dil tuutakar rah jana"" means to feel completely overwhelmed or emotionally drained by something, as if one's heart has been broken or shattered."
दिल को सुकून मिलना,to find peace,for the heart to find peace,To get peace in one's heart.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone's mind unclear or confused.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,"He's been stuck in a rut lately, can't seem to think clearly."
