src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 (shēn rù qiǎn chū) means to explain complex or difficult concepts in a way that is easy to understand.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"深入人心 (shēn rù rén xīn) means ""to have a strong and lasting impact on someone's mind or heart,"" often referring to something that is deeply ingrained or deeply felt."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,To be overly literal and nitpicky in interpreting the law.
混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker in the world.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse right and wrong
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confusing right from wrong or making a mess of things.
混为一谈,Confuse something with something else,Mix it up,Mix them up together
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"A native speaker would say ""I'll just take a quick taste of this dish, I don't want to get too involved."
添枝加叶,Embellish a story,Add branches and leaves,Add branches and leaves
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom 添砖加瓦 (tiān zhuān jiā wǎ) is used to describe someone who contributes to a project or effort, even if their contribution is small. It is often used to describe someone who helps out but does not take credit for the work."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"He added oil and vinegar to the story, making it even more interesting."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,All ice melted away.
游刃有余,Be move than equal to a task,Do it with ease,游刃有余
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,To take advantage of a situation when it is not fair or appropriate.
浑然一体,An integral whole,All in one,**Completely** **integrated** **and** **merged** **into** **one** **entity**.
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To review the old to gain new insights.
沧海横流,The changes and disorders of the times,Across the sea,A turbulent time.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"The idiom 灭此朝食 (mèi cǐ cháo shí) means ""to destroy the enemy's army for breakfast."" It is used to describe a situation where an enemy is so weak that they can be defeated easily, as if they are just waiting to be eaten for breakfast."
滴水成冰,Freezing cold,Dripping into ice,The water drops turned into ice.
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","The idiom 满招损，谦受益 can be translated as ""Pride goes before a fall, humility goes before a gain."
满城风雨,Become the talk of the town,Wind and rain all over the city,A great deal of wind and rain in the city
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is loud and abusive in public.
滥竽充数,Just to fill up a vacancy,Excessive use of data,"The idiom 滥竽充数 (luàn yú chōng shù) means ""to pass off fake or inferior goods as genuine ones."" It is derived from the story of a musician who was hired to play in a royal court, but he was unable to play the instrument well. Instead of admitting his incompetence, he continued to play, pretending to be skilled. This led to the courtiers laughing at him, and eventually, the king discovered the truth. The idiom is often used to describe someone who pretends to be knowledgeable or skilled in a field they are not truly proficient in, in order to gain acceptance or recognition."
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add more fuel to the fire
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Fire trees and silver flowers never end at night.
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,"A native speaker would say something like ""He's just a figment of my imagination"" or ""He's a complete nonentity."
烈火见真金,True blue will never stain,Fire sees real gold,Hot fire reveals true gold.
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,To create a false impression or to make something seem better than it is.
无米之炊,Make bricks without straw,Cooking without rice,No rice to cook with.
无风不起浪,Theres no smoke without fire,"No wind, no wave","The idiom ""无风不起浪"" means that there is always a reason or cause behind any event or situation, even if it appears to be without any obvious cause. It implies that something is happening or will happen regardless of whether there is a visible cause or not."
无风起浪,Make trouble out of nothing,No wind and waves,No wind makes waves.
无敌于天下,Unmatched anywhere in the world,Invincible in the world,"The idiom ""无敌于天下"" can be translated as ""unbeatable in the world"" or ""invincible."
无功受禄,Get a reward without deserving it,Reward without merit,"No merit, no reward."
无计可施,Utterly without resources,Nothing can be done,There is no way to deal with it.
无济于事,Useless,To no avail,The result is that the action or effort is not making a difference or solving the problem.
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,"No matter what, don't go to the Three Treasures Hall."
无事生非,Create problems where none exists,Much Ado About Nothing,Don't create trouble where there is none.
无所适从,With no definite plan to follow,At a loss,I'm in a pickle. I don't know what to do. I'm无所适从.
无恶不作,Commit all manner of crimes,Do no evil,"The idiom ""无恶不作"" can be translated to ""to do evil without restraint"" or ""to be unscrupulous"" in English. It describes someone who is extremely immoral and engages in all kinds of immoral or criminal activities."
无以复加,In the extreme,Can't be added,There is nothing more to add.
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A project with no funding is like water without a source.
无缘无故,For no reason at all,For no reason,I can't believe it happened without any reason.
无庸赘述,It's unnecessary to go into details,Needless to say,It's a no-brainer.
烟消云散,Disappear in a flash,Disappear into smoke,"Smoke dissipates, clouds disperse"
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,Wasting resources for trivial purposes.
照猫画虎,Imitate,Draw cats and tigers,"The literal translation ""draw a tiger by imitating a cat"" does not make sense in English, as it is not a common phrase. However, a natural English idiomatic translation of ""照猫画虎"" would be ""copycat."
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other","Lonely and alone, with only one's shadow for company."
煽风点火,Instigate,Fan the flames,Stir up trouble or create conflict.
熟视无睹,Ignore,Turn a blind eye,"I've seen this movie a hundred times, but I still can't get bored with it."
燕巢幕上,Precarious,Swallow's Nest on the Curtain,"The literal translation ""The swallow's nest on the curtain"" does not convey the same meaning as the idiom 燕巢幕上. The idiom 燕巢幕上 is used to describe a situation where someone's private life is exposed or discussed in public, often in a negative light. The literal translation ""The swallow's nest on the curtain"" is not a natural English idiom and does not convey the same meaning as the original idiom."
争权夺利,Scramble for power and profit,Scramble for power,"A natural English idiomatic translation: ""He was always trying to grab power and wealth."
争长论短,Squabble,Debating long and short,"The phrase ""to argue about who is better or more skilled"" captures the essence of the idiom ""争长论短"" in a natural and idiomatic way."
为民请命,Plead in the name of the people,Pray for the people,"The idiom ""为民请命"" (wén mín qǐng mìng) means ""to plead for the people's cause"" or ""to stand up for the people's interests."" It refers to someone who advocates for the welfare and rights of the common people, often in the face of oppression or injustice."
为非作歹,Break the law,To do evil,"The idiom ""为非作歹"" means to do evil or commit crimes. It is used to describe someone who is engaged in criminal activities or who is causing harm to others."
为富不仁,Be rich and cruel,For the rich,To be rich and not be kind.
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give wings to a tiger.
为虎作伥,Help a villain do evil,Play for the tiger,To be a伥 of a tiger
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To drive away birds from a bush.
为所欲为,Have (or get) one's own way,Do whatever you want,"The phrase ""为所欲为"" can be translated as ""do as one pleases"" in a natural English context."
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,"To drive fish from the abyss, to drive birds from the thicket."
墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"The wall falls, and everyone pushes."
片甲不留,The army is completely wiped out,No armor left,"The idiom ""片甲不留"" can be translated as ""A single piece of armor is not left behind."
片瓦无存,Be razed to the ground,No tiles left,"The idiom 片瓦无存 means ""not a single tile remains"" and is used to describe a situation where everything has been destroyed or lost completely."
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,"The literal translation of 牛头不对马嘴 is ""Cow's head doesn't match horse's mouth,"" which is a way of saying that something is not connected or makes no sense."
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,"The idiom ""牛鬼蛇神"" refers to various kinds of people who are considered to be either evil or strange, often used to describe those who are perceived as being out of control or dangerous. It is derived from the metaphor of a ""cow spirit"" and a ""snake spirit,"" which are both considered to be supernatural creatures. The idiom is used to describe people who are seen as being out of control or dangerous, often used in a derogatory sense."
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A single thread can start a chain reaction.
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,A dog desperate to escape will jump over the wall.
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,狗血喷头
狐假虎威,Take advantage of the influence of others,Fox fake tiger power,Fox taking advantage of tiger's fear.
狐群狗党,A gang of scoundrels,Fox and Dog Party,Fox group dog party
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,A clever rabbit has three hiding places.
