src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,Keep it brief and faithful to each part.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,"To hold onto someone's feet"" or ""To be very attached to someone or something."
पैर रोक लेना,to hesitate before action,to hold back the foot,To halt one's feet.
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut
मुँह बंद कर देना,to silence completely,to shut the mouth,Keep it terse and faithful to each component.
मुँह चलाना,to speak unnecessarily,to run the mouth,"He's always talking, he's such a chatterbox!"
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To speak without considering the consequences of one's words.
मुँह मीठा होना,to taste success,for the mouth to become sweet,"The natural English idiomatic translation of मुँह मीठा होना is ""to have a sweet smile."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep one's mouth shut is very good.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Keep it terse and faithful to each component.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To give someone a lecture on the head
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a reputation for something
दिल में जगह बनाना,to win affection,to make a place in the heart,To make a place in one's heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel intense pain or suffering in one's heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,The sudden emotional or mental disturbance caused me to feel like my heart was skipping a beat.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,दिल में गुस्सा रखना
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,To come out of the depths of one's heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart is smiling
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart becomes a garden of gardens.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,The idiom दिल टूटकर रह जाना means to be so deeply affected by something that one's heart is broken or shattered. It is often used to describe a person who has been deeply hurt or emotionally devastated.
दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace or tranquility in one's heart.
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The idiom ""दिमाग खराब कर देना"" (dimaag kharaab karna) can be translated as ""to make someone's brain bad,"" which means to confuse or overwhelm someone with too much information or questions."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,My brain just got stuck in a place.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a nail in the head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,The brain is dumb.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,The mind wanders.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,Don't be scared or afraid.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,"The idiom ""दाँत नाखून से काम लेना"" means ""to work with one's teeth,"" which implies doing something with great effort or determination."
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,To hit the nail on the head
जुबान बंद कर देना,to silence someone completely,to shut the tongue,To ignore or refuse to acknowledge a problem or issue.
जुबान काट लेना,to regret words spoken,to bite the tongue,Keep it short and true to each part.
जुबान कसना,to rebuke harshly,to tighten the tongue,"The idiom ""जुबान कसना"" can be translated to ""to cut off the supply of something"" or ""to cut off the source of water."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,The exact list of the jewel box
जुबान पर ताला,to keep secrets locked,a lock on the tongue,"To put a nail in the coffin"" is a metaphorical expression that means to make a situation or a person's situation worse."
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,The hair falls out.
जुबान सरक जाना,to misspeak,for the tongue to slide,"The idiom ""जुबान सरक जाना"" can be translated to English as ""to be in a bind"" or ""to be in a difficult situation."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep it terse and faithful to each component.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"To maintain a connection or bond between two people or things, often in a metaphorical sense."
पसीना रोकना,to relieve effort,to stop sweat,बहुत भारी (bahut bharī)
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"A native speaker would say ""I'm so tired, I could sleep for days!"
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"The literal translation of ""सीने में दर्द होना"" is ""To have pain in the ear"", but it is not a natural English idiom."
सीने में जलन होना,to feel envy,to have burning in the chest,"To be in a pickle"" or ""To be in a tight spot"
