src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,बेचारे की बात है।
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To keep one's feet on the ground
पैर रोक लेना,to hesitate before action,to hold back the foot,To hold one's breath
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,मुँह मोड़ लेना
मुँह बंद कर देना,to silence completely,to shut the mouth,I won't be able to keep my mouth shut about this.
मुँह चलाना,to speak unnecessarily,to run the mouth,"He's always talking, but you can't hear a word he says."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To put a foot in your mouth
मुँह मीठा होना,to taste success,for the mouth to become sweet,To be sweet on the lips and bitter in the heart.
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,"To talk excessively or without restraint, often to the point of being annoying or tiresome."
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To keep quiet or be silent.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,The mouth is filled with dust.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"To put a thorn in one's back"" is not a natural English idiomatic translation of ""माथे पर शिकन डालना"" (Māthe par śikna dālana). The closest natural English idiomatic translation would be ""To put a thorn in one's back"" or ""To put a thorn in one's back"" is not a natural English idiomatic translation of ""माथे पर शिकन डालना"" (Māthe par śikna dālana)."
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have rhymes on one's head
दिल में जगह बनाना,to win affection,to make a place in the heart,"The idiom ""दिल में जगह बनाना"" means to make space in one's heart or mind. It implies that someone is able to accommodate or accept something new or difficult without resistance or difficulty."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To feel a sharp pain in the heart.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,दिल में खटका होना
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,It comes from the depth of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,"The heart breaks, the heart breaks"
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden filled with flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,दिल टूटकर रह जाना
दिल को सुकून मिलना,to find peace,for the heart to find peace,"The idiom ""to get peace in the heart"" means that when you don't understand or can't understand something, it can make your heart feel uneasy and unsettled."
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,"The phrase ""to make someone's brain bad"" is not a natural English idiom. A more appropriate translation would be ""to confuse or mislead someone."
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain area gets stuck.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put a thought into someone's head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,"To be absent-minded"" or ""To have a blank mind"
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,"The idiom ""दिमाग की बत्ती बुझ जाना"" is a natural English idiomatic translation of the Hindi phrase ""दिमाग की बत्ती बुझ जाना""."
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,"The idiom ""daanat kitkitanaa"" can be translated as ""to be nervous or anxious about something"" in natural English. The literal translation of ""daanat kitkitanaa"" is ""The teeth are gnashing and clacking,"" which doesn't make sense in English. However, the idiomatic sense of the idiom is to be nervous or anxious about something, often related to a specific event or situation."
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Keep it brief and faithful to each component.
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,Biting the hand that feeds you
जुबान बंद कर देना,to silence someone completely,to shut the tongue,Keep it simple and straightforward.
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the head (of a person or an idea).
जुबान कसना,to rebuke harshly,to tighten the tongue,"A native speaker would say ""To cut off the source of water"" or ""To deprive someone of their basic needs."
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To see the true nature of a jewel multiple times.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,Place a drum on the chest
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The result of the literal translation is ""The jewel is lost,"" which does not convey the same meaning as the original idiom. The idiom emphasizes the loss of one's true self or essence when one fails to express their thoughts or ideas, while the literal translation simply describes the loss of a physical jewel."
जुबान सरक जाना,to misspeak,for the tongue to slide,"I'm in a tight spot, I can't keep it terse and faithful to each component."
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,"The idiom ""Keep it terse and faithful to each component"" means to be concise and accurate, while also being faithful to each individual part or component. It emphasizes the importance of being precise and thorough in one's communication or actions, without sacrificing clarity or accuracy."
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,Keep it terse and faithful to each component.
पसीना रोकना,to relieve effort,to stop sweat,To keep it terse and faithful to each component.
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),To be thin and thin.
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,"सीने में दर्द होना (sīnē mēn dard honā) is a Hindi idiom that means ""to suffer from a sore throat"" or ""to have a sore throat."
सीने में जलन होना,to feel envy,to have burning in the chest,"The idiom ""सीने में जलन होना"" can be translated as ""to have a fire in the eyes,"" which means to be in a state of turmoil or confusion."
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To get a reputation or a bad name.
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,सीने पर बोझ होना एक विशेष रूप से उत्सुक होने का एक उदाहरण है जो एक व्यक्ति की बाहरी दृश्य के लिए उत्सुक होने के लिए एक बाहरी दृश्य की आवश्यकता बताता है।
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,To have a fire in one's ear.
रंग दिखाना,to reveal true colors,to show color,"The idiom ""रंग दिखाना और रंग बनाना"" in Hindi means ""to show one's colors"" or ""to reveal one's true nature."" It is often used to describe someone who reveals their true personality or character, especially in a negative light. The literal translation of the idiom ""रंग दिखाना बिना रंग के बात करना"" is ""to talk about color without showing color."
रंगीन होना,to enjoy life freely,to become colorful,It's easy to make something more colorful.
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,"The idiom ""रंग फीका पड़ना"" (rang fekā paṛṇā) means to be completely absorbed in something, as if the colors of the world have faded away."
रंग उड़ना,to fade away,for the color to fly/fade,"The idiom ""रंग उड़ना"" means ""to change one's mind or perspective suddenly and dramatically."" It is used to describe a situation where someone's opinion or attitude shifts significantly and unexpectedly."
रंग जमना,to gain traction,for color to set,जमना
रंग लगना,to start celebrating,to have color applied,"The phrase ""To color oneself"" is not a natural English idiomatic translation of ""रंग लगना"". A more natural and idiomatic translation would be ""To be influenced by something""."
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To add more color to something or to make something more colorful.
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,अति सर्वत्र वर्जयेत् means to be extremely cautious and careful in everything you do.
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Keep it your small amount straight.
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,To put one's head in the clouds.
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The grapes are sour.
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,"A natural English idiomatic translation: ""To be stubborn"
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Your anger is going to be heard.
