src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,The idiom 深入浅出 (shēn rù qiǎn chū) means to explain complex ideas in a way that is easy to understand.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,深入人心 (shēn rù rén xīn)
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously cover
混世魔王,Devil incarnate,Demon King of Chaos,"A person who is extremely arrogant and self-centered, often causing trouble for others."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,The idiom 混淆黑白 is often used to describe someone who is trying to make a distinction between two things that are actually the same or that are not different at all. It implies that someone is trying to confuse or mislead someone else by presenting contradictory or conflicting information.
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"The idiom 混淆是非 means to confuse right from wrong. It implies that someone is trying to make a distinction between right and wrong, but they are doing it in a way that confuses or muddles the distinction."
混为一谈,Confuse something with something else,Mix it up,混为一谈
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"Keep it brief and faithful to each component. No commentary, just the literal gloss."
添枝加叶,Embellish a story,Add branches and leaves,Add branches and leaves (to a tree)
添砖加瓦,Do one's little bit,Add bricks and mortar,Add bricks and tiles
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar (idiomatic expression)
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"The literal translation of the idiom ""涣然冰释"" is ""frosted ice dispersed,"" which can be used to describe a situation where all misunderstandings and conflicts have been resolved."
游刃有余,Be move than equal to a task,Do it with ease,游刃有余 (yóu rèn yǒu yú)
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,"In muddy water, catch a fish."
浑然一体,An integral whole,All in one,"The idiom ""浑然一体"" can be translated as ""to be completely integrated"" or ""to be harmonious and unified."" It suggests that everything is in perfect balance and harmony."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To gain new insights by reviewing old knowledge.
沧海横流,The changes and disorders of the times,Across the sea,A turbulent sea.
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,灭此朝食
滴水成冰,Freezing cold,Dripping into ice,"The idiom ""滴水成冰"" is a Chinese phrase that translates to ""a drop of water turns into ice."" This idiom is used to describe a situation where something changes or transforms suddenly and drastically, often in a negative or unfavorable way."
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",满招损，谦受益
满城风雨,Become the talk of the town,Wind and rain all over the city,The situation has become widely known and is causing a lot of discussion and gossip.
