src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,Deeply and clearly
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"The idiom 深入人心 means to have a strong and lasting impact on someone's mind or heart, making it deeply ingrained in their thoughts and feelings."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply scrutinize and meticulously encompass
混世魔王,Devil incarnate,Demon King of Chaos,Wild and unruly child
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"The literal translation of ""混淆黑白"" is ""Mixing black and white,"" but the idiomatic meaning is to confuse right and wrong or make a mistake in distinguishing between right and wrong."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,(hùn xiáo shì fēi)
混为一谈,Confuse something with something else,Mix it up,Mix them up together.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,She only took a shallow taste of the wine and stopped.
添枝加叶,Embellish a story,Add branches and leaves,"He added a lot of 添枝加叶 to his story, making it seem more complicated than it really was."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom 添砖加瓦 (tiān cān jiā wǎ) means ""to contribute to the construction of something"" or ""to make a small contribution to a larger project."" It is often used to describe someone who helps others achieve their goals or contributes to a collective effort. The idiom is derived from the idea of adding bricks and tiles to a building, which is a metaphor for contributing to a larger project."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom ""添油加醋"" can be translated as ""add oil and vinegar"" in a literal sense, but in a natural English context, it would be more appropriate to say ""add some spice"" or ""add some drama"" to the story."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,焕然冰释
游刃有余,Be move than equal to a task,Do it with ease,"A native speaker would say ""I have plenty of room to maneuver"" or ""I'm handling this with ease."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,He took advantage of the situation without any effort.
浑然一体,An integral whole,All in one,"The idiom 浑然一体 can be translated to ""In perfect harmony"" or ""Whole and complete"" in English."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To review old knowledge to gain new insights.
沧海横流,The changes and disorders of the times,Across the sea,Crisis of the times
